consortium_name	scdm_program_id	scdm_name	scdm_description	scdm_status	scdm_funding_source	reviewed
CCBIR	program.ccbir	CCBIR				false
CSBC	program.csbc	CSBC				false
HTAN	program.htan	HTAN				false
ICBP	program.icbp	ICBP				false
MetNet	program.metnet	MetNet				false
NCI	program.nci	NCI				false
NCI Clinical and Translational Exploratory/Developmental Studies	program.nci-clinical-and-translational-exploratory-developmental-studies	NCI Clinical and Translational Exploratory/Developmental Studies				false
PDMC	program.pdmc	PDMC				false
PS-ON	program.ps-on	PS-ON				false
Sage Bionetworks	program.sage-bionetworks	Sage Bionetworks				false
TEC	program.tec	TEC				false
