# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/dataset_assay.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
10-cell RNA Sequencing	10-cell RNA Sequencing	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/30894605/	semapv:ManualMappingCuration
10x Multiome	10x Multiome	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0030059	semapv:ManualMappingCuration
16S Ribosomal Gene Sequencing Assay	16S Ribosomal Gene Sequencing Assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002763	semapv:ManualMappingCuration
3' RNA-seq	3' RNA-seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0010188	semapv:ManualMappingCuration
3D Bioprinting	3D Bioprinting	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/26724184/	semapv:ManualMappingCuration
3D Cell Culture	3D Cell Culture	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000159	semapv:ManualMappingCuration
4C	4C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007690	semapv:ManualMappingCuration
5C	5C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007692	semapv:ManualMappingCuration
ATAC-Seq	ATAC-Seq	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.03e&code=C156056&ns=ncit&type=properties&key=null&b=1&n=0&vse=null	semapv:ManualMappingCuration
Affinity Purification Mass Spectrometry	Affinity Purification Mass Spectrometry	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/22611051/	semapv:ManualMappingCuration
Allograft	Allograft	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C60701	semapv:ManualMappingCuration
Amplicon Sequencing	Amplicon Sequencing	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0003747	semapv:ManualMappingCuration
Antitumor Drug Screening Assay	Antitumor Drug Screening Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C15229	semapv:ManualMappingCuration
Apoptosis Assay	Apoptosis Assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_0001182	semapv:ManualMappingCuration
Artificial Intelligence	Artificial Intelligence	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.08d&ns=ncit&code=C16309&key=n1483307350&b=1&n=null	semapv:ManualMappingCuration
Atomic Force Microscopy	Atomic Force Microscopy	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf	semapv:ManualMappingCuration
Barcode-Seq	Barcode-Seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0008655	semapv:ManualMappingCuration
Bioluminescence Imaging	Bioluminescence Imaging	skos:exactMatch	https://en.wikipedia.org/wiki/Bioluminescence_imaging	semapv:ManualMappingCuration
Bisulfite Sequencing	Bisulfite Sequencing	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C106054	semapv:ManualMappingCuration
Brightfield Microscopy	Brightfield Microscopy	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C19827	semapv:ManualMappingCuration
CITE-seq	CITE-seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0009294	semapv:ManualMappingCuration
CODEX	CODEX	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C181931	semapv:ManualMappingCuration
CUT&RUN	CUT&RUN	skos:exactMatch	https://en.wikipedia.org/wiki/CUT%26RUN_sequencing	semapv:ManualMappingCuration
CUT&Tag-Sequencing	CUT&Tag-Sequencing	skos:exactMatch	https://en.wikipedia.org/wiki/CUT%26Tag_sequencing	semapv:ManualMappingCuration
Cell Culture	Cell Culture	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.08d&ns=ncit&code=C16396&key=n1965245771&b=1&n=null	semapv:ManualMappingCuration
Cell Cycle Assay	Cell Cycle Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002041	semapv:ManualMappingCuration
Cell Proliferation Assay	Cell Proliferation Assay	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.03e&ns=ncit&code=C116553&key=128143824&b=1&n=null	semapv:ManualMappingCuration
Cell Viability Assay	Cell Viability Assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_0001352	semapv:ManualMappingCuration
CellTiter-Glo Luminescent Cell Viability Assay	CellTiter-Glo Luminescent Cell Viability Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0000682	semapv:ManualMappingCuration
ChIA-PET	ChIA-PET	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.03e&code=C172845&ns=ncit&type=properties&key=null&b=1&n=0&vse=null	semapv:ManualMappingCuration
ChIP-Seq	ChIP-Seq	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.03e&ns=ncit&code=C106048&key=1636610306&b=1&n=null	semapv:ManualMappingCuration
ChIP-qPCR assay	ChIP-qPCR assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002169	semapv:ManualMappingCuration
Chemotaxis Assay	Chemotaxis Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0010269	semapv:ManualMappingCuration
Clinical Study	Clinical Study	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.08d&ns=ncit&code=C71104&key=n620723826&b=1&n=null	semapv:ManualMappingCuration
Co-Immunoprecipitation	Co-Immunoprecipitation	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/message.jsf	semapv:ManualMappingCuration
Co-culture Assay	Co-culture Assay	skos:exactMatch	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032528/	semapv:ManualMappingCuration
Colorimetric Cell Viability Assay	Colorimetric Cell Viability Assay	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C95027	semapv:ManualMappingCuration
Computational Modeling	Computational Modeling	skos:exactMatch	http://id.nlm.nih.gov/mesh/D012984	semapv:ManualMappingCuration
Computational Tool	Computational Tool	skos:exactMatch	http://id.nlm.nih.gov/mesh/D012984	semapv:ManualMappingCuration
Computed Tomography	Computed Tomography	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.03e&ns=ncit&code=C17204&key=370655652&b=1&n=null	semapv:ManualMappingCuration
Confocal Microscopy	Confocal Microscopy	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf	semapv:ManualMappingCuration
Cross-Linking Immunoprecipitation High-throughput Sequencing	Cross-Linking Immunoprecipitation High-throughput Sequencing	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.03e&code=C116152&ns=ncit&type=properties&key=null&b=1&n=0&vse=null	semapv:ManualMappingCuration
Cryo-Electron Microscopy	Cryo-Electron Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C18113	semapv:ManualMappingCuration
Cyclic Immunofluorescence	Cyclic Immunofluorescence	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/27925668/	semapv:ManualMappingCuration
DNA Gene-Expression Microarray	DNA Gene-Expression Microarray	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C93207	semapv:ManualMappingCuration
DNA Methylation Array	DNA Methylation Array	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/message.jsf	semapv:ManualMappingCuration
DNA Sequencing	DNA Sequencing	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.04d&code=C153598&ns=ncit&type=properties&key=n1129370290&b=1&n=0&vse=null	semapv:ManualMappingCuration
Data Integration	Data Integration	skos:exactMatch	http://purl.obolibrary.org/obo/T4FS_0000487	semapv:ManualMappingCuration
Deep Learning	Deep Learning	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/message.jsf	semapv:ManualMappingCuration
Desorption Electrospray Ionization	Desorption Electrospray Ionization	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0001660	semapv:ManualMappingCuration
Dual-Luciferase Reporter Assay	Dual-Luciferase Reporter Assay	skos:exactMatch	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1214206/	semapv:ManualMappingCuration
ELISA	ELISA	skos:exactMatch	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16553	semapv:ManualMappingCuration
Electron Microscopy	Electron Microscopy	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16854	semapv:ManualMappingCuration
Epidemiological Method	Epidemiological Method	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16555	semapv:ManualMappingCuration
FISH	FISH	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C17563	semapv:ManualMappingCuration
Flow Cytometry	Flow Cytometry	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16585	semapv:ManualMappingCuration
Fluorescence Activated Cell Sorting	Fluorescence Activated Cell Sorting	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.02d&code=C17353&ns=ncit&type=properties&key=null&b=1&n=0&vse=null	semapv:ManualMappingCuration
Fluorescence Imaging	Fluorescence Imaging	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.02d&code=C116489&ns=ncit&type=properties&key=n615214545&b=1&n=0&vse=null	semapv:ManualMappingCuration
Fluorescence Microscopy	Fluorescence Microscopy	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16856	semapv:ManualMappingCuration
Fluorescent Antibody Procedure	Fluorescent Antibody Procedure	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C17370	semapv:ManualMappingCuration
Fluorescent In Situ Sequencing	Fluorescent In Situ Sequencing	skos:exactMatch	https://en.wikipedia.org/wiki/Fluorescent_in_situ_sequencing	semapv:ManualMappingCuration
Fourier Transform Ion Cyclotron Resonance Mass Spectrometry	Fourier Transform Ion Cyclotron Resonance Mass Spectrometry	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C116571	semapv:ManualMappingCuration
Fourier-Transform Infrared Spectroscopy	Fourier-Transform Infrared Spectroscopy	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000636	semapv:ManualMappingCuration
Gene Set Enrichment Analysis	Gene Set Enrichment Analysis	skos:exactMatch	https://www.gsea-msigdb.org/gsea/index.jsp	semapv:ManualMappingCuration
Gene Silencing	Gene Silencing	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.08d&ns=ncit&code=C39200&key=n1874356328&b=1&n=null	semapv:ManualMappingCuration
Genotyping	Genotyping	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C45447	semapv:ManualMappingCuration
Global Chromatin Profiling	Global Chromatin Profiling	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002961	semapv:ManualMappingCuration
Global Run-On Sequencing	Global Run-On Sequencing	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0005227	semapv:ManualMappingCuration
Hematoxylin and Eosin Staining Method	Hematoxylin and Eosin Staining Method	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C23011	semapv:ManualMappingCuration
Hi-C	Hi-C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007693	semapv:ManualMappingCuration
HiChIP	HiChIP	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C179435	semapv:ManualMappingCuration
High Throughput Screening	High Throughput Screening	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C18472	semapv:ManualMappingCuration
Hydrogels	Hydrogels	skos:exactMatch	https://en.wikipedia.org/wiki/Hydrogel	semapv:ManualMappingCuration
Imaging	Imaging	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C17369	semapv:ManualMappingCuration
Imaging Mass Cytometry	Imaging Mass Cytometry	skos:exactMatch	https://www.nature.com/articles/s43018-021-00301-w	semapv:ManualMappingCuration
Immobilized Metal Affinity Chromatography	Immobilized Metal Affinity Chromatography	skos:exactMatch	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C161789	semapv:ManualMappingCuration
ImmunoFISH	ImmunoFISH	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0011016	semapv:ManualMappingCuration
Immunoassay	Immunoassay	skos:exactMatch	https://www.ebi.ac.uk/ols/ontologies/mmo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMMO_0000098	semapv:ManualMappingCuration
