# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/dataset_tumor_type.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3167	semapv:ManualMappingCuration
Acute Monocytic Leukemia	Acute Monocytic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4861	semapv:ManualMappingCuration
Acute Myeloid Leukemia	Acute Myeloid Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3171	semapv:ManualMappingCuration
Acute Promyelocytic Leukemia	Acute Promyelocytic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C208352	semapv:ManualMappingCuration
Adenocarcinoma	Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3512	semapv:ManualMappingCuration
Angiosarcoma	Angiosarcoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3088	semapv:ManualMappingCuration
Astrocytoma	Astrocytoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C60781	semapv:ManualMappingCuration
B Acute Lymphoblastic Leukemia	B Acute Lymphoblastic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C8644	semapv:ManualMappingCuration
B-Cell Non-Hodgkin Lymphoma	B-Cell Non-Hodgkin Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3457	semapv:ManualMappingCuration
Basal-Like Breast Carcinoma	Basal-Like Breast Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C53558	semapv:ManualMappingCuration
Bladder Carcinoma	Bladder Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4912	semapv:ManualMappingCuration
Bone Neoplasm	Bone Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9343	semapv:ManualMappingCuration
Brain Neoplasm	Brain Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2907	semapv:ManualMappingCuration
