# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/grant_institution_alias.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
AECM	AECM	skos:exactMatch	https://ror.org/05cf8a891	semapv:ManualMappingCuration
ASU	ASU	skos:exactMatch	https://ror.org/03efmqc40	semapv:ManualMappingCuration
AU	AU	skos:exactMatch	https://ror.org/02v80fc35	semapv:ManualMappingCuration
BCM	BCM	skos:exactMatch	https://ror.org/02pttbw34	semapv:ManualMappingCuration
BIDMC	BIDMC	skos:exactMatch	https://ror.org/02cpjkp59	semapv:ManualMappingCuration
BMC	BMC	skos:exactMatch	https://ror.org/010b9wj87	semapv:ManualMappingCuration
BRI	BRI	skos:exactMatch	https://ror.org/05fazth07	semapv:ManualMappingCuration
BU	BU	skos:exactMatch	https://ror.org/05qwgg493	semapv:ManualMappingCuration
BWH	BWH	skos:exactMatch	https://ror.org/04b6nzv94	semapv:ManualMappingCuration
Barrow	Barrow	skos:exactMatch	https://ror.org/01fwrsq33	semapv:ManualMappingCuration
CHOP	CHOP	skos:exactMatch	https://ror.org/01z7r7q48	semapv:ManualMappingCuration
COH	COH	skos:exactMatch	https://ror.org/00w6g5w60	semapv:ManualMappingCuration
CSHL	CSHL	skos:exactMatch	https://ror.org/02qz8b764	semapv:ManualMappingCuration
Caltech	Caltech	skos:exactMatch	https://ror.org/05dxps055	semapv:ManualMappingCuration
Clemson	Clemson	skos:exactMatch	https://ror.org/037s24f05	semapv:ManualMappingCuration
Cleveland Clinic	Cleveland Clinic	skos:exactMatch	https://ror.org/03xjacd83	semapv:ManualMappingCuration
Columbia	Columbia	skos:exactMatch	https://ror.org/00hj8s172	semapv:ManualMappingCuration
Cornell	Cornell	skos:exactMatch	https://ror.org/05bnh6r87	semapv:ManualMappingCuration
DFCI	DFCI	skos:exactMatch	https://ror.org/02jzgtq86	semapv:ManualMappingCuration
Dartmouth	Dartmouth	skos:exactMatch	https://ror.org/049s0rh22	semapv:ManualMappingCuration
Duke	Duke	skos:exactMatch	https://ror.org/00py81415	semapv:ManualMappingCuration
Emory	Emory	skos:exactMatch	https://ror.org/03czfpz43	semapv:ManualMappingCuration
GTech	GTech	skos:exactMatch	https://ror.org/01zkghx44	semapv:ManualMappingCuration
HMS	HMS	skos:exactMatch	https://ror.org/03vek6s52	semapv:ManualMappingCuration
HUJI	HUJI	skos:exactMatch	https://ror.org/03qxff017	semapv:ManualMappingCuration
