# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/measurementtechnique.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
10-cell RNA Sequencing	10-cell RNA Sequencing	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/30894605	semapv:ManualMappingCuration
3D electron microscopy	3D electron microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C16854	semapv:ManualMappingCuration
AMPLICON	AMPLICON	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0003747	semapv:ManualMappingCuration
ATAC-seq	ATAC-seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C156056	semapv:ManualMappingCuration
Barcode-Seq	Barcode-Seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0008655	semapv:ManualMappingCuration
CODEX	CODEX	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C181931	semapv:ManualMappingCuration
CUT&RUN	CUT&RUN	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0009973	semapv:ManualMappingCuration
ChIP-seq	ChIP-seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106048	semapv:ManualMappingCuration
DNA Gene-Expression Microarray	DNA Gene-Expression Microarray	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C93207	semapv:ManualMappingCuration
ELISA	ELISA	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C16553	semapv:ManualMappingCuration
Fluorescence In Situ Hybridization	Fluorescence In Situ Hybridization	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C17563	semapv:ManualMappingCuration
HI-C	HI-C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007693	semapv:ManualMappingCuration
Hematoxylin and Eosin Staining Method	Hematoxylin and Eosin Staining Method	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C23011	semapv:ManualMappingCuration
Migration Assay	Migration Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C19425	semapv:ManualMappingCuration
Multiscale Light Sheet Microscopy	Multiscale Light Sheet Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0003098	semapv:ManualMappingCuration
RNA Sequencing	RNA Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C124261	semapv:ManualMappingCuration
RNA-seq	RNA-seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C124261	semapv:ManualMappingCuration
RPPA	RPPA	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C120659	semapv:ManualMappingCuration
SDS-PAGE	SDS-PAGE	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0010936	semapv:ManualMappingCuration
SNP array	SNP array	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C116151	semapv:ManualMappingCuration
Sanger sequencing	Sanger sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C19641	semapv:ManualMappingCuration
Single Cell RNA-Sequencing	Single Cell RNA-Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C171152	semapv:ManualMappingCuration
T cell receptor repertoire sequencing	T cell receptor repertoire sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C189102	semapv:ManualMappingCuration
atomic force microscopy	atomic force microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C17754	semapv:ManualMappingCuration
bisulfite sequencing	bisulfite sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106054	semapv:ManualMappingCuration
cell proliferation	cell proliferation	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C116553	semapv:ManualMappingCuration
cell viability assay	cell viability assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_000132	semapv:ManualMappingCuration
