# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/publication_assay.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
10-cell RNA Sequencing	10-cell RNA Sequencing	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/30894605	semapv:ManualMappingCuration
10x Multiome	10x Multiome	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0030059	semapv:ManualMappingCuration
16S Ribosomal Gene Sequencing Assay	16S Ribosomal Gene Sequencing Assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002763	semapv:ManualMappingCuration
3' RNA-seq	3' RNA-seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0010188	semapv:ManualMappingCuration
3C	3C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007689	semapv:ManualMappingCuration
3C-qPCR	3C-qPCR	skos:exactMatch	http://purl.obolibrary.org/obo/ECO_0000237	semapv:ManualMappingCuration
3D Bioprinting	3D Bioprinting	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/26724184	semapv:ManualMappingCuration
3D Cell Culture	3D Cell Culture	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000159	semapv:ManualMappingCuration
4C	4C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007690	semapv:ManualMappingCuration
5C	5C	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0007692	semapv:ManualMappingCuration
ATAC-Seq	ATAC-Seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C156056	semapv:ManualMappingCuration
ATAC-seq	ATAC-seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C156056	semapv:ManualMappingCuration
ATP Bioluminescence Assay	ATP Bioluminescence Assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002175	semapv:ManualMappingCuration
Affinity Purification Mass Spectrometry	Affinity Purification Mass Spectrometry	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/22611051	semapv:ManualMappingCuration
Alcian Blue Staining Method	Alcian Blue Staining Method	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C92299	semapv:ManualMappingCuration
Allograft	Allograft	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C60701	semapv:ManualMappingCuration
Amplicon Sequencing	Amplicon Sequencing	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0003747	semapv:ManualMappingCuration
Antitumor Drug Screening Assay	Antitumor Drug Screening Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C15229	semapv:ManualMappingCuration
Apoptosis Assay	Apoptosis Assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_0001182	semapv:ManualMappingCuration
Artificial Intelligence	Artificial Intelligence	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C16309	semapv:ManualMappingCuration
Atomic Absorption Spectrophotometry	Atomic Absorption Spectrophotometry	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002529	semapv:ManualMappingCuration
Atomic Absorption Spectroscopy	Atomic Absorption Spectroscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C85574	semapv:ManualMappingCuration
Atomic Force Microscopy	Atomic Force Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C17754	semapv:ManualMappingCuration
Autoradiography	Autoradiography	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C16314	semapv:ManualMappingCuration
Barcode-Seq	Barcode-Seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0008655	semapv:ManualMappingCuration
Bicinchoninic Acid Assay	Bicinchoninic Acid Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002467	semapv:ManualMappingCuration
Binding Assay	Binding Assay	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/21115850	semapv:ManualMappingCuration
Bio-Layer Interferometry	Bio-Layer Interferometry	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002107	semapv:ManualMappingCuration
Bioelectrochemical Analysis	Bioelectrochemical Analysis	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0002504	semapv:ManualMappingCuration
Bioluminescence Imaging	Bioluminescence Imaging	skos:exactMatch	https://www.wikidata.org/wiki/Q4915066	semapv:ManualMappingCuration
Bisulfite Sequencing	Bisulfite Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106054	semapv:ManualMappingCuration
Brightfield Microscopy	Brightfield Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C19827	semapv:ManualMappingCuration
Brillouin Microscopy	Brillouin Microscopy	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/29771749	semapv:ManualMappingCuration
CASFISH	CASFISH	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/26324940	semapv:ManualMappingCuration
CITE-seq	CITE-seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0009294	semapv:ManualMappingCuration
CLIP-qPCR	CLIP-qPCR	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/26721479	semapv:ManualMappingCuration
CODEX	CODEX	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C181931	semapv:ManualMappingCuration
CUT&RUN	CUT&RUN	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0009973	semapv:ManualMappingCuration
CUT&Tag-Sequencing	CUT&Tag-Sequencing	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0920004	semapv:ManualMappingCuration
Cell Adhesion Assay	Cell Adhesion Assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_0001512	semapv:ManualMappingCuration
Cell Culture	Cell Culture	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C16396	semapv:ManualMappingCuration
Cell Cycle Assay	Cell Cycle Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002041	semapv:ManualMappingCuration
Cell Fractionation	Cell Fractionation	skos:exactMatch	http://purl.obolibrary.org/obo/MMO_0000679	semapv:ManualMappingCuration
Cell Proliferation Assay	Cell Proliferation Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C116553	semapv:ManualMappingCuration
Cell Viability Assay	Cell Viability Assay	skos:exactMatch	http://purl.obolibrary.org/obo/ERO_000132	semapv:ManualMappingCuration
Cell-free Circulating Tumor DNA Assay	Cell-free Circulating Tumor DNA Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C182622	semapv:ManualMappingCuration
Cell-spreading Assay	Cell-spreading Assay	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/15576905	semapv:ManualMappingCuration
CellTiter-Glo Luminescent Cell Viability Assay	CellTiter-Glo Luminescent Cell Viability Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0000682	semapv:ManualMappingCuration
Cerenkov Luminescence Imaging	Cerenkov Luminescence Imaging	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C151895	semapv:ManualMappingCuration
ChIA-PET	ChIA-PET	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C172845	semapv:ManualMappingCuration
ChIP-PCR	ChIP-PCR	skos:exactMatch	http://purl.obolibrary.org/obo/ECO_0000227	semapv:ManualMappingCuration
ChIP-Seq	ChIP-Seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106048	semapv:ManualMappingCuration
ChIP-qPCR assay	ChIP-qPCR assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002169	semapv:ManualMappingCuration
ChIP-seq	ChIP-seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106048	semapv:ManualMappingCuration
Chemiluminescent Assay	Chemiluminescent Assay	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/28647912	semapv:ManualMappingCuration
Chemotaxis Assay	Chemotaxis Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0010269	semapv:ManualMappingCuration
Chimeric Antigen Receptor T-Cell Therapy	Chimeric Antigen Receptor T-Cell Therapy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C126102	semapv:ManualMappingCuration
Circular Dichroism Spectroscopy	Circular Dichroism Spectroscopy	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000323	semapv:ManualMappingCuration
Clinical Study	Clinical Study	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C71104	semapv:ManualMappingCuration
Clonality Analysis	Clonality Analysis	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C63327	semapv:ManualMappingCuration
Co-Immunoprecipitation	Co-Immunoprecipitation	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C19830	semapv:ManualMappingCuration
Co-culture Assay	Co-culture Assay	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/4032528	semapv:ManualMappingCuration
Collision-Induced Dissociation	Collision-Induced Dissociation	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C48061	semapv:ManualMappingCuration
Colorimetric Cell Viability Assay	Colorimetric Cell Viability Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C95027	semapv:ManualMappingCuration
Comet Assay	Comet Assay	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C96515	semapv:ManualMappingCuration
Comparative Genomic Hybridization	Comparative Genomic Hybridization	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C18084	semapv:ManualMappingCuration
Computational Modeling	Computational Modeling	skos:exactMatch	http://id.nlm.nih.gov/mesh/D012984	semapv:ManualMappingCuration
Computational Tool	Computational Tool	skos:exactMatch	http://id.nlm.nih.gov/mesh/D012984	semapv:ManualMappingCuration
Computed Tomography	Computed Tomography	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C17204	semapv:ManualMappingCuration
Confocal Microscopy	Confocal Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C17753	semapv:ManualMappingCuration
Confocal Reflectance Quantitative Phase Microscopy	Confocal Reflectance Quantitative Phase Microscopy	skos:exactMatch	http://id.nlm.nih.gov/mesh/D000097913	semapv:ManualMappingCuration
Cross-Linking Immunoprecipitation High-throughput Sequencing	Cross-Linking Immunoprecipitation High-throughput Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C116152	semapv:ManualMappingCuration
Cross-Linking Mass Spectrometry	Cross-Linking Mass Spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/PRIDE_0000430	semapv:ManualMappingCuration
Cryo-Electron Microscopy	Cryo-Electron Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C18113	semapv:ManualMappingCuration
Cryo-Electron Tomography	Cryo-Electron Tomography	skos:exactMatch	http://purl.obolibrary.org/obo/FBbi_00100015	semapv:ManualMappingCuration
Cyclic Immunofluorescence	Cyclic Immunofluorescence	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/27925668	semapv:ManualMappingCuration
Cytochemical Stain	Cytochemical Stain	skos:exactMatch	https://uts.nlm.nih.gov/uts/umls/concept/C4511272	semapv:ManualMappingCuration
Cytokine Expression Profile	Cytokine Expression Profile	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C129886	semapv:ManualMappingCuration
Cytometric Bead Array Assay	Cytometric Bead Array Assay	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000920	semapv:ManualMappingCuration
Cytotoxicity Assay	Cytotoxicity Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002993	semapv:ManualMappingCuration
DBiT-Seq	DBiT-Seq	skos:exactMatch	https://pubmed.ncbi.nlm.nih.gov/33188776	semapv:ManualMappingCuration
DNA Gene-Expression Microarray	DNA Gene-Expression Microarray	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C93207	semapv:ManualMappingCuration
DNA Methylation Array	DNA Methylation Array	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C165222	semapv:ManualMappingCuration
DNA Sequencing	DNA Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C153598	semapv:ManualMappingCuration
DNase-Seq	DNase-Seq	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C106052	semapv:ManualMappingCuration
Dark Field Microscopy	Dark Field Microscopy	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C85837	semapv:ManualMappingCuration
Data Integration	Data Integration	skos:exactMatch	http://purl.obolibrary.org/obo/T4FS_0000487	semapv:ManualMappingCuration
Deep Learning	Deep Learning	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C176258	semapv:ManualMappingCuration
Desorption Electrospray Ionization	Desorption Electrospray Ionization	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0001660	semapv:ManualMappingCuration
Dideoxy Chain Termination DNA Sequencing	Dideoxy Chain Termination DNA Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C19641	semapv:ManualMappingCuration
Differential Interference Contrast Microscopy	Differential Interference Contrast Microscopy	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0002511	semapv:ManualMappingCuration
Differential Scanning Fluorimetry	Differential Scanning Fluorimetry	skos:exactMatch	http://purl.obolibrary.org/obo/ECO_0006334	semapv:ManualMappingCuration
Diffusion Weighted Imaging	Diffusion Weighted Imaging	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C111116	semapv:ManualMappingCuration
Direct Long-Read RNA Sequencing	Direct Long-Read RNA Sequencing	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0002629	semapv:ManualMappingCuration
Drop-Seq	Drop-Seq	skos:exactMatch	http://www.ebi.ac.uk/efo/EFO_0008722	semapv:ManualMappingCuration
Droplet Digital PCR	Droplet Digital PCR	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C166064	semapv:ManualMappingCuration
Dual-Luciferase Reporter Assay	Dual-Luciferase Reporter Assay	skos:exactMatch	http://www.bioassayontology.org/bao#BAO_0000680	semapv:ManualMappingCuration
Dynamic Contrast-Enhanced Magnetic Resonance Imaging	Dynamic Contrast-Enhanced Magnetic Resonance Imaging	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C62665	semapv:ManualMappingCuration
Dynamic Force Spectroscopy	Dynamic Force Spectroscopy	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0001122	semapv:ManualMappingCuration
Dynamic Light Scattering	Dynamic Light Scattering	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C62329	semapv:ManualMappingCuration
