# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/publication_tissue.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Adipose Tissue	Adipose Tissue	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12472	semapv:ManualMappingCuration
Adrenal Gland	Adrenal Gland	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12666	semapv:ManualMappingCuration
Alveolus	Alveolus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12986	semapv:ManualMappingCuration
Aorta	Aorta	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12669	semapv:ManualMappingCuration
Artery	Artery	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12372	semapv:ManualMappingCuration
Ascending Colon	Ascending Colon	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12265	semapv:ManualMappingCuration
Bile Duct	Bile Duct	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12376	semapv:ManualMappingCuration
Bladder	Bladder	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12414	semapv:ManualMappingCuration
Blood	Blood	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12434	semapv:ManualMappingCuration
Blood Vessel	Blood Vessel	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12679	semapv:ManualMappingCuration
Bone	Bone	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12366	semapv:ManualMappingCuration
Bone Marrow	Bone Marrow	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12431	semapv:ManualMappingCuration
Brain	Brain	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12439	semapv:ManualMappingCuration
Breast	Breast	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12971	semapv:ManualMappingCuration
Caecum	Caecum	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12381	semapv:ManualMappingCuration
Cancer-Associated Fibroblast	Cancer-Associated Fibroblast	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C168534	semapv:ManualMappingCuration
Cardia	Cardia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12256	semapv:ManualMappingCuration
Cartilage	Cartilage	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C12373	semapv:ManualMappingCuration
