# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/publication_tumor_type.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Acinar Cell Carcinoma	Acinar Cell Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3768	semapv:ManualMappingCuration
Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3167	semapv:ManualMappingCuration
Acute Monocytic Leukemia	Acute Monocytic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4861	semapv:ManualMappingCuration
Acute Myeloid Leukemia	Acute Myeloid Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3171	semapv:ManualMappingCuration
Acute Promyelocytic Leukemia	Acute Promyelocytic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C208352	semapv:ManualMappingCuration
Adenocarcinoma	Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3512	semapv:ManualMappingCuration
Angiosarcoma	Angiosarcoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3088	semapv:ManualMappingCuration
Astrocytoma	Astrocytoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C60781	semapv:ManualMappingCuration
Atypical Teratoid/Rhabdoid Tumor	Atypical Teratoid/Rhabdoid Tumor	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C6906	semapv:ManualMappingCuration
B Acute Lymphoblastic Leukemia	B Acute Lymphoblastic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C8644	semapv:ManualMappingCuration
B-Cell Non-Hodgkin Lymphoma	B-Cell Non-Hodgkin Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3457	semapv:ManualMappingCuration
Barrett Esophagus	Barrett Esophagus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2891	semapv:ManualMappingCuration
Basal Cell Neoplasm	Basal Cell Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3784	semapv:ManualMappingCuration
Basal-Like Breast Carcinoma	Basal-Like Breast Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C53558	semapv:ManualMappingCuration
Biliary Tract Carcinoma	Biliary Tract Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C156781	semapv:ManualMappingCuration
Bladder Carcinoma	Bladder Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4912	semapv:ManualMappingCuration
Bladder Neoplasm	Bladder Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2901	semapv:ManualMappingCuration
Bone Neoplasm	Bone Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9343	semapv:ManualMappingCuration
Brain Neoplasm	Brain Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2907	semapv:ManualMappingCuration
Breast Adenocarcinoma	Breast Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C5214	semapv:ManualMappingCuration
Breast Carcinoma	Breast Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4872	semapv:ManualMappingCuration
Breast Neoplasm	Breast Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2910	semapv:ManualMappingCuration
Carcinoma	Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2916	semapv:ManualMappingCuration
Carcinoma In Situ	Carcinoma In Situ	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2917	semapv:ManualMappingCuration
Castration-Resistant Prostate Carcinoma	Castration-Resistant Prostate Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C130234	semapv:ManualMappingCuration
Cellular Schwannoma	Cellular Schwannoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4724	semapv:ManualMappingCuration
Central Nervous System Cavernous Hemangioma	Central Nervous System Cavernous Hemangioma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C84621	semapv:ManualMappingCuration
Central Nervous System Neoplasm	Central Nervous System Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9293	semapv:ManualMappingCuration
Cerebellar Neoplasm	Cerebellar Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2935	semapv:ManualMappingCuration
Cervical Carcinoma	Cervical Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9039	semapv:ManualMappingCuration
Cervical Neoplasm	Cervical Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2940	semapv:ManualMappingCuration
Cholangiocarcinoma	Cholangiocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4436	semapv:ManualMappingCuration
Chondroblastoma	Chondroblastoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2945	semapv:ManualMappingCuration
Choriocarcinoma	Choriocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2948	semapv:ManualMappingCuration
Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3163	semapv:ManualMappingCuration
Chronic Myeloid Leukemia	Chronic Myeloid Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3174	semapv:ManualMappingCuration
Clear Cell Renal Cell Carcinoma	Clear Cell Renal Cell Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4033	semapv:ManualMappingCuration
Colon Adenocarcinoma	Colon Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4349	semapv:ManualMappingCuration
Colon Carcinoma	Colon Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4910	semapv:ManualMappingCuration
Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C5105	semapv:ManualMappingCuration
Colorectal Adenoma	Colorectal Adenoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C5673	semapv:ManualMappingCuration
Colorectal Carcinoma	Colorectal Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2955	semapv:ManualMappingCuration
Colorectal Neoplasm	Colorectal Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2956	semapv:ManualMappingCuration
Combined Hepatocellular Carcinoma and Cholangiocarcinoma	Combined Hepatocellular Carcinoma and Cholangiocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3828	semapv:ManualMappingCuration
Craniopharyngioma	Craniopharyngioma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2964	semapv:ManualMappingCuration
Cutaneous Melanoma	Cutaneous Melanoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3510	semapv:ManualMappingCuration
Cutaneous T Cell Lymphoma	Cutaneous T Cell Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3467	semapv:ManualMappingCuration
Diffuse Large B-Cell Lymphoma	Diffuse Large B-Cell Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C8851	semapv:ManualMappingCuration
Ductal Breast Carcinoma In Situ	Ductal Breast Carcinoma In Situ	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C2924	semapv:ManualMappingCuration
Dysembryoplastic Neuroepithelial Neoplasm	Dysembryoplastic Neuroepithelial Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9505	semapv:ManualMappingCuration
Endometrial Carcinoma	Endometrial Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C7558	semapv:ManualMappingCuration
Endometrial Neoplasm	Endometrial Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3012	semapv:ManualMappingCuration
Ependymoma	Ependymoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3017	semapv:ManualMappingCuration
Esophageal Adenocarcinoma	Esophageal Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4025	semapv:ManualMappingCuration
Esophageal Carcinoma	Esophageal Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3513	semapv:ManualMappingCuration
Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4024	semapv:ManualMappingCuration
Ewing Sarcoma	Ewing Sarcoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4817	semapv:ManualMappingCuration
Extraventricular Neurocytoma	Extraventricular Neurocytoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C92555	semapv:ManualMappingCuration
Fibroepithelial Polyp	Fibroepithelial Polyp	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3337	semapv:ManualMappingCuration
Fibrolamellar Carcinoma	Fibrolamellar Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4131	semapv:ManualMappingCuration
Fibrosarcoma	Fibrosarcoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3043	semapv:ManualMappingCuration
Follicular Lymphoma	Follicular Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3209	semapv:ManualMappingCuration
Gallbladder Carcinoma	Gallbladder Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3844	semapv:ManualMappingCuration
Gastric Adenocarcinoma	Gastric Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4004	semapv:ManualMappingCuration
Gastric Carcinoma	Gastric Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4911	semapv:ManualMappingCuration
Gastric Neoplasm	Gastric Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3387	semapv:ManualMappingCuration
Gastroesophageal Adenocarcinoma	Gastroesophageal Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/DOID_0080375	semapv:ManualMappingCuration
Gastroesophageal Junction Adenocarcinoma	Gastroesophageal Junction Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9296	semapv:ManualMappingCuration
Gastrointestinal Stromal Neoplasm	Gastrointestinal Stromal Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3868	semapv:ManualMappingCuration
Giant Cell Tumor	Giant Cell Tumor	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3055	semapv:ManualMappingCuration
Glioblastoma	Glioblastoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3058	semapv:ManualMappingCuration
Glioma	Glioma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3059	semapv:ManualMappingCuration
Head and Neck Carcinoma	Head and Neck Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3077	semapv:ManualMappingCuration
Head and Neck Neoplasm	Head and Neck Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3077	semapv:ManualMappingCuration
Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C34447	semapv:ManualMappingCuration
Hepatocellular Carcinoma	Hepatocellular Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3099	semapv:ManualMappingCuration
High Grade Ovarian Serous Adenocarcinoma	High Grade Ovarian Serous Adenocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C105555	semapv:ManualMappingCuration
Histiocytic Sarcoma	Histiocytic Sarcoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C27349	semapv:ManualMappingCuration
Hodgkin Lymphoma	Hodgkin Lymphoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C9357	semapv:ManualMappingCuration
Intestinal Neoplasm	Intestinal Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3141	semapv:ManualMappingCuration
Intrahepatic Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C35417	semapv:ManualMappingCuration
Invasive Ductal Breast Carcinoma	Invasive Ductal Breast Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C4194	semapv:ManualMappingCuration
Leiomyoma	Leiomyoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C6510	semapv:ManualMappingCuration
Leukemia	Leukemia	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C3161	semapv:ManualMappingCuration
Liver and Intrahepatic Bile Duct Carcinoma	Liver and Intrahepatic Bile Duct Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C7927	semapv:ManualMappingCuration
Liver and Intrahepatic Bile Duct Neoplasm	Liver and Intrahepatic Bile Duct Neoplasm	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C7103	semapv:ManualMappingCuration
Low Grade Glioma	Low Grade Glioma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C132067	semapv:ManualMappingCuration
Luminal A Breast Carcinoma	Luminal A Breast Carcinoma	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C53554	semapv:ManualMappingCuration
