# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/species.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Caenorhabditis elegans	Caenorhabditis elegans	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14303	semapv:ManualMappingCuration
Candida albicans	Candida albicans	skos:exactMatch	http://purl.obolibrary.org/obo/NCBITaxon_5476	semapv:ManualMappingCuration
Dasypus novemcinctus	Dasypus novemcinctus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14185	semapv:ManualMappingCuration
Drosophila melanogaster	Drosophila melanogaster	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14202	semapv:ManualMappingCuration
Escherichia coli BW25113	Escherichia coli BW25113	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14206	semapv:ManualMappingCuration
Escherichia coli str. K-12 substr. MG1655	Escherichia coli str. K-12 substr. MG1655	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14206	semapv:ManualMappingCuration
Gallus gallus	Gallus gallus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14193	semapv:ManualMappingCuration
Homo sapiens	Homo sapiens	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14225	semapv:ManualMappingCuration
Macaca nemestrina	Macaca nemestrina	skos:exactMatch	http://purl.obolibrary.org/obo/NCBITaxon_9545	semapv:ManualMappingCuration
Monodelphis domestica	Monodelphis domestica	skos:exactMatch	http://id.nlm.nih.gov/mesh/D009893	semapv:ManualMappingCuration
Mouse	Mouse	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14238	semapv:ManualMappingCuration
Mus musculus	Mus musculus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14238	semapv:ManualMappingCuration
Rattus norvegicus	Rattus norvegicus	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C160998	semapv:ManualMappingCuration
Rhesus macaque	Rhesus macaque	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14233	semapv:ManualMappingCuration
Saccharomyces cerevisiae	Saccharomyces cerevisiae	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14286	semapv:ManualMappingCuration
Saccharomyces cerevisiae W303	Saccharomyces cerevisiae W303	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14286	semapv:ManualMappingCuration
Schizosaccharomyces pombe	Schizosaccharomyces pombe	skos:exactMatch	http://purl.obolibrary.org/obo/NCBITaxon_4896	semapv:ManualMappingCuration
Sus scrofa	Sus scrofa	skos:exactMatch	http://purl.obolibrary.org/obo/FOODON_00004286	semapv:ManualMappingCuration
Zebrafish	Zebrafish	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C14287	semapv:ManualMappingCuration
