# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/tool_input_format.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Annotated Text Format	Annotated Text Format	skos:exactMatch	http://edamontology.org/format_3780	semapv:ManualMappingCuration
BAM	BAM	skos:exactMatch	http://edamontology.org/format_2572	semapv:ManualMappingCuration
BCF	BCF	skos:exactMatch	http://edamontology.org/format_3020	semapv:ManualMappingCuration
BED	BED	skos:exactMatch	http://edamontology.org/format_3003	semapv:ManualMappingCuration
BNGL	BNGL	skos:exactMatch	http://edamontology.org/format_3972	semapv:ManualMappingCuration
Biological Model Format	Biological Model Format	skos:exactMatch	http://edamontology.org/format_2013	semapv:ManualMappingCuration
Biological Pathway Or Network Format	Biological Pathway Or Network Format	skos:exactMatch	http://edamontology.org/format_2013	semapv:ManualMappingCuration
CSV	CSV	skos:exactMatch	http://edamontology.org/format_3752	semapv:ManualMappingCuration
Chemical Data Format	Chemical Data Format	skos:exactMatch	http://edamontology.org/format_2030	semapv:ManualMappingCuration
Cytoband Format	Cytoband Format	skos:exactMatch	http://edamontology.org/format_3235	semapv:ManualMappingCuration
Cytoscape Input File Format	Cytoscape Input File Format	skos:exactMatch	http://edamontology.org/format_3477	semapv:ManualMappingCuration
Document Format	Document Format	skos:exactMatch	http://edamontology.org/format_3507	semapv:ManualMappingCuration
FASTA	FASTA	skos:exactMatch	http://edamontology.org/format_1929	semapv:ManualMappingCuration
FASTQ	FASTQ	skos:exactMatch	http://edamontology.org/format_1930	semapv:ManualMappingCuration
FASTQ-Illumina	FASTQ-Illumina	skos:exactMatch	http://edamontology.org/format_1931	semapv:ManualMappingCuration
FCS	FCS	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000327	semapv:ManualMappingCuration
GCT/Res Format	GCT/Res Format	skos:exactMatch	http://edamontology.org/format_3709	semapv:ManualMappingCuration
GTF	GTF	skos:exactMatch	http://edamontology.org/format_2306	semapv:ManualMappingCuration
