# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/tool_operation.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Agent-Based Cell Modelling	Agent-Based Cell Modelling	skos:exactMatch	http://purl.obolibrary.org/obo/MAMO_0000024	semapv:ManualMappingCuration
Aggregation	Aggregation	skos:exactMatch	http://edamontology.org/operation_3436	semapv:ManualMappingCuration
Allele Frequency Distribution Analysis	Allele Frequency Distribution Analysis	skos:exactMatch	http://edamontology.org/operation_0554	semapv:ManualMappingCuration
Analysis	Analysis	skos:exactMatch	http://edamontology.org/operation_2945	semapv:ManualMappingCuration
Annotation	Annotation	skos:exactMatch	http://edamontology.org/operation_0226	semapv:ManualMappingCuration
Box-Whisker Plot Plotting	Box-Whisker Plot Plotting	skos:exactMatch	http://edamontology.org/operation_2943	semapv:ManualMappingCuration
Calculation	Calculation	skos:exactMatch	http://edamontology.org/operation_3438	semapv:ManualMappingCuration
Cell Migration Analysis	Cell Migration Analysis	skos:exactMatch	http://edamontology.org/operation_3446	semapv:ManualMappingCuration
Classification	Classification	skos:exactMatch	http://edamontology.org/operation_2990	semapv:ManualMappingCuration
Clustering	Clustering	skos:exactMatch	http://edamontology.org/operation_3432	semapv:ManualMappingCuration
Clustering Profile Plotting	Clustering Profile Plotting	skos:exactMatch	http://edamontology.org/operation_2935	semapv:ManualMappingCuration
Conversion	Conversion	skos:exactMatch	http://edamontology.org/operation_3434	semapv:ManualMappingCuration
Copy Number Variation Detection	Copy Number Variation Detection	skos:exactMatch	http://edamontology.org/operation_3961	semapv:ManualMappingCuration
Correlation	Correlation	skos:exactMatch	http://edamontology.org/operation_3465	semapv:ManualMappingCuration
DNA Barcoding	DNA Barcoding	skos:exactMatch	http://edamontology.org/operation_3200	semapv:ManualMappingCuration
Data Handling	Data Handling	skos:exactMatch	http://edamontology.org/operation_2409	semapv:ManualMappingCuration
Data Retrieval	Data Retrieval	skos:exactMatch	http://edamontology.org/operation_2422	semapv:ManualMappingCuration
Database Search	Database Search	skos:exactMatch	http://edamontology.org/operation_2421	semapv:ManualMappingCuration
De Novo Sequencing	De Novo Sequencing	skos:exactMatch	http://edamontology.org/operation_3644	semapv:ManualMappingCuration
Demultiplexing	Demultiplexing	skos:exactMatch	http://edamontology.org/operation_3933	semapv:ManualMappingCuration
Differential Gene Expression Profiling	Differential Gene Expression Profiling	skos:exactMatch	http://edamontology.org/operation_3223	semapv:ManualMappingCuration
Differential Protein Expression Profiling	Differential Protein Expression Profiling	skos:exactMatch	http://edamontology.org/operation_3741	semapv:ManualMappingCuration
Dimensionality Reduction	Dimensionality Reduction	skos:exactMatch	http://edamontology.org/operation_3935	semapv:ManualMappingCuration
Enrichment Analysis	Enrichment Analysis	skos:exactMatch	http://edamontology.org/operation_3501	semapv:ManualMappingCuration
Expression Analysis	Expression Analysis	skos:exactMatch	http://edamontology.org/operation_2495	semapv:ManualMappingCuration
Expression Correlation Analysis	Expression Correlation Analysis	skos:exactMatch	http://edamontology.org/operation_3463	semapv:ManualMappingCuration
Expression Data Visualisation	Expression Data Visualisation	skos:exactMatch	http://edamontology.org/operation_0571	semapv:ManualMappingCuration
Expression Profile Clustering	Expression Profile Clustering	skos:exactMatch	http://edamontology.org/operation_0313	semapv:ManualMappingCuration
Expression Profile Comparison	Expression Profile Comparison	skos:exactMatch	http://edamontology.org/operation_0315	semapv:ManualMappingCuration
Functional Clustering	Functional Clustering	skos:exactMatch	http://edamontology.org/operation_3459	semapv:ManualMappingCuration
Gene Expression Profiling	Gene Expression Profiling	skos:exactMatch	http://edamontology.org/operation_0314	semapv:ManualMappingCuration
Gene Methylation Analysis	Gene Methylation Analysis	skos:exactMatch	http://edamontology.org/operation_3207	semapv:ManualMappingCuration
Gene Regulatory Network Analysis	Gene Regulatory Network Analysis	skos:exactMatch	http://edamontology.org/operation_1781	semapv:ManualMappingCuration
Gene Regulatory Network Prediction	Gene Regulatory Network Prediction	skos:exactMatch	http://edamontology.org/operation_2437	semapv:ManualMappingCuration
Gene-Set Enrichment Analysis	Gene-Set Enrichment Analysis	skos:exactMatch	http://edamontology.org/operation_2436	semapv:ManualMappingCuration
Genetic Mapping	Genetic Mapping	skos:exactMatch	http://edamontology.org/operation_0282	semapv:ManualMappingCuration
Genetic Variation Analysis	Genetic Variation Analysis	skos:exactMatch	http://edamontology.org/operation_3197	semapv:ManualMappingCuration
