# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/tool_output_data.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Alignment	Alignment	skos:exactMatch	http://edamontology.org/data_1916	semapv:ManualMappingCuration
Cell Line Name	Cell Line Name	skos:exactMatch	http://edamontology.org/data_2316	semapv:ManualMappingCuration
Cell Migration Track Image	Cell Migration Track Image	skos:exactMatch	http://edamontology.org/data_3449	semapv:ManualMappingCuration
Cell Type Identifier	Cell Type Identifier	skos:exactMatch	http://edamontology.org/data_2655	semapv:ManualMappingCuration
Cell Type Name	Cell Type Name	skos:exactMatch	http://edamontology.org/data_2892	semapv:ManualMappingCuration
Cell Type Ontology ID	Cell Type Ontology ID	skos:exactMatch	http://edamontology.org/data_3238	semapv:ManualMappingCuration
Chromosome Report	Chromosome Report	skos:exactMatch	http://edamontology.org/data_0919	semapv:ManualMappingCuration
Clustered Expression Profiles	Clustered Expression Profiles	skos:exactMatch	http://edamontology.org/data_3768	semapv:ManualMappingCuration
Comparison Matrix	Comparison Matrix	skos:exactMatch	http://edamontology.org/data_0874	semapv:ManualMappingCuration
DNA Sequence	DNA Sequence	skos:exactMatch	http://edamontology.org/data_3494	semapv:ManualMappingCuration
Database Search Results	Database Search Results	skos:exactMatch	http://edamontology.org/data_2080	semapv:ManualMappingCuration
Drug Name	Drug Name	skos:exactMatch	http://edamontology.org/data_2899	semapv:ManualMappingCuration
Drug Report	Drug Report	skos:exactMatch	http://edamontology.org/data_1696	semapv:ManualMappingCuration
Experimental Measurement	Experimental Measurement	skos:exactMatch	http://edamontology.org/data_3108	semapv:ManualMappingCuration
Expression Data	Expression Data	skos:exactMatch	http://edamontology.org/data_2603	semapv:ManualMappingCuration
GO-Term Enrichment Data	GO-Term Enrichment Data	skos:exactMatch	http://edamontology.org/data_3754	semapv:ManualMappingCuration
Gene Expression Matrix	Gene Expression Matrix	skos:exactMatch	http://edamontology.org/data_3112	semapv:ManualMappingCuration
Gene Expression Profile	Gene Expression Profile	skos:exactMatch	http://edamontology.org/data_0928	semapv:ManualMappingCuration
Gene Name	Gene Name	skos:exactMatch	http://edamontology.org/data_2299	semapv:ManualMappingCuration
Gene Report	Gene Report	skos:exactMatch	http://edamontology.org/data_0916	semapv:ManualMappingCuration
Gene Symbol	Gene Symbol	skos:exactMatch	http://edamontology.org/data_1026	semapv:ManualMappingCuration
Gene Tree	Gene Tree	skos:exactMatch	http://edamontology.org/data_3271	semapv:ManualMappingCuration
Genetic Map	Genetic Map	skos:exactMatch	http://edamontology.org/data_1278	semapv:ManualMappingCuration
Genotype/Phenotype Report	Genotype/Phenotype Report	skos:exactMatch	http://edamontology.org/data_0920	semapv:ManualMappingCuration
Heat Map	Heat Map	skos:exactMatch	http://edamontology.org/data_1636	semapv:ManualMappingCuration
Hierarchy	Hierarchy	skos:exactMatch	http://edamontology.org/data_2589	semapv:ManualMappingCuration
Histogram	Histogram	skos:exactMatch	http://edamontology.org/data_3905	semapv:ManualMappingCuration
Identifier	Identifier	skos:exactMatch	http://edamontology.org/data_0842	semapv:ManualMappingCuration
Image	Image	skos:exactMatch	http://edamontology.org/data_2968	semapv:ManualMappingCuration
Image Metadata	Image Metadata	skos:exactMatch	http://edamontology.org/data_3546	semapv:ManualMappingCuration
Kinetic Model	Kinetic Model	skos:exactMatch	http://edamontology.org/data_3241	semapv:ManualMappingCuration
Map	Map	skos:exactMatch	http://edamontology.org/data_1274	semapv:ManualMappingCuration
Map Data	Map Data	skos:exactMatch	http://edamontology.org/data_2019	semapv:ManualMappingCuration
Mass Spectrometry Data	Mass Spectrometry Data	skos:exactMatch	http://edamontology.org/data_2536	semapv:ManualMappingCuration
Mass Spectrum	Mass Spectrum	skos:exactMatch	http://edamontology.org/data_0943	semapv:ManualMappingCuration
Mathematical Model	Mathematical Model	skos:exactMatch	http://edamontology.org/data_0950	semapv:ManualMappingCuration
Matrix	Matrix	skos:exactMatch	http://edamontology.org/data_2082	semapv:ManualMappingCuration
Molecular Simulation Data	Molecular Simulation Data	skos:exactMatch	http://edamontology.org/data_3842	semapv:ManualMappingCuration
Ontology	Ontology	skos:exactMatch	http://edamontology.org/data_0582	semapv:ManualMappingCuration
Ontology Concept Data	Ontology Concept Data	skos:exactMatch	http://edamontology.org/data_0967	semapv:ManualMappingCuration
Ontology Data	Ontology Data	skos:exactMatch	http://edamontology.org/data_2353	semapv:ManualMappingCuration
Ontology Name	Ontology Name	skos:exactMatch	http://edamontology.org/data_1051	semapv:ManualMappingCuration
Ontology Term	Ontology Term	skos:exactMatch	http://edamontology.org/data_0966	semapv:ManualMappingCuration
P-Value	P-Value	skos:exactMatch	http://edamontology.org/data_1669	semapv:ManualMappingCuration
Pair Sequence Alignment	Pair Sequence Alignment	skos:exactMatch	http://edamontology.org/data_1381	semapv:ManualMappingCuration
Pathway Or Network	Pathway Or Network	skos:exactMatch	http://edamontology.org/data_2600	semapv:ManualMappingCuration
Pathway Or Network Report	Pathway Or Network Report	skos:exactMatch	http://edamontology.org/data_2984	semapv:ManualMappingCuration
Pathway Overrepresentation Data	Pathway Overrepresentation Data	skos:exactMatch	http://edamontology.org/data_3953	semapv:ManualMappingCuration
Peptide Property	Peptide Property	skos:exactMatch	http://edamontology.org/data_2979	semapv:ManualMappingCuration
