# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/mappings/tool_topic.sssom.tsv
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification
Allergy Clinical Immunology and Immunotherapeutics	Allergy Clinical Immunology and Immunotherapeutics	skos:exactMatch	http://edamontology.org/topic_3400	semapv:ManualMappingCuration
Biochemistry	Biochemistry	skos:exactMatch	http://edamontology.org/topic_3292	semapv:ManualMappingCuration
Bioimaging	Bioimaging	skos:exactMatch	http://edamontology.org/topic_3383	semapv:ManualMappingCuration
Bioinformatics	Bioinformatics	skos:exactMatch	http://edamontology.org/topic_0091	semapv:ManualMappingCuration
Biological Databases	Biological Databases	skos:exactMatch	http://edamontology.org/topic_3489	semapv:ManualMappingCuration
Biomedical Science	Biomedical Science	skos:exactMatch	http://edamontology.org/topic_3344	semapv:ManualMappingCuration
Biomolecular Simulation	Biomolecular Simulation	skos:exactMatch	http://edamontology.org/topic_3892	semapv:ManualMappingCuration
Biophysics	Biophysics	skos:exactMatch	http://edamontology.org/topic_3306	semapv:ManualMappingCuration
Biotherapeutics	Biotherapeutics	skos:exactMatch	http://edamontology.org/topic_3374	semapv:ManualMappingCuration
Cell Biology	Cell Biology	skos:exactMatch	http://edamontology.org/topic_2229	semapv:ManualMappingCuration
Cell Culture Collection	Cell Culture Collection	skos:exactMatch	http://edamontology.org/topic_3340	semapv:ManualMappingCuration
Chip-Seq	Chip-Seq	skos:exactMatch	http://edamontology.org/topic_3169	semapv:ManualMappingCuration
Chromosome Conformation Capture	Chromosome Conformation Capture	skos:exactMatch	http://edamontology.org/topic_3940	semapv:ManualMappingCuration
Comparative Genomics	Comparative Genomics	skos:exactMatch	http://edamontology.org/topic_0797	semapv:ManualMappingCuration
Compound Libraries and Screening	Compound Libraries and Screening	skos:exactMatch	http://edamontology.org/topic_3343	semapv:ManualMappingCuration
Computational Biology	Computational Biology	skos:exactMatch	http://edamontology.org/topic_3307	semapv:ManualMappingCuration
Cytogenetics	Cytogenetics	skos:exactMatch	http://edamontology.org/topic_3959	semapv:ManualMappingCuration
Cytometry	Cytometry	skos:exactMatch	http://edamontology.org/topic_3934	semapv:ManualMappingCuration
DNA	DNA	skos:exactMatch	http://edamontology.org/topic_0654	semapv:ManualMappingCuration
DNA Mutation	DNA Mutation	skos:exactMatch	http://edamontology.org/topic_2533	semapv:ManualMappingCuration
DNA Packaging	DNA Packaging	skos:exactMatch	http://edamontology.org/topic_3176	semapv:ManualMappingCuration
DNA Polymorphism	DNA Polymorphism	skos:exactMatch	http://edamontology.org/topic_2885	semapv:ManualMappingCuration
Data Architecture Analysis and Design	Data Architecture Analysis and Design	skos:exactMatch	http://edamontology.org/topic_3365	semapv:ManualMappingCuration
Data Identity and Mapping	Data Identity and Mapping	skos:exactMatch	http://edamontology.org/topic_3345	semapv:ManualMappingCuration
Data Mining	Data Mining	skos:exactMatch	http://edamontology.org/topic_3473	semapv:ManualMappingCuration
