Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Biospecimen,Metadata attributes for describing a tissue or tumor sample,,"Biospecimen_id, Study Key, Individual Key, Model Key, Parent Biospecimen Key, Biospecimen Type Category, Biospecimen Type, Biospecimen Tumor Status, Biospecimen Acquisition Method, Biospecimen Incidence Type, Biospecimen Stain, Species, Sex, Biospecimen Age at Collection, Biospecimen Age at Collection Unit, Disease Type, Primary Site, Primary Diagnosis, Site of Origin, Tumor Subtype, Tumor Grade, Known Metastasis Sites, Biospecimen Tumor Morphology, Biospecimen Composition, Biospecimen Preservation Method, Biospecimen Preservation Medium, Biospecimen Embedding Medium, Biospecimen Anatomic Site, Biospecimen Site of Resection or Biopsy, Biospecimen Timepoint Type, Biospecimen Timepoint Offset, Biospecimen Collection Site, Treatment Type, Therapeutic Agent, Treatment Response, Last Known Disease Status, Biospecimen BioSample Identifier, Biospecimen Description, ICD-10-CM Disease Code, Biospecimen Treatment Prior to Specimen Collection Indicator, Biospecimen Aliquot Mass, Biospecimen Aliquot Volume, Biospecimen Analyte Type, Biospecimen Days from Diagnosis to Specimen Collection, Biospecimen Days from First Subject Visit to Specimen Collection, Biospecimen Days from First Treatment to Specimen Collection, Biospecimen Days from Initial Genomic Sequencing to Specimen Collection, Biospecimen Days from Recurrence to Specimen Collection, Biospecimen Days from Specimen Collection to Initial Pathologic Diagnosis, Biospecimen Preservation Temperature, Biospecimen Taxonomy ID",,,,,,,,,True,
Biospecimen_id,"Unique row identifier, used as a primary key for record updates. This should terminate in ModelKey-Bxxx or IndividualKey-Bxxx format, unless directed otherwise.",,,True,"CDE:15100774, primary_key",,string,,"B\d{1,9}$",,,,
Biospecimen Type Category,"The kind of material that forms the biospecimen sample, as captured in the Ontology for Biobanking (OBIB), a specimen subset of the Ontology for Biomedical Investigations (OBI) -- see https://www.ebi.ac.uk/ols4/ontologies/obib. Reference-validated, not a fixed list. Note: Biospecimen Analyte Type (a sibling attribute) was described as applicable 'when Type Category = Analyte' -- since this field is no longer a small closed list, that conditional relationship needs re-verification against real OBIB term values once live lookups are available.",,,True,"CDE:11253427, CRDC_CDE:11253427",,string,,^OBIB:\d+$,,,,
Biospecimen Type,The type of biospecimen,"Additional - New Primary, Additional Metastatic, Analyte, Benign Neoplasms, Blood Buffy Coat, Blood Clot, Blood Derived Cancer - Bone Marrow, Blood Derived Cancer - Bone Marrow; Post-treatment, Blood Derived Cancer - Peripheral Blood, Blood Derived Cancer - Peripheral Blood; Post-treatment, Blood Derived Liquid Biopsy, Blood Derived Normal, Body Fluid, Bone Marrow Normal, Buccal Cell Normal, Cell, Cell Line Derived Xenograft Tissue, Cell Lines, Control Analyte, DNA, EBV Immortalized Normal, Expanded Next Generation Cancer Model, FFPE Recurrent, FFPE Scrolls, Fibroblasts from Bone Marrow Normal, GenomePlex (Rubicon) Amplified DNA, Granulocytes, Human Tumor Original Cells, In Situ Neoplasms, Lymphoid Normal, Metastatic, Mixed Adherent Suspension, Mononuclear Cells from Bone Marrow Normal, Neoplasms of Uncertain and Unknown Behavior, Next Generation Cancer Model, Next Generation Cancer Model Expanded Under Non-conforming Conditions, Not Allowed To Collect, Pleural Effusion, Post neo-adjuvant therapy, Primary Blood Derived Cancer - Bone Marrow, Primary Blood Derived Cancer - Peripheral Blood, Primary Tumor, Primary Xenograft Tissue, Recurrent Blood Derived Cancer - Bone Marrow, Recurrent Blood Derived Cancer - Peripheral Blood, Recurrent Tumor, Repli-G (Qiagen) DNA, Repli-G X (Qiagen) DNA, RNA, Saliva, Slides, Solid Tissue Normal, Tissue, Total RNA, Tumor, Tumor Adjacent Normal - Post Neo-adjuvant Therapy, Whole Animal, Whole Blood, Xenograft Tissue, Unknown, Not Reported",,,,,string,,,,,,
Biospecimen Age at Collection,Age at the time the biospecimen was collected. Please provide the unit in field Biospecimen Age at Collection Unit.,,,,CDE:14473376,,number,,,,,,
Biospecimen Age at Collection Unit,Unit associated with age at the time the biospecimen was collected.,,,,,,string,,,,,,
Biospecimen Composition,"The text term used to describe the type(s) of tissue contained in the biospecimen. Multiple values permitted, comma separated.","Additional Primary, Atypia or hyperplasia, Local recurrence, Metastatic, Normal, Normal adjacent, Normal distant, NOS, Not applicable, Not reported, Premalignant, Premalignant - in situ, Primary, Recurrent, Tissue, Tumor post-adjuvant therapy, Tumor post-neoadjuvant therapy, Tumor post-therapy, Tumor specimen from de novo untreated malignancy of the bladder, Unknown, Xenograft",,,"CDE:12922545, CRDC_CDE:12922545",,string_list,,,,,,
Biospecimen Tumor Status,Normal or Tumor Sample Pathology Indicator,"Tumor, Normal, Not Reported, Peritumoral, Unknown",,True,"CDE:14688604, CRDC_CDE:14688604",,string,,,,,,
Biospecimen Preservation Method,Text term that represents the method used to preserve the sample.,"Cryopreserved, Cryopreservation in liquid nitrogen - dead tissue, Cryopreservation in dry ice - dead tissue, Cryopreservation in liquid nitrogen - live cells, Formalin fixed paraffin embedded - FFPE, Formalin fixed-unbuffered, Formalin fixed-buffered, Fresh, Fresh dissociated and single cell sorted into plates in NP40 buffer, OCT, Snap Frozen, Frozen, Negative 80 Deg C, Liquid Nitrogen, Fresh dissociated, Fresh dissociated and single cell sorted, Fresh dissociated and single cell sorted into plates, Methacarn fixed paraffin embedded - MFPE, unknown, Not Reported",,,"CDE:8028962, CRDC_CDE:8028962",,string,,,,,,
Biospecimen Anatomic Site,"The UBERON identifier of the primary disease site of the submitted tumor sample (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Reference-validated, not a fixed list.",,,,CDE:14156279,,string,,^UBERON:\d+$,,,,
