Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Aspiration,"Procedure using suction, usually with a thin needle and syringe, to remove bodily fluid or tissue.",,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C15631,http://purl.obolibrary.org/obo/NCIT_C15631,C15631,Restricted to CRDC_CDE:15115495's (Specimen Collection Method Type) real 10-term permissible-value list.
Blood Draw,A small volume of blood removed for testing or storage.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,Blood draw,NCIT:C17610,http://purl.obolibrary.org/obo/NCIT_C17610,C17610,"Restricted to CRDC_CDE:15115495's real permissible-value list; caDSR's official value/concept (NCIT:C17610 ""Blood Sample"") replaces the prior NCIT:C28221 mapping."
Bone Marrow Aspiration,Aspiration of immature hematopoietic elements and blood from the bone marrow. It is done for the evaluation of hematopoietic disorders and for the evaluation of infectious diseases and cytogenetic studies.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C15644,http://purl.obolibrary.org/obo/NCIT_C15644,C15644,Restricted to CRDC_CDE:15115495's real 10-term permissible-value list.
Excisional Biopsy,A surgical procedure in which an entire lesion is removed for microscopic examination.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C15385,http://purl.obolibrary.org/obo/NCIT_C15385,C15385,Restricted to CRDC_CDE:15115495's real 10-term permissible-value list.
Incisional Biopsy,A surgical procedure in which part of a lesion is removed for microscopic examination.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C15386,http://purl.obolibrary.org/obo/NCIT_C15386,C15386,Restricted to CRDC_CDE:15115495's real 10-term permissible-value list.
Needle Biopsy,"The removal of a tissue sample using a needle, for microscopic examination.",,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,"Core needle biopsy, Fine needle aspirate",NCIT:C15190,http://purl.obolibrary.org/obo/NCIT_C15190,C15190,"Restricted to CRDC_CDE:15115495's real 10-term permissible-value list; the prior, more granular ""Core needle biopsy""/""Fine needle aspirate"" rows are recorded here as nonpreferred terms, not dropped from discoverability."
Not Reported,Not provided or available.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,"Not reported, Not applicable, Not specified, Unknown",NCIT:C43234,http://purl.obolibrary.org/obo/NCIT_C43234,C43234,"Restricted to CRDC_CDE:15115495's real 10-term permissible-value list; the prior ""Not applicable""/""Not specified""/""Unknown"" rows are recorded here as nonpreferred terms, not dropped from discoverability."
Other,Different than the one(s) previously specified or mentioned.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C17649,http://purl.obolibrary.org/obo/NCIT_C17649,C17649,Restricted to CRDC_CDE:15115495's real 10-term permissible-value list.
Surgical Resection,The surgical removal of all or part of an organ or tissue structure that may include a lesion.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,"Lymphadenectomy (regional nodes), Pancreaticoduodenectomy, Re-excision, Sentinel node biopsy, Shave biopsy, Punch biopsy",NCIT:C158758,http://purl.obolibrary.org/obo/NCIT_C158758,C158758,"Restricted to CRDC_CDE:15115495's real 10-term permissible-value list; the prior, more specific surgical/biopsy-procedure rows are recorded here as nonpreferred terms, not dropped from discoverability."
Tumor Resection,A surgical procedure in which cancerous tissue is surgically removed.,,,FALSE,,Biospecimen Acquisition Method,,CRDC_CDE:15115495,,,NCIT:C164212,http://purl.obolibrary.org/obo/NCIT_C164212,C164212,Restricted to CRDC_CDE:15115495's real 10-term permissible-value list.
