Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Acetone,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Alcohol,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Formalin,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Glutaraldehyde,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
OCT media,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
RNAlater,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Saline,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
95% Ethanol,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
NP40 Lysis Buffer,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Not recorded,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Diimidoester,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Carbodiimide,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Dimethylacetamide,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Para-benzoquinone,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
PAXgene Tissue,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
TCL Lysis Buffer,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Not applicable,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Methacarn,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
CryoStor,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Carnoy's Solution,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Poloxamer,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Other,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
None,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
Unknown,,,,FALSE,,Biospecimen Fixative,,CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative,,,,,,
