Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Cryopreserved,"Preservation of cells, tissues, organs, or embryos by storage at low temperatures.",,,FALSE,,Preservation Method,,,,,NCIT:C16475,http://purl.obolibrary.org/obo/NCIT_C16475,C16475,
Cytospin Slide,A slide prepared by centrifuging a cell suspension to concentrate cells onto the slide surface.,,,FALSE,,Preservation Method,,,,,NCIT:C115350,http://purl.obolibrary.org/obo/NCIT_C115350,C115350,
Fixation,The chemical preservation of a substance to maintain structural and/or molecular features of that substance as they exist in the living entity.,,,FALSE,,Preservation Method,,,,,NCIT:C25219,http://purl.obolibrary.org/obo/NCIT_C25219,C25219,
Fresh,Tissue which has not been exposed to a fixative solution.,,,FALSE,,Preservation Method,,,,,NCIT:C84517,http://purl.obolibrary.org/obo/NCIT_C84517,C84517,
Fresh Dissociated,A tissue preparation process that takes fresh tissue and dissociates it into single cell suspensions.,,,FALSE,,Preservation Method,,,,,NCIT:C185404,http://purl.obolibrary.org/obo/NCIT_C185404,C185404,
Fresh Dissociated and Single Cell Sorted,A tissue preparation process that separates fresh dissociated tissue cells into cell populations by single cell sorting.,,,FALSE,,Preservation Method,,,,,NCIT:C185405,http://purl.obolibrary.org/obo/NCIT_C185405,C185405,
Fresh Dissociated and Single Cell Sorted into Plates,"A tissue preparation process that takes dissociated, sorted cells and distributes them into cell propagation plates.",,,FALSE,,Preservation Method,,,,,NCIT:C185406,http://purl.obolibrary.org/obo/NCIT_C185406,C185406,
Frozen,A tissue sample that has been frozen prior to analysis.,,,FALSE,,Preservation Method,,,,,NCIT:C158417,http://purl.obolibrary.org/obo/NCIT_C158417,C158417,
Not Applicable,Determination of a value is not relevant in the current context.,,,FALSE,,Preservation Method,,,,,NCIT:C48660,http://purl.obolibrary.org/obo/NCIT_C48660,C48660,
Not Reported,An indication that the required information was not provided.,,,FALSE,,Preservation Method,,,,,NCIT:C43234,http://purl.obolibrary.org/obo/NCIT_C43234,C43234,
Refrigerated,A specimen that has been kept or preserved at a low temperature in a refrigerator.,,,FALSE,,Preservation Method,,,,,NCIT:C70718,http://purl.obolibrary.org/obo/NCIT_C70718,C70718,
Refrigerated Vacuum Chamber,A device designed to maintain a vacuum at a below-ambient temperature.,,,FALSE,,Preservation Method,,,,,NCIT:C185340,http://purl.obolibrary.org/obo/NCIT_C185340,C185340,
Snap Frozen,To freeze rapidly so as to preserve structure and prevent ice crystal formation.,,,FALSE,,Preservation Method,,,,,NCIT:C63521,http://purl.obolibrary.org/obo/NCIT_C63521,C63521,
Unknown,"Not known, observed, recorded; or reported as unknown by the data contributor.",,,FALSE,,Preservation Method,,,,,NCIT:C17998,http://purl.obolibrary.org/obo/NCIT_C17998,C17998,
