Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Additional Primary,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Atypia or hyperplasia,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Local recurrence,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Metastatic,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Normal,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Normal adjacent,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Normal distant,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
NOS,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Not applicable,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Not reported,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Premalignant,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Premalignant - in situ,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Primary,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Recurrent,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Tissue,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
"Tumor post-adjuvant therapy",,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
"Tumor post-neoadjuvant therapy",,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Tumor post-therapy,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Tumor specimen from de novo untreated malignancy of the bladder,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Unknown,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
Xenograft,,,,FALSE,,Biospecimen Composition,,CDS Imaging V1.0,,,,,,
