Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Additional - New Primary,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Additional Metastatic,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Analyte,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Benign Neoplasms,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Buffy Coat,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Clot,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Derived Cancer - Bone Marrow,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
"Blood Derived Cancer - Bone Marrow; Post-treatment",,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Derived Cancer - Peripheral Blood,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
"Blood Derived Cancer - Peripheral Blood; Post-treatment",,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Derived Liquid Biopsy,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Blood Derived Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Body Fluid,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Bone Marrow Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Buccal Cell Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Cell,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Cell Line Derived Xenograft Tissue,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Cell Lines,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Control Analyte,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
DNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
EBV Immortalized Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Expanded Next Generation Cancer Model,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
FFPE Recurrent,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
FFPE Scrolls,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Fibroblasts from Bone Marrow Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
GenomePlex (Rubicon) Amplified DNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Granulocytes,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Human Tumor Original Cells,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
In Situ Neoplasms,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Lymphoid Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Metastatic,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Mixed Adherent Suspension,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Mononuclear Cells from Bone Marrow Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Neoplasms of Uncertain and Unknown Behavior,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Next Generation Cancer Model,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Next Generation Cancer Model Expanded Under Non-conforming Conditions,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Not Allowed To Collect,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Pleural Effusion,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Post neo-adjuvant therapy,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Primary Blood Derived Cancer - Bone Marrow,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Primary Blood Derived Cancer - Peripheral Blood,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Primary Tumor,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Primary Xenograft Tissue,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Recurrent Blood Derived Cancer - Bone Marrow,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Recurrent Blood Derived Cancer - Peripheral Blood,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Recurrent Tumor,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Repli-G (Qiagen) DNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Repli-G X (Qiagen) DNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
RNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Saliva,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Slides,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Solid Tissue Normal,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Tissue,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Total RNA,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Tumor,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Tumor Adjacent Normal - Post Neo-adjuvant Therapy,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Whole Animal,,,,FALSE,,Specimen Type,,MC2,,,,,,
Whole Blood,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Xenograft Tissue,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Unknown,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
Not Reported,,,,FALSE,,Specimen Type,,CDS Imaging V1.0,,,,,,
