Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
8000/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8000/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8000/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8000/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8000/9,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8001/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8001/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8001/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8002/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8003/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8004/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8005/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8005/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8010/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8010/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8010/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8010/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8010/9,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8011/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8011/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8012/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8013/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8014/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8015/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8020/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8020/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8021/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8022/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8023/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8030/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8031/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8032/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8033/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8034/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8035/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8040/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8040/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8040/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8041/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8041/34,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8041/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8042/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8043/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8044/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8045/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8046/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8046/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8050/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8050/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8050/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8051/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8051/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8052/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8052/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8052/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8053/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8060/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8070/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8070/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8070/33,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8070/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8071/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8071/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8072/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8073/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8074/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8075/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8076/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8076/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8077/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8077/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8078/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8080/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8081/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8082/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8083/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8084/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8085/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8086/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8090/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8090/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8091/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8092/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8093/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8094/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8095/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8096/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8097/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8098/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8100/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8101/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8102/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8102/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8103/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8110/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8110/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8120/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8120/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8120/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8120/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8121/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8121/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8121/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8122/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8123/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8124/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8130/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8130/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8130/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8131/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/0,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/1,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/2,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/33,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8140/6,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8141/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8142/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
8143/3,,,,FALSE,,Tumor Morphology,,CDS Metadata v1.3.3,,,,,,
