Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Division of Cancer Control and Population Sciences,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C19217,http://purl.obolibrary.org/obo/NCIT_C19217,C19217,
Department of Defense,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C19225,http://purl.obolibrary.org/obo/NCIT_C19225,C19225,
Food and Drug Administration,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C17237,http://purl.obolibrary.org/obo/NCIT_C17237,C17237,
Foundation Medicine Inc,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C133726,http://purl.obolibrary.org/obo/NCIT_C133726,C133726,
National Cancer Institute,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C19202,http://purl.obolibrary.org/obo/NCIT_C19202,C19202,
National Institutes of Health,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C16895,http://purl.obolibrary.org/obo/NCIT_C16895,C16895,
National Library of Medicine,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C82620,http://purl.obolibrary.org/obo/NCIT_C82620,C82620,
NCI Center for Cancer Research,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C20160,http://purl.obolibrary.org/obo/NCIT_C20160,C20160,
Purdue University Center for Cancer Research,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C39502,http://purl.obolibrary.org/obo/NCIT_C39502,C39502,
UNC Lineberger Comprehensive Cancer Center,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C39554,http://purl.obolibrary.org/obo/NCIT_C39554,C39554,
Georgetown Lombardi Comprehensive Cancer Center,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C39530,http://purl.obolibrary.org/obo/NCIT_C39530,C39530,
National Clinical Trials Network,National Clinical Trials Network (NCI),,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217039,http://purl.obolibrary.org/obo/NCIT_C217039,C217039,
Proteogenomic Translational Research Centers,Proteogenomic Translational Research Center,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217040,http://purl.obolibrary.org/obo/NCIT_C217040,C217040,
Evelyn H. Lauder Founder’s Fund for Metastatic Breast Cancer Research,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217035,http://purl.obolibrary.org/obo/NCIT_C217035,C217035,
Center for Inherited Disease Research,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217036,http://purl.obolibrary.org/obo/NCIT_C217036,C217036,
Transplant Recipients International Organization,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217041,http://purl.obolibrary.org/obo/NCIT_C217041,C217041,
Multiple Myeloma Research Foundation,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217038,http://purl.obolibrary.org/obo/NCIT_C217038,C217038,
Leukemia and Lymphoma Society,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C217037,http://purl.obolibrary.org/obo/NCIT_C217037,C217037,
Center for Biomedical Informatics and Information Technology,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C82329,http://purl.obolibrary.org/obo/NCIT_C82329,C82329,
Knight Cancer Institute,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C39343,http://purl.obolibrary.org/obo/NCIT_C39343,C39343,
Broad Institute,,,,FALSE,,Consortium Funding Agency,,Sage,,,NCIT:C158521,http://purl.obolibrary.org/obo/NCIT_C158521,C158521,
