Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
CCBIR,,,,FALSE,,Consortium Name,,Sage,,,,,,
CSBC,,,,FALSE,,Consortium Name,,Sage,,,,,,
HTAN,,,,FALSE,,Consortium Name,,Sage,,,NCIT:C181842,http://purl.obolibrary.org/obo/NCIT_C181842,C181842,
ICBP,,,,FALSE,,Consortium Name,,Sage,,,,,,
MetNet,,,,FALSE,,Consortium Name,,Sage,,,,,,
NCI,,,,FALSE,,Consortium Name,,Sage,,,,,,
NCI Clinical and Translational Exploratory/Developmental Studies,,,,FALSE,,Consortium Name,,Sage,,,,,,
PDMC,,,,FALSE,,Consortium Name,,Sage,,,,,,
PS-ON,,,,FALSE,,Consortium Name,,Sage,,,,,,
Sage Bionetworks,,,,FALSE,,Consortium Name,,Sage,,,ROR:049ncjx51,https://ror.org/049ncjx51,,
TEC,,,,FALSE,,Consortium Name,,Sage,,,,,,
