Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
community,The Sage Bionetworks project or initiative with which the dataset is associated.,,,,,,string,,,,,,
description,A text description of the dataset. Can be identifical to Dataset Description.,,,,,,string,,,,,,
contributor,"Organization(s), insitution(s), or person(s) that generated and/or deposited the data in Synapse. Can be identical to Grant Institution Name.",,,,,,string_list,,,,,,
keywords,Keywords associated with the dataset. Can be identical to Publication Keywords.,,,True,,,string_list,,,,,,
individualCount,The number of participants or samples associated with the files in the dataset. Can be identical to Study Number of Participants or DSP Number of Participants,,,,,,number,,,,,,
link,"The url where the dataset is displayed, typically on a public-facing data portal. Can be identical to Dataset Url.",,,,,,string,uri,,,,,
croissant_s3_file_object,A Synapse url where the croissant file associated with this dataset is stored.,,,,,,string,uri,,,,,
studyId,The Synapse ID of the Project associated with this dataset's grant. Populated as a native Synapse annotation directly on the Dataset entity; distinct from this repo's own Study_id/Study Key.,,,,,,string,,"^syn\d{7,8}$",,,,
grantNumber,"Grant number associated with the dataset, as annotated directly on the Synapse Dataset entity. Can be identical to Dataset Grant Number.",,,,,,string,,^CA\d{6}$,,,,
downloadType,"Hosting type for the dataset's files, as annotated directly on the Synapse Dataset entity (distinct from the CCKP portal's own DatasetView.downloadType column).","Synapse Hosted, Synapse Indexed",,,,,string,,,,,,
externalRepositoryUri,"External repository identifier(s) for the dataset, as CURIE-shaped references (e.g. geo:GSE12345, sra:SRP12345, bioproject:PRJNA12345).",,,,,,string_list,,,,,,
authors,"Author list for the dataset's associated publication. Distinct from creator, which captures the person(s)/organization(s) that generated or deposited the data itself.",,,,,,string_list,,,,,,
ageGroup,Age group of the individual(s)/subject(s) the dataset's data were generated from (e.g. Adult). Free text pending a confident controlled vocabulary - too few real values observed to seed one yet.,,,,,,string,,,,,,
diseaseFocus,"Disease area the dataset focuses on, as annotated directly on the Synapse Dataset entity. Not populated in current practice.",,,,,,string,,,,,,
portal,The Sage Bionetworks portal that curated this record (e.g. CCKP). Distinguishes provenance if this vocabulary is ever shared across multiple Sage portals.,,,,,,string,,,,,,
