Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
AVI,,,,FALSE,,,,,,,,,,
BAI,,,,FALSE,,,,,,,,,,
BAM,,,,FALSE,,,,,,,,,,
BED,,,,FALSE,,,,,,,,,,
CDS,,,,FALSE,,,,,,,,,,
CHP,,,,FALSE,,,,,,,,,,
COOL,,,,FALSE,,,,,,,,,,
CSV,,,,FALSE,,,,,,,,,,
DB,,,,FALSE,,,,,,,,,,
DS_Store,,,,FALSE,,,,,,,,,,
FASTA,,,,FALSE,,,,,,,,,,
FASTQ,,,,FALSE,,,,,,,,,,
FCS,,,,FALSE,,,,,,,,,,
FIG,,,,FALSE,,,,,,,,,,
FREQ,,,,FALSE,,,,,,,,,,
GCG,,,,FALSE,,,,,,,,,,
GCT,,,,FALSE,,,,,,,,,,
GCTx,,,,FALSE,,,,,,,,,,
GFF3,,,,FALSE,,,,,,,,,,
GTF,,,,FALSE,,,,,,,,,,
GZIP Format,,,,FALSE,,,,,,,,,,
HDF,,,,FALSE,,,,,,,,,,
HDF5,,,,FALSE,,,,,,,,,,
HTML,,,,FALSE,,,,,,,,,,
IDAT,,,,FALSE,,,,,,,,,,
JPG,,,,FALSE,,,,,,,,,,
JSON,,,,FALSE,,,,,,,,,,
LIF,,,,FALSE,,,,,,,,,,
MAP,,,,FALSE,,,,,,,,,,
MAT,,,,FALSE,,,,,,,,,,
MATLAB script,,,,FALSE,,,,,,,,,,
MSF,,,,FALSE,,,,,,,,,,
MTX,,,,FALSE,,,,,,,,,,
PDF,,,,FALSE,,,,,,,,,,
PNG,,,,FALSE,,,,,,,,,,
PZFX,,,,FALSE,,,,,,,,,,
Python Script,,,,FALSE,,,,,,,,,,
R File Format,,,,FALSE,,,,,,,,,,
RAW,,,,FALSE,,,,,,,,,,
RDS,,,,FALSE,,,,,,,,,,
ROUT,,,,FALSE,,,,,,,,,,
RPROJ,,,,FALSE,,,,,,,,,,
RTF,,,,FALSE,,,,,,,,,,
SGI,,,,FALSE,,,,,,,,,,
SRA,,,,FALSE,,,,,,,,,,
STAT,,,,FALSE,,,,,,,,,,
TAR Format,,,,FALSE,,,,,,,,,,
TDF,,,,FALSE,,,,,,,,,,
TIFF,,,,FALSE,,,,,,,,,,
TSV,,,,FALSE,,,,,,,,,,
TXT,,,,FALSE,,,,,,,,,,
VCF,,,,FALSE,,,,,,,,,,
WIG,,,,FALSE,,,,,,,,,,
XML,,,,FALSE,,,,,,,,,,
ZIP,,,,FALSE,,,,,,,,,,
bed12,,,,FALSE,,,,,,,,,,
bedgraph,,,,FALSE,,,,,,,,,,
cel,,,,FALSE,,,,,,,,,,
cloupe,,,,FALSE,,,,,,,,,,
docx,,,,FALSE,,,,,,,,,,
mzIdentML,,,,FALSE,,,,,,,,,,
mzXML,,,,FALSE,,,,,,,,,,
pptx,,,,FALSE,,,,,,,,,,
rcc,,,,FALSE,,,,,,,,,,
xls,,,,FALSE,,,,,,,,,,
xlsx,,,,FALSE,,,,,,,,,,
