Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
African Bush Elephant,,,,False,,species,,,,"Loxodonta africana, African bush elephant",,,,
Armadillo,,,,False,,species,,,,,,,,
Asian Elephant,,,,False,,species,,,,"Elephas maximus, Asian elephant",,,,
Boar,,,,False,,species,,,,,9823.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9823,,
Cat,,,,False,,species,,NCBITAXON,,Felis catus,9685.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Chicken,,,,False,,species,,NCBITAXON,,,9031.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9031,,
Cow,,,,False,,species,,NCBITAXON,,,9913.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9913,,
Dog,,,,False,,species,,NCBITAXON,,,9615.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9615,,
Escherichia coli,,,,False,,species,,NCBITAXON,,,562.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Escherichia+coli&lvl=0&srchmode=1&keep=1&unlock,,
Guinea Pig,,,,False,,species,,NCBITAXON,,"Cavia porcellus, Guinea pig",10141.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=10141,,
Horse,,,,False,,species,,NCBITAXON,,Equus caballus,9796.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Human,,,,False,,species,,NCBITAXON,,,9606.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9606,,
Mouse,,,,False,,species,,NCBITAXON,,,10090.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=10090,,
Opossum,,,,False,,species,,NCBITAXON,,,13616.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=13616,,
Rabbit,,,,False,,species,,NCBITAXON,,Oryctolagus cuniculus,9986.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9986&lvl=3&lin=f&keep=1&srchmode=1&unlock,,
Rat,,,,False,,species,,NCBITAXON,,,10116.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=10116,,
Rhesus monkey,,,,False,,species,,NCBITAXON,,Macaca mulatta,9544.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9544,,
Sheep,,,,False,,species,,NCBITAXON,,Ovis aries,9940.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9940&lvl=3&lin=f&keep=1&srchmode=1&unlock,,
Trichoplax adhaerens,,,,False,,species,,NCBITAXON,,,10228.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Unknown,,,,False,,species,,,,,,,,
Unspecified,,,,False,,species,,,,,,,,
Worm,,,,False,,species,,NCBITAXON,,,6239.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=6239,,
Yeast,,,,False,,species,,,,,,,,
Fruit Fly,,,,False,,species,,NCBITAXON,,Drosophila melanogaster,7277.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227,,
