Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Alternative Text,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Audio Description,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Braille,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Captions,,,,FALSE,,Resource Media Accessibility,,,,,,,,
ChemML,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Described Math,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Display Transformability,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Haptic,,,,FALSE,,Resource Media Accessibility,,,,,,,,
High Contrast,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Large Print,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Latex,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Long Description,,,,FALSE,,Resource Media Accessibility,,,,,,,,
MathML,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Nemeth Braille,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Sign Language,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Structural Navigation,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Tactile Graphics,,,,FALSE,,Resource Media Accessibility,,,,,,,,
Transcript,,,,FALSE,,Resource Media Accessibility,,,,,,,,
