Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Activity/Lab,,,,FALSE,,Resource Activity Type,,,,,,,,
Assessment,,,,FALSE,,Resource Activity Type,,,,,,,,
Case Study,,,,FALSE,,Resource Activity Type,,,,,,,,
Data Set,,,,FALSE,,Resource Activity Type,,,,,,,,
Diagram/Illustration,,,,FALSE,,Resource Activity Type,,,,,,,,
Full Course,,,,FALSE,,Resource Activity Type,,,,,,,,
Game,,,,FALSE,,Resource Activity Type,,,,,,,,
Homework/Assignment,,,,FALSE,,Resource Activity Type,,,,,,,,
Interactive,,,,FALSE,,Resource Activity Type,,,,,,,,
Lecture,,,,FALSE,,Resource Activity Type,,,,,,,,
Lecture Notes,,,,FALSE,,Resource Activity Type,,,,,,,,
Lesson,,,,FALSE,,Resource Activity Type,,,,,,,,
Lesson Plan,,,,FALSE,,Resource Activity Type,,,,,,,,
Module,,,,FALSE,,Resource Activity Type,,,,,,,,
Primary Source,,,,FALSE,,Resource Activity Type,,,,,,,,
Reading,,,,FALSE,,Resource Activity Type,,,,,,,,
Simulation,,,,FALSE,,Resource Activity Type,,,,,,,,
Student Guide,,,,FALSE,,Resource Activity Type,,,,,,,,
Syllabus,,,,FALSE,,Resource Activity Type,,,,,,,,
Teaching/Learning Strategy,,,,FALSE,,Resource Activity Type,,,,,,,,
Textbook,,,,FALSE,,Resource Activity Type,,,,,,,,
Unit of Study,,,,FALSE,,Resource Activity Type,,,,,,,,
