Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
aa,Afar,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ab,Abkhazian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ae,Avestan,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
af,Afrikaans,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ak,Akan,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
am,Amharic,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
an,Aragonese,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ar,Arabic,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
as,Assamese,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
av,Avaric,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ay,Aymara,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
az,Azerbaijani,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ba,Bashkir,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
be,Belarusian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bg,Bulgarian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bh,Bihari languages,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bi,Bislama,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bm,Bambara,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bn,Bengali,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bo,Tibetan,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
br,Breton,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
bs,Bosnian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ca,Catalan,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ca,Valencian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ce,Chechen,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ch,Chamorro,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
co,Corsican,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
cr,Cree,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
cs,Czech,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
cu,"Church Slavic, Old Slavonic, Old Church Slavonic, Old Bulgarian, Church Slavonic",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
cv,Chuvash,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
cy,Welsh,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
da,Danish,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
de,German,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
dv,"Dhivehi, Divehi",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
dv,Maldivian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
dz,Dzongkha,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ee,Ewe,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
el,"Greek, Modern (1453-)",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
en,English,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
eo,Esperanto,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
es,"Spanish, Castilian",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
et,Estonian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
eu,Basque,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fa,Persian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ff,Fulah,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fi,Finnish,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fj,Fijian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fo,Faroese,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fr,French,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
fy,Western Frisian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ga,Irish,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
gd,"Gaelic, Scottish Gaelic",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
gl,Galician,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
gn,Guarani,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
gu,Gujarati,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
gv,Manx,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ha,Hausa,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
he,Hebrew,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
hi,Hindi,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ho,Hiri Motu,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
hr,Croatian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ht,"Haitian, Haitian Creole",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
hu,Hungarian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
hy,Armenian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
hz,Herero,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ia,Interlingua (International Auxiliary Language Association),,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
id,Indonesian,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ie,"Interlingue, Occidental",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ig,Igbo,,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
ii,"Nuosu, Sichuan Yi",,,FALSE,,Resource Language,,https://www.loc.gov/standards/iso639-2/php/English_list.php,,,,,,ISO 639-1 2-letter language codes updated 1/11/2013
