Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Audio,,,,FALSE,,Resource Primary Format,,,,,,,,
Braille/BNF,,,,FALSE,,Resource Primary Format,,,,,,,,
Downloadable docs,,,,FALSE,,Resource Primary Format,,,,,,,,
eBook,,,,FALSE,,Resource Primary Format,,,,,,,,
Graphics/Photos,,,,FALSE,,Resource Primary Format,,,,,,,,
Interactive,,,,FALSE,,Resource Primary Format,,,,,,,,
Mobile,,,,FALSE,,Resource Primary Format,,,,,,,,
Text/HTML,,,,FALSE,,Resource Primary Format,,,,,,,,
Video,,,,FALSE,,Resource Primary Format,,,,,,,,
Other,,,,FALSE,,Resource Primary Format,,,,,,,,
