Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Computational Model Development,,,,FALSE,,Resource Topic,,,,,,,,
Computational Resource,,,,FALSE,,Resource Topic,,,,,,,,
Diversity/Equity/Inclusion,,,,FALSE,,Resource Topic,,,,,,,,
Drug Resistance/Sensitivity,,,,FALSE,,Resource Topic,,,,,,,,
Epigenetics,,,,FALSE,,Resource Topic,,,,,,,,
Evolution,,,,FALSE,,Resource Topic,,,,,,,,
Experimental Model Development,,,,FALSE,,Resource Topic,,,,,,,,
Heterogeneity,,,,FALSE,,Resource Topic,,,,,,,,
Immunotherapy,,,,FALSE,,Resource Topic,,,,,,,,
Mechano-genetics,,,,FALSE,,Resource Topic,,,,,,,,
Mechano-resistance,,,,FALSE,,Resource Topic,,,,,,,,
Metabolism,,,,FALSE,,Resource Topic,,,,,,,,
Metastasis,,,,FALSE,,Resource Topic,,,,,,,,
Method/Assay Development,,,,FALSE,,Resource Topic,,,,,,,,
Microenvironment,,,,FALSE,,Resource Topic,,,,,,,,
Oncogenic Stress,,,,FALSE,,Resource Topic,,,,,,,,
Other,,,,FALSE,,Resource Topic,,,,,,,,
Outreach,,,,FALSE,,Resource Topic,,,,,,,,
Platform Development,,,,FALSE,,Resource Topic,,,,,,,,
Tool Training,,,,FALSE,,Resource Topic,,,,,,,,
Tumor Progression,,,,FALSE,,Resource Topic,,,,,,,,
Tumor-Immune,,,,FALSE,,Resource Topic,,,,,,,,
