Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Alternative Text,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Audio Description,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Braille,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Captions,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
ChemML,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Described Math,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Display Transformability,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Haptic,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
High Contrast,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Large Print,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Latex,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Long Description,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
MathML,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Nemeth Braille,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Sign Language,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Structural Navigation,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Tactile Graphics,,,,FALSE,,Resource Media Accessibility,,OER,,,,,,
Text Transcript,,,,FALSE,,Resource Media Accessibility,,OER,,Transcript,,,,
