Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Activity/Lab,"A hands-on exercise or laboratory-based activity in which learners actively perform tasks, experiments, or procedures to apply and reinforce concepts.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Assessment,"A resource used to evaluate learner understanding or performance, such as a quiz, test, or other measurement of academic achievement.",,,FALSE,,Resource Activity Type,,OER,,,MESH:D004521,http://id.nlm.nih.gov/mesh/D004521,,
Case Study,"A detailed, narrative-based educational resource examining a specific real-world example, scenario, or problem to illustrate concepts or promote analytical and critical-thinking skills.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Data Set,"A structured collection of related data records provided as an educational resource for analysis, exploration, or hands-on learning exercises.",,,FALSE,,Resource Activity Type,,OER,,,NCIT:C47824,http://purl.obolibrary.org/obo/NCIT_C47824,C47824,
Diagram/Illustration,"A visual representation, such as a diagram, chart, or illustration, used to depict concepts, structures, or processes for instructional purposes.",,,FALSE,,Resource Activity Type,,OER,,,EVORAO:Image,https://w3id.org/evorao/Image,,
Full Course,"A complete, self-contained sequence of instructional materials and activities covering a full subject or curriculum, typically spanning a full academic term.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Game,"An interactive, rule-based activity designed to engage learners and teach or reinforce concepts through play.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Homework/Assignment,"Work or tasks assigned to learners for completion outside of the primary instructional setting, used to reinforce or extend learning.",,,FALSE,,Resource Activity Type,,OER,,,NCIT:C89269,http://purl.obolibrary.org/obo/NCIT_C89269,C89269,
Interactive,"A resource that requires active learner participation or response, such as a clickable simulation, interactive exercise, or dynamic multimedia element.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Lecture,"A recorded or transcribed instructional talk delivered to an audience or class, typically used to present or explain subject matter.",,,FALSE,,Resource Activity Type,,OER,,,MESH:D019531,http://id.nlm.nih.gov/mesh/D019531,,
Lecture Notes,"Written notes, outlines, or summaries prepared for or derived from a lecture, used to supplement or review instructional content.",,,FALSE,,Resource Activity Type,,OER,,,MESH:D019528,http://id.nlm.nih.gov/mesh/D019528,,
Lesson,"A single, discrete unit of instruction focused on a specific topic or set of learning objectives.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Lesson Plan,"A structured outline prepared by an instructor detailing the objectives, activities, materials, and assessment methods for a lesson.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Module,"A self-contained segment of instructional content covering a specific topic, often combined with other modules to form a larger course or curriculum.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Primary Source,"An original document, artifact, or firsthand record (such as a letter, dataset, or historical artifact) created at the time of the event or phenomenon under study, used as direct evidence for learning or research.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Reading,"A text-based resource, such as an article, excerpt, or book chapter, assigned for learners to read as part of instructional content.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Simulation,"An interactive model or representation of a real-world process, system, or scenario that allows learners to explore and experiment in a controlled, simulated environment.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Student Guide,"A resource providing learners with instructions, guidance, or supplementary information to support their use of a course or activity.",,,FALSE,,Resource Activity Type,,OER,,,,,,
Syllabus,"A document describing the material, structure, objectives, and requirements covered in a course.",,,FALSE,,Resource Activity Type,,OER,,,schema:Syllabus,https://schema.org/Syllabus,,
Teaching/Learning Strategy,"An instructional method, technique, or procedure used by educators to facilitate teaching or by learners to facilitate learning of new material.",,,FALSE,,Resource Activity Type,,OER,,,OCCO:00000030,http://purl.obolibrary.org/obo/OCCO_00000030,,
Textbook,"A book intended for use in the study of a specific subject, providing a systematic presentation of its principles and essential knowledge.",,,FALSE,,Resource Activity Type,,OER,,,MESH:D022923,http://id.nlm.nih.gov/mesh/D022923,,
Unit of Study,"A cohesive set of lessons or learning materials organized around a specific topic or theme, typically spanning several class sessions.",,,FALSE,,Resource Activity Type,,OER,,,,,,
