Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Computational Model Development,"The construction and refinement of mathematical, statistical, or computational models used to simulate, predict, or analyze biological or clinical phenomena.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Computational Resource,"Software tools, algorithms, databases, or computing infrastructure developed or used to support computational research and data analysis.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Diversity/Equity/Inclusion,"Efforts and practices that promote fair representation, equal opportunity, and inclusion of individuals from diverse backgrounds, identities, and abilities within research and educational communities.",,,FALSE,,Resource Topic,,MC2/theme_name,,,MESH:D000092783,http://id.nlm.nih.gov/mesh/D000092783,,
Drug Resistance/Sensitivity,"The diminished or absent response of cancer cells or tumors to a therapeutic agent (resistance), or their degree of susceptibility to being affected or killed by that agent (sensitivity).",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Epigenetics,"The study of heritable changes in gene expression or cellular phenotype caused by mechanisms other than alterations in the underlying DNA sequence, such as DNA methylation and histone modification.",,,FALSE,,Resource Topic,,MC2/theme_name,,,EDAM:3295,http://edamontology.org/topic_3295,,
Evolution,"The process by which populations of organisms change over successive generations through mechanisms such as mutation, genetic drift, and natural selection.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C16565,http://purl.obolibrary.org/obo/NCIT_C16565,C16565,
Experimental Model Development,"The design, generation, and validation of laboratory-based systems, such as cell lines, organoids, or animal models, used to study disease biology or evaluate therapeutic interventions.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Heterogeneity,"The quality or state of consisting of elements that are not of the same kind or nature, such as variability among cells, tissues, or tumors within a biological system.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C28359,http://purl.obolibrary.org/obo/NCIT_C28359,C28359,
Immunotherapy,"Therapy designed to induce, enhance, or suppress changes in a patient's immune status in order to treat disease, such as cancer.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C15262,http://purl.obolibrary.org/obo/NCIT_C15262,C15262,
Mechano-genetics,The study of how mechanical forces and the physical properties of cells and tissues influence gene expression and genetic regulation.,,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Mechano-resistance,"The study of how mechanical properties of, or forces acting on, cells and tissues contribute to resistance against therapeutic agents or other stressors.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Metabolism,"The organic biochemical processes within a cell or organism that are necessary to sustain life, encompassing both anabolic (biosynthetic) and catabolic (degradative) reactions.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C19536,http://purl.obolibrary.org/obo/NCIT_C19536,C19536,
Metastasis,"The spread of cancer cells from the primary tumor site to other parts of the body, forming secondary tumors that share characteristics of the original neoplasm.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C19151,http://purl.obolibrary.org/obo/NCIT_C19151,C19151,
Method/Assay Development,"The design, optimization, and validation of new experimental techniques, protocols, or assays for measuring biological or clinical phenomena.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Microenvironment,"The cellular and molecular environment surrounding a tumor or biological system, including neighboring cells, blood vessels, immune cells, signaling molecules, and the extracellular matrix, that influences its growth and behavior.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C94498,http://purl.obolibrary.org/obo/NCIT_C94498,C94498,
Oncogenic Stress,"Cellular stress arising from the activation of oncogenes or dysregulated growth signaling, which can trigger protective responses such as senescence or apoptosis.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Other,A resource topic that does not fit within any of the other defined categories.,,,FALSE,,Resource Topic,,,,,,,,
Outreach,"Activities and programs designed to engage, inform, or provide resources to communities, patients, or the public outside of a research institution's core scientific work.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Platform Development,"The creation and refinement of technological, computational, or experimental platforms and infrastructure that support research workflows or data generation.",,,FALSE,,Resource Topic,,MC2/theme_name,,,,,,
Training Material,"A document or other resource, such as a tutorial, course, or teaching module, designed for learning, educational, or training purposes.",,,FALSE,,Resource Topic,,EDAM,,,EDAM:3669,http://edamontology.org/data_3669,,
Tumor Progression,A pathologic process in which molecular alterations result in a more aggressive cytologic and phenotypic profile and clinical course of a neoplasm over time.,,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C17609,http://purl.obolibrary.org/obo/NCIT_C17609,C17609,
Tumor-Immune,"The study of the interactions between the immune system and tumor cells, including immune surveillance, immune evasion, and immune-based responses to cancer.",,,FALSE,,Resource Topic,,MC2/theme_name,,,NCIT:C19095,http://purl.obolibrary.org/obo/NCIT_C19095,C19095,
Computer Science,"The study of the structure, theory, and application of computational systems, algorithms, and information processing using mathematical, logical, and empirical methods.",,,FALSE,,Resource Topic,,OER/CR_Subject,,,NCIT:C18141,http://purl.obolibrary.org/obo/NCIT_C18141,C18141,
Environmental Science,"The interdisciplinary scientific study of external biotic and abiotic factors to which an organism is exposed, and their effects on health and ecosystems.",,,FALSE,,Resource Topic,,OER/CR_Subject,,,MESH:D000079265,http://id.nlm.nih.gov/mesh/D000079265,,
