Attribute,Description,Required,Validation Rules,Examples
Educational Resource,Manifest for describing educational resources.,False,_None_,"""Online Tutoring Platform"""
Resource Title,Title of the item.,True,str,"""Introduction to Biology"""
Resource Link,The URL that links to the item.,True,url,https://www.example.com/resource_page.html
Resource Doi,The Digital Object Identifier (DOI) associated with the educational resource.,True,url,
[Resource Topic](../valid_values/education.md#attribute-resource-topic),"General topic or research context of the item. If 'other' is selected, please provide additional topics in the 'Resource Secondary Topic' field. Multiple values should be provided as a comma separated list.",True,list like,Metabolism
[Resource Activity Type](../valid_values/education.md#attribute-resource-activity-type),The type(s) of activities for which the item is intended to be used. Multiple values should be provided as a comma separated list.,True,list like,Simulation
[Resource Primary Format](../valid_values/education.md#attribute-resource-primary-format),"The media type(s) of the item (video, audio, text, etc.) Multiple values should be provided as a comma separated list.",True,list like,Video
[Resource Intended Use](../valid_values/education.md#attribute-resource-intended-use),The purpose of the material for education. Multiple values should be provided as a comma separated list.,True,list like,"""Curriculum/Instruction"""
[Resource Primary Audience](../valid_values/education.md#attribute-resource-primary-audience),The intended end user audience for the resource. Multiple values should be provided as a comma separated list.,True,list like,Teacher
[Resource Educational Level](../valid_values/education.md#attribute-resource-educational-level),"Educational context (pre-school, lower-primary, upper-primary…) in which the item was intended to be used. Multiple values should be provided as a comma separated list.",True,list like,High School
Resource Description,Abstract or summary of the item.,True,str,"""This comprehensive e-book introduces readers to the world of biology"""
Resource Origin Institution,Institution(s) of origin for this item. Multiple values should be provided as a comma separated list.,True,list like,Smithsonian Institution
[Resource Language](../valid_values/education.md#attribute-resource-language),Language of the item (not of the metadata). Multiple values should be provided as a comma separated list.,True,list like::regex search [a-z]{2},en
Resource Contributors,The name(s) of the contributor(s) to the item. Multiple contributor names should be provided as a comma-separated list.,True,list like,"John Smith, Jane Doe, XYZ Corporation"
[Resource Grant Number](../valid_values/education.md#attribute-resource-grant-number),"The grant number(s) associated with the contributor(s) of the item. If no grant number listed is applicable, please select 'Affiliated/Non-Grant Associated'. Multiple values should be provided as a comma separated list.",True,list like,CA217655
Resource Secondary Topic,"Additional topics or keywords to describe the content of the item, in addition to the primary topic. Multiple values should be provided as a comma-separated list.",False,list like,Cancer Research
[Resource License](../valid_values/education.md#attribute-resource-license),"The name of the license applied to the item by the contributor(s), if applicable. Multiple values should be provided as a comma separated list.",False,list like,Apache-2.0
Resource Use Requirements,"A list of materials, hardware, software, computing power, and network requirements that the end user would need to satisfy before using the resource, if applicable. Multiple values should be provided as a comma separated list.",False,str,The software application requires 2GB of RAM and 20GB of hard drive space. It also needs a graphic card supporting OpenGL 2.0. The system must run on Windows 10 or higher.
Resource Alias,"A unique identifier (DOI, Synapse ID) for the item, if it exists.",False,unique,Nan
Resource Internal Identifier,"The institution-specific ID for the item, if applicable. May be non-unique. Multiple values should be provided as a comma separated list.",False,list like,ResourceID_56789
[Resource Media Accessibility](../valid_values/education.md#attribute-resource-media-accessibility),"Accessibility features (Alternative Text, Audio Description, etc.) incorporated into the item. Multiple values should be provided as a comma separated list.",False,list like,"The educational video on the website provides 'Captions' for viewers with hearing impairments, making it an excellent example of 'Resource Media Accessibility'."
[Resource Access Hazard](../valid_values/education.md#attribute-resource-access-hazard),"Sensory hazards (Flashing, Motion, etc.) applicable to the item. Multiple values should be provided as a comma separated list.",False,list like,"An example for the attribute 'Resource Access Hazard' could be a website for a video game which includes flashing images and intense sequences of motion. The site also uses loud sounds and high intensity simulations which some users can find distressing or harmful, particularly if they have conditions such as epilepsy or severe motion sickness. Therefore, the website has a potential ""Resource Access Hazard."""
Resource Dataset Alias,"URL or persistent identifier (DOI, Synapse ID) for any dataset(s) that is intended to be used with the item. Multiple values should be provided as a comma separated list.",False,list like,Nan
Resource Tool Link,"URL or persistent identifier (DOI, Synapse ID) for any software or tool that is intended to be used with the item. Multiple values should be provided as a comma separated list.",False,list like,https://www.khanacademy.org/
EducationalResource_id,A unique primary key that enables record updates using schematic.,True,unique,ER_4567
