Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
File Description,Description of the file.,,,,"CDE:11280338, CRDC_CDE:11280338",,string,,,,,,
File Design,"The overall design of the dataset or file, including a batch identifier, if applicable.",,,,,,string,,,,,,
File Url,The url of where the file is stored.,,,True,CDE:11556141,,string,uri,,,,,
File Level,The processing level the file can be mapped to. ,"Level 1, Level 2, Level 3, Level 4, Auxiliary, Not Applicable, Metadata",,True,,,string,,,,,,
File View,The denormalized manifest for file submission.,,"FileView_id, Biospecimen Key, Study Key, DatasetView Key, Filename, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, File Data Category, File Data Checksum Type, File Data Checksum Value, File Data Compression Status, File Data Size",,,,,,,,,True,
FileView_id,"Unique ID associated with a File entry, used as a key for record linking and updates. This should be equivalent to File Alias unless otherwise directed.",,,True,"CDE:14528010, primary_key",,string,,"^syn\d{7,8}$",,,,
File Longitudinal Group,A label that can be used to identify groups of files from the same longitudinal/time-resolved experiment,,,,,,string,,,,,,
File Longitudinal Event Type,The type of event to which File Longitudinal Total Time Elapsed is related,"Enrollment, Baseline",,,,,string,,,,,,
File Longitudinal Sequence Identifier,"The order in which this file was collected with respect to the longitudinal experiment (e.g., 1, 2, etc.). Integer.",,,,,,number,,,,,,
File Longitudinal Time Elapsed Unit,The unit of time associated with Sequential and Total Time Elapsed attributes.,,,,,,string,,,,,,
File Longitudinal Sequential Time Elapsed,The time elapsed between collecting the current and previous files in this longitudinal group. ,,,,,,number,,,,,,
File Longitudinal Total Time Elapsed,The total time elapsed between the first and current files contained this longitudinal group. ,,,,,,number,,,,,,
File Format,The format of the file described by this entry.,"AVI, BAI, BAM, BED, CDS, CHP, COOL, CSV, DAE, DB, DCC, DS_Store, FASTA, FASTQ, FCS, FIG, FREQ, GCG, GCT, GCTx, GFF3, GTF, GZIP Format, HDF, HDF5, HTML, IDAT, JPG, JSON, LIF, MAP, MAT, MATLAB script, MSF, MTX, PDF, PNG, PZFX, Python Script, R File Format, RAW, RDS, ROUT, RPROJ, RTF, SGI, SRA, STAT, TAR Format, TDF, TIFF, TSV, TXT, VCF, WIG, XML, ZIP, bed12, bedgraph, cel, cloupe, docx, mzIdentML, mzXML, pptx, rcc, xls, xlsx, MGF, BIGWIG, H5AD, H5, SF, PKL, BPM, Unspecified, Pending Annotation, maf, CLS, SCN, SVS",,True,"CDE:11416926, CRDC_CDE:11416926",,string,,,,,,
File Alias,"A string identifier associated with the file. Must be unique. Can be the repository accesssion number (e.g., Synapse ID, GEO identifier such as GSE12345). No Greek Letters or DOIs.",,,True,,,string,,,,,,
File Anatomic Site,"The UBERON identifier of the anatomic site associated with the data contained in this file (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Reference-validated, not a fixed list.",,,True,CDE:14156279,,string,,^UBERON:\d+$,,,,
File Data Category,A broad classification of the contents of a data file generated from an experiment or a study.,,,,CRDC_CDE:14824731,,string,,,,,,
File Data Checksum Type,The method by which the file checksum was calculated.,"SHA-1, SHA-256, SHA-512",,,CRDC_CDE:11475057,,string,,,,,,
File Data Checksum Value,A small-sized block of data derived from a file for the purpose of detecting errors that may have been introduced during file transmission and/or storage and used to verify data integrity.,,,,CRDC_CDE:11480133,,string,,,,,,
File Data Compression Status,The state of data when saved to storage space or during data transmission.,,,,CRDC_CDE:11387114,,string,,,,,,
File Data Size,The measure (in bytes) of how much space a data file takes up on a storage medium.,,,,CRDC_CDE:11479876,,number,,,,,,
