Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Resource,"Information that is relevant to resource access conditions.",,"Resource_id, StudyKey, AccessRequirementKey, SchemaKey, dataUseModifiers, grantAnnotationKey, grantAnnotationValue, studyAnnotationKey, studyAnnotationValue, dataTypeKey, dataTypeValue, speciesTypeKey, speciesTypeValue, activatedByAttribute, activationValue, registeredSchemaUrl",,,,,,,,,True,
Resource_id,"A unique identifier for the resource type. Examples mc2Res1, adkpRes1, adkpRes2.",,,True,primary_key,,string,,,,,,
grantAnnotationKey,The annotation key applied to a Synapse entity that contains a grant identifier.,,,,,,string,,,,,,
grantAnnotationValue,The value that will be assigned to the key provided under grantAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,,
studyAnnotationKey,The annotation key applied to a Synapse entity that contains a study identifier.,,,,,,string,,,,,,
studyAnnotationValue,The value that will be assigned to the key provided under studyAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,,
dataTypeKey,The annotation key applied to a Synapse entity that contains a data type identifier.,,,,,,string,,,,,,
dataTypeValue,The value that will be assigned to the key provided under dataTypeKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,,
speciesTypeKey,The annotation key applied to a Synapse entity that contains a species identifier.,,,,,,string,,,,,,
speciesTypeValue,The value that will be assigned to the key provided under speciesTypeKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,,
activatedByAttribute,The name of a Synapse annotation key that will be applied to entities released under this AR. Setting this attribute to activationValue designates that the AR should be active.,,,,,,string,,,,,,
activationValue,The value of Synapse annotation recorded under activatedByAttribute that will be applied to entities released under this AR to indicate the AR should be active,,,,,,string,,,,,,
SchemaKey,The Schema_id corresponding to a registered JSON schema that describes the access conditions relevant to this Resource.,,,,,,string,,,,,,
registeredSchemaUrl,URL associated with the access requirement schema that will be applied to the resource type.,,,True,,,string,,,,,,
