Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Study,Studies associated with a grant,,"Study_id, studyProjectIdentifier, grantNumber, studyName, AccessRequirementKey, studyDescription, studyInvestigator, studyParticipantNumber, studySampleNumber, studyDeidentificationType, studyDeidentificationMethodDescription, studyDeidentificationMethodSoftware, studyDbgapAccessionId, studyIndexDate, dataUseModifiers",,,,,,,,,True,
grantNumber,The identifier associated with the award funding this study.,,,,,,string_list,,,,,,
studyName,Name of the study,,,True,CDE:11459810,,string,,,,,,
studyDescription,"Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOplus2.",,,True,CDE:03444002,,string,,,,,,
studyInvestigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,,,True,,,string,,,,,,
Study_id,A unique primary key that enables record updates using schematic.,,,True,"CDE:12960571, primary_key",,string,,,,,,
studyParticipantNumber,The number of participant instances associated with systematic investigation into a subject.,,,True,CDE:11555662,,number,,,,,,
studyDeidentificationType,General description of the de-identification method. Maps to DUOplus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,,CDE:14576319,,string_list,,,,,,
studyDeidentificationMethodDescription,Description of the process of removing potentially identifying data or data elements to render data into a form that does not identify individuals and where identification is not likely to take place.,,,,,,string,,,,,,
studyDeidentificationMethodSoftware,Software that was used to de-identify the data (if used),,,,,,string,,,,,,
studyDbgapAccessionId,A stable unique alphanumeric identifier assigned to a study and any objects by the database of Genotypes and Phenotypes (dbGaP). Required for controlled access data being submitted to CDS/CRDC.,,,,CDE:11524544,,string,,,,,,
studyIndexDate,"The reference event associated with timepoints in this study. One of Diagnosis Date, Enrollment Date, Collection Date, or Birth Date.","Diagnosis Date , Enrollment Date, Collection Date, Birth Date",,,,,string_list,,,,,,
studySampleNumber,The number of specimens associated with systematic investigation into a subject.,,,True,CDE:11555663,,number,,,,,,
studyProjectIdentifier,The Synapse Project identifier (synID) with which this Study is related.,,,,,,string_list,,syn[0-9]+,,,,
