Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Grant Name,Name of the grant,,,True,,,string,,,,,,
Grant Number,"Number of the grant (i.e. ""CA------"" format)",,,True,,,string,,^CA\d{6}$,,,,
Grant Abstract,Abstract for the grant,,,True,,,string,,,,,,
Grant Type,Type of grant,"R01, R21, R37, U01, U24, U54",,True,,,string,,,,,,
Grant View,The denormalized manifest for grant submission.,,"GrantView_id, Grant Name, Grant Number, Grant Abstract, Grant Type, Grant Theme Name, Grant Institution Name, Grant Institution Alias, Grant Investigator, Grant Consortium Name, Grant Start Date, Grant End Date, NIH RePORTER Link, Duration of Funding, Embargo End Date, Grant Synapse Team, Grant Synapse Project",,,,,,,,,True,
Grant Theme Name,Theme(s) associated with the grant. 1...*,"Computational Model Development, Computational Resource, Drug Resistance/Sensitivity, Epigenetics, Evolution, Experimental Model Development, Heterogeneity, Immunotherapy, Mechano-genetics, Mechano-resistance, Metabolism, Metastasis, Method/Assay Development, Microenvironment, Oncogenic Stress, Platform Development, Tumor Progression, Tumor-Immune",,True,,,string_list,,,,,,
Grant Institution Name,The full name of the institution(s) associated with the grant. (e.g. Harvard University). 1...*,"Albert Einstein College of Medicine, Arizona State University, Auburn University, Barrow Neurological Institute, Baylor College Of Medicine, Beckman Research Institute of City of Hope, Beth Israel Deaconess Hospital, Boston Medical Center, Boston University, Brigham and Womens Hospital, California Institute of Technology, Childrens Hospital of Philadelphia, City Of Hope, Clemson University, Cleveland Clinic, Cold Spring Harbor Laboratory, Columbia University, Cornell University, Dana-Farber Cancer Institute, Dartmouth College, Duke University, Emory University, Georgia Institute of Technology, Harvard Medical School, Harvard University, Hebrew University of Jerusalem, Houston Methodist, Indiana University, Indiana University - Purdue University Indianapolis, Institute for Systems Biology, Jackson Laboratory, Johns Hopkins University, Lurie Children's Hospital, Massachusetts General Hospital, Massachusetts Institute of Technology, Mayo Clinic, Memorial Sloan Kettering Cancer Center, Moffitt Cancer Center, Northeastern University, New York University, Northwestern University, Oregon Health & Science University, Pacific Northwest National Laboratory, Purdue University, Rockefeller University, Sage Bionetworks, Salk Institute for Biological Studies, St. Jude Children's Research Hospital, Stanford University, Stony Brook University, The University of Texas Health Science Center at San Antonio, Tufts University Medford, University of Alabama at Birmingham, University of Arizona, University of Arkansas at Fayetteville, University of California; Berkeley, University of California; Irvine, University of California; Los Angeles, University of California; San Diego, University of California; San Francisco, University of Chicago, University of Chicago Medical Center, University of Colorado Denver, University of Delaware, University of Florida, University of Illinois, University of Illinois at Chicago, University of Massachusetts Medical School, University of Miami, University of Michigan, University of Nevada Reno, University of Minnesota, University of New South Wales, University of North Carolina at Chapel Hill, University of Pennsylvania, University of Pittsburgh, University of Southern California, University of Texas MD Anderson Cancer Center, University of Texas Southwestern Medical Center, University of Texas at Austin, University of Utah, University of Virginia, University of Washington, University of Wisconsin-Madison, Vanderbilt University, Virginia Polytechnic Institute, Washington University in St. Louis, Wake Forest, Weill Cornell Medicine, Wistar Institute, Yale University",,True,,,string_list,,,,,,
Grant Institution Alias,The alias of the institution(s) associated with the grant (e.g. UCSD). 1...*,"AECM, ASU, AU, BCM, BIDMC, BMC, BRI, BU, BWH, Barrow, CHOP, COH, CSHL, Caltech, Clemson, Cleveland Clinic, Columbia, Cornell, DFCI, Dartmouth, Duke, Emory, GTech, HMS, HUJI, Harvard, Houston Methodist, ISB, IU, IUPUI, JHU, Jackson Laboratory, Lurie Children's Hospital, MGH, MIT, MSKCC, Mayo, Moffitt, NEU, NU, NYU, OHSU, PNNL, Pitt, Purdue, Rockefeller University, SBU, Sage, Salk, StJude, Stanford, TUM, U Miami, UA, UARK, UAB, UCBerkeley, UCD, UCI, UCLA, UCMC, UCSD, UCSF, UChicago, UD, UFL, UIC, UMMS, UMichigan, UMinn, UNC, UNR, UNSW, UPenn, USC, UT Austin, UT Southwestern, UTHSCSA, UUtah, UVA, UW, UWM, University of Illinois, University of Texas MD Anderson Cancer Center, Vanderbilt, VT, WUSTL, WCM, Wake Forest, Wistar, Yale",,True,,,string_list,,,,,,
Grant Investigator,Investigator(s) associated witht the grant. 1...*,,,True,,,string_list,,,,,,
Grant Consortium Name,Consortium(s) associated with the grant. 1...1,"CCBIR, CSBC, HTAN, ICBP, MetNet, NCI, NCI Clinical and Translational Exploratory/Developmental Studies, PDMC, PS-ON, Sage Bionetworks, TEC",,True,,,string,,,,,,
GrantView_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the grant number in CAxxxxxx format unless otherwise indicated.",,,True,,,string,,,,,,
Grant Synapse Team,"The Synapse team associated with the grant, created by the MC2 Center",,,,,,string,uri,,,,,
Grant Synapse Project,"The Synapse project associated with the grant, created by the MC2 Center",,,,,,string,uri,,,,,
Grant Start Date,The start date of the grant YYYY-MM-DD format,,,True,,,string,date,,,,,
NIH RePORTER Link,Link to the search results for this grant number on the NIH Reporter website,,,True,,,string,uri,,,,,
Duration of Funding,"Duration of the funding period, in years",,,,,,number,,,,,,
Embargo End Date,Date at which an embargo on related resources had lifted,,,,,,string,date,,,,,
Grant End Date,The end date of the grant YYYY-MM-DD format,,,True,,,string,date,,,,,
