Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Affiliated/Non-Grant Associated,,,,FALSE,,Grant Number,,,,,,,,
CA184897,,,,FALSE,,Grant Number,,,,,,,,
CA184898,,,,FALSE,,Grant Number,,,,,,,,
CA188388,,,,FALSE,,Grant Number,,,,,,,,
CA193313,,,,FALSE,,Grant Number,,,,,,,,
CA193417,,,,FALSE,,Grant Number,,,,,,,,
CA193419,,,,FALSE,,Grant Number,,,,,,,,
CA193461,,,,FALSE,,Grant Number,,,,,,,,
CA193489,,,,FALSE,,Grant Number,,,,,,,,
CA195469,,,,FALSE,,Grant Number,,,,,,,,
CA199315,,,,FALSE,,Grant Number,,,,,,,,
CA202123,,,,FALSE,,Grant Number,,,,,,,,
CA202144,,,,FALSE,,Grant Number,,,,,,,,
CA202177,,,,FALSE,,Grant Number,,,,,,,,
CA202229,,,,FALSE,,Grant Number,,,,,,,,
CA202241,,,,FALSE,,Grant Number,,,,,,,,
CA209891,,,,FALSE,,Grant Number,,,,,,,,
CA209923,,,,FALSE,,Grant Number,,,,,,,,
CA209971,,,,FALSE,,Grant Number,,,,,,,,
CA209975,,,,FALSE,,Grant Number,,,,,,,,
CA209978,,,,FALSE,,Grant Number,,,,,,,,
CA209988,,,,FALSE,,Grant Number,,,,,,,,
CA209992,,,,FALSE,,Grant Number,,,,,,,,
CA209997,,,,FALSE,,Grant Number,,,,,,,,
CA210152,,,,FALSE,,Grant Number,,,,,,,,
CA210173,,,,FALSE,,Grant Number,,,,,,,,
CA210180,,,,FALSE,,Grant Number,,,,,,,,
CA210181,,,,FALSE,,Grant Number,,,,,,,,
CA210184,,,,FALSE,,Grant Number,,,,,,,,
CA210190,,,,FALSE,,Grant Number,,,,,,,,
CA214282,,,,FALSE,,Grant Number,,,,,,,,
CA214292,,,,FALSE,,Grant Number,,,,,,,,
CA214297,,,,FALSE,,Grant Number,,,,,,,,
CA214300,,,,FALSE,,Grant Number,,,,,,,,
CA214354,,,,FALSE,,Grant Number,,,,,,,,
CA214369,,,,FALSE,,Grant Number,,,,,,,,
CA214381,,,,FALSE,,Grant Number,,,,,,,,
CA214411,,,,FALSE,,Grant Number,,,,,,,,
CA215709,,,,FALSE,,Grant Number,,,,,,,,
CA215794,,,,FALSE,,Grant Number,,,,,,,,
CA215798,,,,FALSE,,Grant Number,,,,,,,,
CA215845,,,,FALSE,,Grant Number,,,,,,,,
CA215848,,,,FALSE,,Grant Number,,,,,,,,
CA217297,,,,FALSE,,Grant Number,,,,,,,,
CA217376,,,,FALSE,,Grant Number,,,,,,,,
CA217377,,,,FALSE,,Grant Number,,,,,,,,
CA217378,,,,FALSE,,Grant Number,,,,,,,,
CA217450,,,,FALSE,,Grant Number,,,,,,,,
CA217456,,,,FALSE,,Grant Number,,,,,,,,
CA217514,,,,FALSE,,Grant Number,,,,,,,,
CA217613,,,,FALSE,,Grant Number,,,,,,,,
CA217617,,,,FALSE,,Grant Number,,,,,,,,
CA217655,,,,FALSE,,Grant Number,,,,,,,,
CA220378,,,,FALSE,,Grant Number,,,,,,,,
CA223976,,,,FALSE,,Grant Number,,,,,,,,
CA224012,,,,FALSE,,Grant Number,,,,,,,,
CA224013,,,,FALSE,,Grant Number,,,,,,,,
CA224044,,,,FALSE,,Grant Number,,,,,,,,
CA225088,,,,FALSE,,Grant Number,,,,,,,,
CA225566,,,,FALSE,,Grant Number,,,,,,,,
CA227136,,,,FALSE,,Grant Number,,,,,,,,
CA227544,,,,FALSE,,Grant Number,,,,,,,,
CA227550,,,,FALSE,,Grant Number,,,,,,,,
CA228608,,,,FALSE,,Grant Number,,,,,,,,
CA228963,,,,FALSE,,Grant Number,,,,,,,,
CA231978,,,,FALSE,,Grant Number,,,,,,,,
CA232137,,,,FALSE,,Grant Number,,,,,,,,
CA232161,,,,FALSE,,Grant Number,,,,,,,,
CA232209,,,,FALSE,,Grant Number,,,,,,,,
CA232216,,,,FALSE,,Grant Number,,,,,,,,
