Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Imaging Level 2,,,"Component, Filename, File Format, Parent Biospecimen ID, Synapse ID of Data File, Synapse ID of GeoMx DCC File, Synapse ID of GeoMx ROI Segment Annotation File, ROI Name, AOI Name, Channel Metadata Filename, Imaging Assay Type, Protocol Link, Software and Version, Microscope, Objective, NominalMagnification, LensNA, WorkingDistance, WorkingDistanceUnit, Immersion, Pyramid, Zstack, Tseries, FOV number, FOVX, FOVXUnit, FOVY, FOVYUnit, Frame Averaging, Image ID, DimensionOrder, PhysicalSizeX, PhysicalSizeXUnit, PhysicalSizeY, PhysicalSizeYUnit, PhysicalSizeZ, PhysicalSizeZUnit, Pixels BigEndian, PlaneCount, SizeC, SizeT, SizeX, SizeY, SizeZ, PixelType",FALSE,,,,HTAN,
Channel Metadata Filename,Full path within Synapse project of uploaded companion CSV file containing channel-level metadata details,,,FALSE,,,,HTAN,
Imaging Assay Type,Type of imaging assay,"H&E, CyCIF, t-CyCIF, IHC, mIHC, MxIF, SABER, IMC, CODEX, GeoMX-DSP, MIBI, MERFISH, ExSeq, RareCyte Orion, Not Applicable",,FALSE,,,,HTAN,
Protocol Link,"Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.",,,FALSE,,,,HTAN,
Microscope,"Microscope type (manufacturer, model, etc) used for this experiment",,,FALSE,,,,HTAN,
Objective,Objective,,,FALSE,,,,HTAN,
NominalMagnification,The magnification of the lens as specified by the manufacturer - i.e. '60' is a 60X lens. floating point value > 1(no units),,,FALSE,,,,HTAN,
LensNA,The numerical aperture of the lens. Floating point value > 0.,,,FALSE,,,,HTAN,
WorkingDistance,"The working distance of the lens, expressed as a floating point number. Floating point > 0.",,,FALSE,,,,HTAN,
WorkingDistanceUnit,The units of the working distance. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
Immersion,Immersion medium,,,FALSE,,,,HTAN,
Pyramid,Does data file contain pyramid of images,,,FALSE,,,,HTAN,
Zstack,Does data file contain a Z-stack of images,,,FALSE,,,,HTAN,
Tseries,Does data file contain a time-series of images,,,FALSE,,,,HTAN,
FOV number,Index of FOV (as it pertains to its sequence order). Integer >= 1,,,FALSE,,,,HTAN,
FOVX,Field of view X dimension. Floating point,,,FALSE,,,,HTAN,
FOVXUnit,Field of view X dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
FOVY,Field  of view Y dimension. Floating point value,,,FALSE,,,,HTAN,
FOVYUnit,Field of view Y dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
