Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
H,,,,FALSE,,Metal Isotope Element,,,,,,,,
He,,,,FALSE,,Metal Isotope Element,,,,,,,,
Li,,,,FALSE,,Metal Isotope Element,,,,,,,,
Be,,,,FALSE,,Metal Isotope Element,,,,,,,,
B,,,,FALSE,,Metal Isotope Element,,,,,,,,
C,,,,FALSE,,Metal Isotope Element,,,,,,,,
N,,,,FALSE,,Metal Isotope Element,,,,,,,,
O,,,,FALSE,,Metal Isotope Element,,,,,,,,
F,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ne,,,,FALSE,,Metal Isotope Element,,,,,,,,
Na,,,,FALSE,,Metal Isotope Element,,,,,,,,
Mg,,,,FALSE,,Metal Isotope Element,,,,,,,,
Al,,,,FALSE,,Metal Isotope Element,,,,,,,,
Si,,,,FALSE,,Metal Isotope Element,,,,,,,,
P,,,,FALSE,,Metal Isotope Element,,,,,,,,
S,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cl,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ar,,,,FALSE,,Metal Isotope Element,,,,,,,,
K,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ca,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sc,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ti,,,,FALSE,,Metal Isotope Element,,,,,,,,
V,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Mn,,,,FALSE,,Metal Isotope Element,,,,,,,,
Fe,,,,FALSE,,Metal Isotope Element,,,,,,,,
Co,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ni,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cu,,,,FALSE,,Metal Isotope Element,,,,,,,,
Zn,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ga,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ge,,,,FALSE,,Metal Isotope Element,,,,,,,,
As,,,,FALSE,,Metal Isotope Element,,,,,,,,
Se,,,,FALSE,,Metal Isotope Element,,,,,,,,
Br,,,,FALSE,,Metal Isotope Element,,,,,,,,
Kr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Rb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Y,,,,FALSE,,Metal Isotope Element,,,,,,,,
Zr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Nb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Mo,,,,FALSE,,Metal Isotope Element,,,,,,,,
Tc,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ru,,,,FALSE,,Metal Isotope Element,,,,,,,,
Rh,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pd,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ag,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cd,,,,FALSE,,Metal Isotope Element,,,,,,,,
In,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sn,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Te,,,,FALSE,,Metal Isotope Element,,,,,,,,
I,,,,FALSE,,Metal Isotope Element,,,,,,,,
Xe,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cs,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ba,,,,FALSE,,Metal Isotope Element,,,,,,,,
La,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ce,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Nd,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pm,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sm,,,,FALSE,,Metal Isotope Element,,,,,,,,
Eu,,,,FALSE,,Metal Isotope Element,,,,,,,,
Gd,,,,FALSE,,Metal Isotope Element,,,,,,,,
Tb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Dy,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ho,,,,FALSE,,Metal Isotope Element,,,,,,,,
Er,,,,FALSE,,Metal Isotope Element,,,,,,,,
Tm,,,,FALSE,,Metal Isotope Element,,,,,,,,
Yb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Lu,,,,FALSE,,Metal Isotope Element,,,,,,,,
Hf,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ta,,,,FALSE,,Metal Isotope Element,,,,,,,,
W,,,,FALSE,,Metal Isotope Element,,,,,,,,
Re,,,,FALSE,,Metal Isotope Element,,,,,,,,
Os,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ir,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pt,,,,FALSE,,Metal Isotope Element,,,,,,,,
Au,,,,FALSE,,Metal Isotope Element,,,,,,,,
Hg,,,,FALSE,,Metal Isotope Element,,,,,,,,
Tl,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pb,,,,FALSE,,Metal Isotope Element,,,,,,,,
Bi,,,,FALSE,,Metal Isotope Element,,,,,,,,
Po,,,,FALSE,,Metal Isotope Element,,,,,,,,
At,,,,FALSE,,Metal Isotope Element,,,,,,,,
Rn,,,,FALSE,,Metal Isotope Element,,,,,,,,
Fr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ra,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ac,,,,FALSE,,Metal Isotope Element,,,,,,,,
Th,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pa,,,,FALSE,,Metal Isotope Element,,,,,,,,
U,,,,FALSE,,Metal Isotope Element,,,,,,,,
Np,,,,FALSE,,Metal Isotope Element,,,,,,,,
Pu,,,,FALSE,,Metal Isotope Element,,,,,,,,
Am,,,,FALSE,,Metal Isotope Element,,,,,,,,
Bk,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cf,,,,FALSE,,Metal Isotope Element,,,,,,,,
Es,,,,FALSE,,Metal Isotope Element,,,,,,,,
Fm,,,,FALSE,,Metal Isotope Element,,,,,,,,
Md,,,,FALSE,,Metal Isotope Element,,,,,,,,
No,,,,FALSE,,Metal Isotope Element,,,,,,,,
Lr,,,,FALSE,,Metal Isotope Element,,,,,,,,
Rf,,,,FALSE,,Metal Isotope Element,,,,,,,,
Db,,,,FALSE,,Metal Isotope Element,,,,,,,,
Sg,,,,FALSE,,Metal Isotope Element,,,,,,,,
Bh,,,,FALSE,,Metal Isotope Element,,,,,,,,
Hs,,,,FALSE,,Metal Isotope Element,,,,,,,,
Mt,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ds,,,,FALSE,,Metal Isotope Element,,,,,,,,
Rg,,,,FALSE,,Metal Isotope Element,,,,,,,,
Cn,,,,FALSE,,Metal Isotope Element,,,,,,,,
Nh,,,,FALSE,,Metal Isotope Element,,,,,,,,
Fl,,,,FALSE,,Metal Isotope Element,,,,,,,,
Mc,,,,FALSE,,Metal Isotope Element,,,,,,,,
Lv,,,,FALSE,,Metal Isotope Element,,,,,,,,
Ts,,,,FALSE,,Metal Isotope Element,,,,,,,,
Og,,,,FALSE,,Metal Isotope Element,,,,,,,,
