Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
CODEX,"CO-Detection by indEXing (CODEX): a highly multiplexed cytometric imaging approach used to create multiplexed datasets from a single tissue staining reaction. CODEX iteratively visualizes antibody binding events using DNA barcodes, fluorescent dNTP analogs, and an in situ polymerization-based indexing procedure.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C181931,http://purl.obolibrary.org/obo/NCIT_C181931,C181931,
CyCIF,"Cyclic Immunofluorescence (CyCIF): a method for highly multiplexed immunofluorescent imaging of cells using an iterative, cycling process in which images of expressed fluorescently-tagged proteins, fluorescent dyes, or fluorescently-tagged antibodies are serially collected from the same sample and assembled into a high-dimensional representation of the spatial relationships between targets of interest.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C210700,http://purl.obolibrary.org/obo/NCIT_C210700,C210700,
ExSeq,ExSeq (Expansion Sequencing): a spatial transcriptomics assay that involves physically expanding specimens with polymer- and hydrogel-based systems followed by in situ sequencing.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,EFO:0700006,http://www.ebi.ac.uk/efo/EFO_0700006,,
GeoMX-DSP,GeoMx Digital Spatial Profiler (DSP): a method to profile RNA or protein from tissue sections that combines spatial and molecular profiling by generating a whole-tissue image at single-cell resolution alongside digital profiling data from photocleavable-oligonucleotide-barcoded probes imaged from selected regions of interest.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C181933,http://purl.obolibrary.org/obo/NCIT_C181933,C181933,
H and E,"Hematoxylin and Eosin (H&E) staining: a routine histological staining method using two dyes, hematoxylin, which stains cell nuclei a dark purplish color, and eosin, which stains cytoplasm and connective tissue an orangish-pink color.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C23011,http://purl.obolibrary.org/obo/NCIT_C23011,C23011,
IHC,Immunohistochemistry (IHC): a diagnostic or research technique in which an antibody is used to link a cellular antigen specifically to a stain that can be visualized with a microscope.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C51944,http://purl.obolibrary.org/obo/NCIT_C51944,C51944,
IMC,"Imaging Mass Cytometry (IMC): a method that combines laser ablation of tissue specimens with secondary ion mass spectrometry to image antibodies tagged with isotopically pure elemental metal reporters, allowing in situ characterization of the specimen while preserving its tissue architecture and cellular morphology.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C182027,http://purl.obolibrary.org/obo/NCIT_C182027,C182027,
MERFISH,"Multiplexed Error-Robust Fluorescence In Situ Hybridization (MERFISH): an image-based approach to single-cell transcriptomics in which RNAs are identified via a combinatorial labeling approach that encodes RNA species with error-robust barcodes, followed by sequential rounds of single-molecule FISH to read out the barcodes.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C210697,http://purl.obolibrary.org/obo/NCIT_C210697,C210697,
MIBI,"Multiplexed Ion Beam Imaging (MIBI): a method for multiplexed immunohistochemistry that uses secondary ion mass spectrometry to image antibodies tagged with isotopically pure elemental metal reporters, capable of analyzing up to 100 targets simultaneously over a five-log dynamic range.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C181930,http://purl.obolibrary.org/obo/NCIT_C181930,C181930,
mIF,"Multiplexed Immunofluorescence (mIF): a method that enables simultaneous detection of multiple biomarkers on a single tissue section using immunofluorescence techniques.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C181928,http://purl.obolibrary.org/obo/NCIT_C181928,C181928,
mIHC,Multiplexed Immunohistochemistry (mIHC): a method that enables simultaneous detection of multiple biomarkers on a single tissue section using immunohistochemistry techniques.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C181927,http://purl.obolibrary.org/obo/NCIT_C181927,C181927,
Not Applicable,Indicates that determination of a value is not relevant in the current context.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C48660,http://purl.obolibrary.org/obo/NCIT_C48660,C48660,
t-CyCIF,"Tissue-based Cyclic Immunofluorescence (t-CyCIF): a multiplex immunofluorescence imaging assay that uses iterative cycles of antibody staining, fluorescence imaging, and fluorophore inactivation to enable highly multiplexed spatial detection and quantification of protein targets within the same tissue specimen while preserving tissue architecture and cellular context.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,EFO:0023019,http://www.ebi.ac.uk/efo/EFO_0023019,,
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution using immobilized antibodies and a tagged detection step.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C16553,http://purl.obolibrary.org/obo/NCIT_C16553,C16553,
CyTOF,"A flow cytometry technique (Mass Cytometry) that utilizes mass spectrometry to detect antibodies labeled with heavy metal ion tags bound to antigens of interest on single cells.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C187898,http://purl.obolibrary.org/obo/NCIT_C187898,C187898,
ctdDNA,Circulating tumor-derived DNA shed into a bodily fluid by a tumor.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C113243,http://purl.obolibrary.org/obo/NCIT_C113243,C113243,
ATAC-Seq,"A molecular genetic technique that isolates and sequences chromosomal regions rich in open chromatin, identifying regions of transcription factor and nucleosome binding.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C156056,http://purl.obolibrary.org/obo/NCIT_C156056,C156056,
NULISA,"NUcleic acid-Linked Immuno-Sandwich Assay (NULISA): a proximity-based immunoassay technology for high-sensitivity, high-plex protein quantification.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,,,,"No defensible ontology match found."
RNA-Seq,"A procedure that can determine the RNA sequences for all or part of the poly-A tail-containing messenger RNA transcripts in an individual.",,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C124261,http://purl.obolibrary.org/obo/NCIT_C124261,C124261,
WES,A procedure that can determine the DNA sequence for all of the exons in an individual.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C101295,http://purl.obolibrary.org/obo/NCIT_C101295,C101295,
TCR-Seq,Sequencing of T cell receptor genes to characterize the T cell receptor repertoire.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C189102,http://purl.obolibrary.org/obo/NCIT_C189102,C189102,
scRNA-Seq,A procedure that can determine the nucleotide sequence for all of the RNA transcripts in an amplified nucleotide sample derived from a single cell.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,NCIT:C171152,http://purl.obolibrary.org/obo/NCIT_C171152,C171152,
Olink PEA,Olink Proximity Extension Assay: a high-multiplex protein biomarker detection technology.,,,FALSE,,Imaging Assay Type,,CDS v5.0.4/Multiplexedmicroscopy-staining_method,,,OBI:0003112,http://purl.obolibrary.org/obo/OBI_0003112,,
