Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Individual,Information about models and individuals from which biospecimen(s) were collected.,,"Individual_id, Study Key, Individual dbGaP Subject Id, Sex, Individual Gender, Individual Age at Diagnosis, Disease Type, Primary Diagnosis, Primary Site, Individual Primary Tumor Stage, Site of Origin, Tumor Subtype, Tumor Grade, Individual Tumor Lymph Node Stage, Known Metastasis Sites, Individual Metastasis Stage, Treatment Type, Therapeutic Agent, Days to Treatment, Treatment Response, Individual Days to Last Followup, Individual Recurrence Status, Individual Days To Recurrence, Individual Days to Last Known Disease Status, Last Known Disease Status, Individual Vital Status, Individual Residual Disease Status, Individual Age 90 or Older, Individual Year of Birth, Individual Year of Death, Individual Year of Diagnosis, Individual Disease Progression or Recurrence Type, ICD-10-CM Disease Code, Individual Lymph Node Involvement Anatomic Site Uberon Identifier, Individual Progression or Recurrence Anatomic Site Uberon Identifier, Treatment Anatomic Site, Individual Treatment Intent Type, Individual Treatment or Therapy Indicator",,,,,,,,,True,
Individual_id,"Unique row identifier, used as a primary key for record updates. This should follow the GrantNumber-INDxxx convention unless otherwise indicated.",,,True,"CDE:12220014, primary_key",,string,,"^CA\d{6}-IND\d{1,9}$",,,,
Individual Age at Diagnosis,"Age at the time the individual was diagnosed, expressed in years. Note: the CRDC-required CDE for this concept (Subject Age At Diagnosis, CDE 10609539) expresses this value in days rather than years; a documented days<->years derivation is implemented at the mapping/ETL layer for CRDC submission, not as a separate stored field.",,,,"CDE:15019300, CRDC_CDE:10609539",,number,,,,,,
Individual Gender,"Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.","Female, Male, Intersex, Unknown, Unspecified, Not Reported",,,,,string,,,,,,
Individual dbGaP Subject Id,The identifer assigned to the participant by dbGap,,,,,,string,,,,,,
Individual Days to Last Followup,Number of days between the dates used for index and last follow-up,,,,,,number,,,,,,
Individual Primary Tumor Stage,Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"Not Reported, T0, T1, T1a, T1a1, T1a2, T1b, T1b1, T1b2, T1c, T1mi, T2, T2a, T2a1, T2a2, T2b, T2c, T2d, T3, T3a, T3b, T3c, T3d, T4, T4a, T4b, T4c, T4d, T4e, T5, Ta, Tis, Tis (DCIS), Tis (LCIS), Tis (Paget's), TX, Unknown",,,CDE:3440328,,string,,,,,,
Individual Tumor Lymph Node Stage,Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"N0, N0 (i+), N0 (i-), N0 (mol+), N0 (mol-), N1, N1a, N1b, N1bI, N1bII, N1bIII, N1bIV, N1c, N1mi, N2, N2a, N2b, N2c, N3, N3a, N3b, N3c, N4, NX, Unknown, Not Reported",,,CDE:3440330,,string,,,,,,
Individual Days To Recurrence,Number of days between the date used for index and the date the patient's disease recurred,,,,,,number,,,,,,
Individual Days to Last Known Disease Status,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.",,,,,,number,,,,,,
Individual Metastasis Stage,Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"M0, M1, M1a, M1b, M1c, MX, cM0 (i+), Unknown, Not Reported",,,CDE:3440331,,string,,,,,,
Individual Recurrence Status,Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,"Yes, Unknown, Not Reported, Not Applicable, Not Allowed to Collect, No, Censored",,,"CDE:13529783, CRDC_CDE:13529783",,string,,,,,,
Individual Vital Status,Text term that describes the patient's current vital status.,"Unspecified, Unknown, Dead, Alive, Not reported",,,"CDE:2847330, CRDC_CDE:2847330",,string,,,,,,
Individual Residual Disease Status,A text term describing the assessment of the presence of tumor cells remaining in the body following cancer treatment.,"R0, RX, R2, R1, Not Reported",,,CRDC_CDE:15157297,,string,,,,,,
Individual Age 90 or Older,The response to indicate whether an individual is age 90 or older.,"No, Yes",,,CRDC_CDE:15354920,,string,,,,,,
Individual Year of Birth,The 4-digit year of the subject's birth.,,,,CRDC_CDE:16032218,,number,,,,,,
Individual Year of Death,The year of a subject's death.,,,,CRDC_CDE:15112166,,number,,,,,,
Individual Year of Diagnosis,Numeric value to represent the year of an individual's diagnosis of cancer.,,,,CRDC_CDE:15157224,,number,,,,,,
Individual Disease Progression or Recurrence Type,A term describing the kind of worsening or return of disease that a subject is experiencing.,"Not Reported, Unknown, Regional, Local, Biochemical, Distant, Locoregional",,,CRDC_CDE:14742451,,string,,,,,,
Individual Lymph Node Involvement Anatomic Site Uberon Identifier,The UBERON identifier of the organ or part of the body describing lymph node involvement in disease (see https://www.ebi.ac.uk/ols4/ontologies/uberon).,,,,CRDC_CDE:14883075,,string,,^UBERON:\d+$,,,,
Individual Progression or Recurrence Anatomic Site Uberon Identifier,The UBERON identifier of the organ or part of the body related to the progressive or recurrent disease (see https://www.ebi.ac.uk/ols4/ontologies/uberon).,,,,CRDC_CDE:14883061,,string,,^UBERON:\d+$,,,,
Individual Treatment Intent Type,Text term to identify the reason for the administration of a treatment regimen.,"Unknown, Prevention, Palliative, Neoadjuvant, Maintenance, Curative, Adjuvant",,,CRDC_CDE:15157467,,string,,,,,,
Individual Treatment or Therapy Indicator,An indicator that describes whether therapy was administered.,"Not Reported, Yes, No, Unknown",,,CRDC_CDE:14713318,,string,,,,,,
