Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
N0,No regional lymph node involvement (no cancer found in the lymph nodes),,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48705,http://purl.obolibrary.org/obo/NCIT_C48705,C48705,
N0 (i+),,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95922,http://purl.obolibrary.org/obo/NCIT_C95922,C95922,
N0 (i-),,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95921,http://purl.obolibrary.org/obo/NCIT_C95921,C95921,
N0 (mol+),,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95925,http://purl.obolibrary.org/obo/NCIT_C95925,C95925,
N0 (mol-),,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95923,http://purl.obolibrary.org/obo/NCIT_C95923,C95923,
N1,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48706,http://purl.obolibrary.org/obo/NCIT_C48706,C48706,
N1a,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48707,http://purl.obolibrary.org/obo/NCIT_C48707,C48707,
N1b,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48708,http://purl.obolibrary.org/obo/NCIT_C48708,C48708,
N1bI,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95929,http://purl.obolibrary.org/obo/NCIT_C95929,C95929,
N1bII,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95935,http://purl.obolibrary.org/obo/NCIT_C95935,C95935,
N1bIII,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95936,http://purl.obolibrary.org/obo/NCIT_C95936,C95936,
N1bIV,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95937,http://purl.obolibrary.org/obo/NCIT_C95937,C95937,
N1c,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48709,http://purl.obolibrary.org/obo/NCIT_C48709,C48709,
N1mi,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C95955,http://purl.obolibrary.org/obo/NCIT_C95955,C95955,
N2,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48786,http://purl.obolibrary.org/obo/NCIT_C48786,C48786,
N2a,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48711,http://purl.obolibrary.org/obo/NCIT_C48711,C48711,
N2b,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48712,http://purl.obolibrary.org/obo/NCIT_C48712,C48712,
N2c,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48713,http://purl.obolibrary.org/obo/NCIT_C48713,C48713,
N3,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48714,http://purl.obolibrary.org/obo/NCIT_C48714,C48714,
N3a,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48715,http://purl.obolibrary.org/obo/NCIT_C48715,C48715,
N3b,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48716,http://purl.obolibrary.org/obo/NCIT_C48716,C48716,
N3c,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48717,http://purl.obolibrary.org/obo/NCIT_C48717,C48717,
N4,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C96026,http://purl.obolibrary.org/obo/NCIT_C96026,C96026,
NX,Regional lymph nodes cannot be evaluated,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C48718,http://purl.obolibrary.org/obo/NCIT_C48718,C48718,
Unknown,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C17998,http://purl.obolibrary.org/obo/NCIT_C17998,C17998,
Not Reported,,,,FALSE,,Individual Tumor Lymphnode Stage,,CDS v5.0.4/Diagnosis-tumor_stage_clinical_n,,,NCIT:C43234,http://purl.obolibrary.org/obo/NCIT_C43234,C43234,
