"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"Not Reported","Not provided or available.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C43234","http://purl.obolibrary.org/obo/NCIT_C43234","C43234",""
"T0","No evidence of primary tumor","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C48719","http://purl.obolibrary.org/obo/NCIT_C48719","C48719",""
"T1","A clinical and/or pathologic primary tumor TNM finding indicating that the cancer is limited to the site of growth.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C48720","http://purl.obolibrary.org/obo/NCIT_C48720","C48720",""
"T1a","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1a depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C48721","http://purl.obolibrary.org/obo/NCIT_C48721","C48721",""
"T1a1","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1a1 depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C188292","http://purl.obolibrary.org/obo/NCIT_C188292","C188292",""
"T1a2","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1a2 depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C188293","http://purl.obolibrary.org/obo/NCIT_C188293","C188293",""
"T1b","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1b depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C48722","http://purl.obolibrary.org/obo/NCIT_C48722","C48722",""
"T1b1","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1b1 depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C188294","http://purl.obolibrary.org/obo/NCIT_C188294","C188294",""
"T1b2","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1b2 depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C188295","http://purl.obolibrary.org/obo/NCIT_C188295","C188295",""
"T1c","A general term that refers to a TNM finding of a primary tumor limited to the site of growth; the specific definition of T1c depends on the type of cancer.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C48723","http://purl.obolibrary.org/obo/NCIT_C48723","C48723",""
"T1mi","A term that refers to a TNM finding of a primary tumor limited to the site of growth and indicates microinvasion only.","","","FALSE","","Individual Primary Tumor Stage","","CDS v5.0.4/Diagnosis-tumor_stage_clinical_t","","","NCIT:C95805","http://purl.obolibrary.org/obo/NCIT_C95805","C95805",""
