Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
org.albert-einstein-college-of-medicine,,,,FALSE,,Institution Id,,ROR,,,ROR:05cf8a891,https://ror.org/05cf8a891,,Albert Einstein College of Medicine
org.arizona-state-university,,,,FALSE,,Institution Id,,ROR,,,ROR:03efmqc40,https://ror.org/03efmqc40,,Arizona State University
org.auburn-university,,,,FALSE,,Institution Id,,ROR,,,ROR:02v80fc35,https://ror.org/02v80fc35,,Auburn University
org.barrow-neurological-institute,,,,FALSE,,Institution Id,,ROR,,,ROR:01fwrsq33,https://ror.org/01fwrsq33,,Barrow Neurological Institute
org.baylor-college-of-medicine,,,,FALSE,,Institution Id,,ROR,,,ROR:02pttbw34,https://ror.org/02pttbw34,,Baylor College Of Medicine
org.beckman-research-institute-of-city-of-hope,,,,FALSE,,Institution Id,,ROR,,,ROR:05fazth07,https://ror.org/05fazth07,,Beckman Research Institute of City of Hope
org.beth-israel-deaconess-hospital,,,,FALSE,,Institution Id,,ROR,,,ROR:02cpjkp59,https://ror.org/02cpjkp59,,Beth Israel Deaconess Hospital
org.boston-medical-center,,,,FALSE,,Institution Id,,ROR,,,ROR:010b9wj87,https://ror.org/010b9wj87,,Boston Medical Center
org.boston-university,,,,FALSE,,Institution Id,,ROR,,,ROR:05qwgg493,https://ror.org/05qwgg493,,Boston University
org.brigham-and-womens-hospital,,,,FALSE,,Institution Id,,ROR,,,ROR:04b6nzv94,https://ror.org/04b6nzv94,,Brigham and Womens Hospital
org.california-institute-of-technology,,,,FALSE,,Institution Id,,ROR,,,ROR:05dxps055,https://ror.org/05dxps055,,California Institute of Technology
org.childrens-hospital-of-philadelphia,,,,FALSE,,Institution Id,,ROR,,,ROR:01z7r7q48,https://ror.org/01z7r7q48,,Childrens Hospital of Philadelphia
org.city-of-hope,,,,FALSE,,Institution Id,,ROR,,,ROR:00w6g5w60,https://ror.org/00w6g5w60,,City Of Hope
org.clemson-university,,,,FALSE,,Institution Id,,ROR,,,ROR:037s24f05,https://ror.org/037s24f05,,Clemson University
org.cleveland-clinic,,,,FALSE,,Institution Id,,ROR,,,ROR:03xjacd83,https://ror.org/03xjacd83,,Cleveland Clinic
org.cold-spring-harbor-laboratory,,,,FALSE,,Institution Id,,ROR,,,ROR:02qz8b764,https://ror.org/02qz8b764,,Cold Spring Harbor Laboratory
org.columbia-university,,,,FALSE,,Institution Id,,ROR,,,ROR:00hj8s172,https://ror.org/00hj8s172,,Columbia University
org.cornell-university,,,,FALSE,,Institution Id,,ROR,,,ROR:05bnh6r87,https://ror.org/05bnh6r87,,Cornell University
org.dana-farber-cancer-institute,,,,FALSE,,Institution Id,,ROR,,,ROR:02jzgtq86,https://ror.org/02jzgtq86,,Dana-Farber Cancer Institute
org.dartmouth-college,,,,FALSE,,Institution Id,,ROR,,,ROR:049s0rh22,https://ror.org/049s0rh22,,Dartmouth College
org.duke-university,,,,FALSE,,Institution Id,,ROR,,,ROR:00py81415,https://ror.org/00py81415,,Duke University
org.emory-university,,,,FALSE,,Institution Id,,ROR,,,ROR:03czfpz43,https://ror.org/03czfpz43,,Emory University
org.georgia-institute-of-technology,,,,FALSE,,Institution Id,,ROR,,,ROR:01zkghx44,https://ror.org/01zkghx44,,Georgia Institute of Technology
org.harvard-medical-school,,,,FALSE,,Institution Id,,ROR,,,ROR:03vek6s52,https://ror.org/03vek6s52,,Harvard Medical School
org.harvard-university,,,,FALSE,,Institution Id,,ROR,,,ROR:03vek6s52,https://ror.org/03vek6s52,,Harvard University
org.hebrew-university-of-jerusalem,,,,FALSE,,Institution Id,,ROR,,,ROR:03qxff017,https://ror.org/03qxff017,,Hebrew University of Jerusalem
org.houston-methodist,,,,FALSE,,Institution Id,,ROR,,,ROR:027zt9171,https://ror.org/027zt9171,,Houston Methodist
org.indiana-university,,,,FALSE,,Institution Id,,ROR,,,ROR:01kg8sb98,https://ror.org/01kg8sb98,,Indiana University
org.institute-for-systems-biology,,,,FALSE,,Institution Id,,ROR,,,ROR:02tpgw303,https://ror.org/02tpgw303,,Institute for Systems Biology
org.jackson-laboratory,,,,FALSE,,Institution Id,,ROR,,,ROR:021sy4w91,https://ror.org/021sy4w91,,Jackson Laboratory
org.johns-hopkins-university,,,,FALSE,,Institution Id,,ROR,,,ROR:00za53h95,https://ror.org/00za53h95,,Johns Hopkins University
org.lurie-children-s-hospital,,,,FALSE,,Institution Id,,ROR,,,ROR:03a6zw892,https://ror.org/03a6zw892,,Lurie Children's Hospital
org.massachusetts-general-hospital,,,,FALSE,,Institution Id,,ROR,,,ROR:002pd6e78,https://ror.org/002pd6e78,,Massachusetts General Hospital
org.massachusetts-institute-of-technology,,,,FALSE,,Institution Id,,ROR,,,ROR:042nb2s44,https://ror.org/042nb2s44,,Massachusetts Institute of Technology
org.mayo-clinic,,,,FALSE,,Institution Id,,ROR,,,ROR:02qp3tb03,https://ror.org/02qp3tb03,,Mayo Clinic
org.memorial-sloan-kettering-cancer-center,,,,FALSE,,Institution Id,,ROR,,,ROR:02yrq0923,https://ror.org/02yrq0923,,Memorial Sloan Kettering Cancer Center
org.moffitt-cancer-center,,,,FALSE,,Institution Id,,ROR,,,ROR:01xf75524,https://ror.org/01xf75524,,Moffitt Cancer Center
org.northeastern-university,,,,FALSE,,Institution Id,,ROR,,,ROR:04t5xt781,https://ror.org/04t5xt781,,Northeastern University
org.new-york-university,,,,FALSE,,Institution Id,,ROR,,,ROR:0190ak572,https://ror.org/0190ak572,,New York University
org.northwestern-university,,,,FALSE,,Institution Id,,ROR,,,ROR:000e0be47,https://ror.org/000e0be47,,Northwestern University
org.oregon-health-science-university,,,,FALSE,,Institution Id,,ROR,,,ROR:009avj582,https://ror.org/009avj582,,Oregon Health & Science University
