Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Model,Information about a non-human organism or any cell line from which experimental data is derived.,,"Model_id, Study Key, Individual Key, Model Age, Model Age Unit, Sex, Disease Type, Primary Diagnosis, Primary Site, Site of Origin, Tumor Subtype, Species, Model Type, Model Method, Model Source, Model Acquisition Type, Model Graft Source, Model Genotype, Treatment Type, Therapeutic Agent, Days to Treatment, Treatment Response, Treatment Anatomic Site",,,,,,,,,True,
Model_id,"Unique row identifier, used as a primary key for record updates. This should use the GrantNumber-Mxxx format unless directed otherwise.",,,True,"CDE:12220014, primary_key",,string,,"^CA\d{6}-M\d{1,9}$",,,,
Model Age,"The age of the model when used for an experiment (mice, zebrafish, etc.) or model source (cell lines, organoids, etc.)",,,,,,number,,,,,,
Model Age Unit,The unit corresponding to the age provided for this model.,,,,,,string,,,,,,
Model Type,The general label used to identify the model type.,,,True,,,string,,,,,,
Model Method,The term that describes the general method used to create the model.,,,,,,string,,,,,,
Model Source,"The reference organism from which the model was derived, if applicable. This could be a specific Biospecimen Key, Model Key, mouse type, cell line, or other reference. Provide RRID if available, to link to existing cell line information. Do not use this field to designate an Individual as the source of the model.",,,,,,string,,,,,,
Model Acquisition Type,"The method by which the model was obtained. If applicable, please provide a link to the supplier of the model source.",,,,,,string,,,,,,
Model Graft Source,"If the model is an allograft or xenograft, as indicated by Model Type, please provide a unique identifier associated with the source of the graft material (e.g., RRID, Individual Key, Model Key, Biospecimen Key)",,,,,,string,,,,,,
Model Genotype,"The relevant genotype information associated with the model, including markers, background, etc.",,,,,,string,,,,,,
