Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Name,Name of the individual,,,True,,,string,,,,,,
Alternative Names,"Other ways the individual's name is displayed. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
Email,Email address of the individual,,,,CRDC_CDE:2517550,,string,,,,,,
Url,"URL, e.g., individual's home page address",,,,,,string,uri,,,,,
Orcid Id,Unique identifier (ORCID ID) of the individual,,,,CRDC_CDE:10624734,,string,,\d{4}\-\d{4}\-\d{4}\-\d{3}(\d|X),,,,
Synapse Profile Id,Unique identifier (Synapse Profile ID) of the individual. See identifer in the url of the synapse profile page. ,,,,,,string,,,,,,
Last Known Institution,Last known institutional affiliation of the individual.,,,True,,,string,,,,,,
Working Group Participation,"CSBC/PSON working group(s) of which the individual is a member (current and former). Multiple values permitted, comma separated.","Cancer Metabolism, Cell and Tissue Mechanics, Education and Outreach, Image Analysis, Navigating Cancer with Science and Art, None, Patient Advocacy Working Group, Protein-Protein Interactions, Resource and Data Sharing",,True,,,string_list,,,,,,
Chair Roles,"Committee or working group chair role(s) the individual fulfilled (current and former). Multiple values permitted, comma separated.","Annual Meeting, None, Steering Committee, Working Group",,True,,,string_list,,,,,,
Consent For Portal Display,Consent from individual to display Person information in the CCKP,"No, Yes",,True,,,string,,,,,,
Portal Display,Display content in CCKP,"FALSE, TRUE",,True,,,boolean,,,,,,
Person View,The denormalized manifest for person submission.,,"PersonView_id, GrantView Key, Consortium Affiliation, Consortium Key, Name, Alternative Names, Email, Url, Orcid Id, Synapse Profile Id, Last Known Institution, Institution Key, Working Group Participation, Chair Roles, Consent For Portal Display, Portal Display, Person Publications, Person Datasets, Person Tools, Person Educational Resources",,,,,,,,,True,
Person Publications,"A list of the pubmed Ids associated with the person. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
Person Datasets,"A list of the dataset aliases (An alias of the dataset must be unique. Can be the GEO identifier such as GSE12345, or a DOI. No Greek Letters) associated with the person. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
Person Tools,"A list of the tool names associated with the person. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
Person Educational Resources,"A list of educational resource identifiers associated with the person. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
PersonView_id,A unique primary key that enables record updates using schematic.,,,True,primary_key,,string,,,,,,
