Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Publication Doi,The digital object identifier associated with the publication in the form of https://www.doi.org/{doi} to comply with CrossRef DOI display guidelines.,,,,,,string,uri,,,,,
Publication Journal,The name of the periodical publication in which the publication was published.,,,True,,,string,,,,,,
Pubmed Id,The PubMed identifier associated with the publication.,,,True,CDE:3443453,,string,,,,,,
Pubmed Url,Pubmed URL for the publication,,,True,,,string,uri,,,,,
Publication Title,Title of the publication,,,True,,,string,,,,,,
Publication Year,Year of the publication,,,True,,,number,,,,,,
Publication Keywords,"Keywords associated with the publication. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
Publication Authors,"Authors of the publication. Multiple values permitted, comma separated.",,,True,,,string_list,,,,,,
Publication Abstract,The abstract of the publication.,,,True,,,string,,,,,,
Publication Accessibility,Whether there are non-monetary restrictions on accessing an the publication.,"Open Access, Restricted Access",,True,,,string,,,,,,
Publication View,The denormalized manifest for publication submission.,,"PublicationView_id, Study Key, GrantView Key, Publication Doi, Publication Journal, Pubmed Id, Pubmed Url, Publication Title, Publication Year, Publication Keywords, Publication Authors, Publication Abstract, Assay, Tumor Type, Tissue, Publication Accessibility, Publication Dataset Alias",,,,,,,,,True,
Publication Dataset Alias,"A list of the dataset aliases (An alias of the dataset must be unique. Can be the GEO identifier such as GSE12345, or a DOI. No Greek Letters) associated with the publication. Multiple values permitted, comma separated.",,,,,,string_list,,,,,,
PublicationView_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the PubMed Id, unless directed otherwise.",,,True,primary_key,,string,,,,,,
