Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Sequencing Level 1,Unaligned/unprocessed sequencing data ,,"Component, SequencingLevel1_id, Filename, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Read Length, NGS Raw Reads, NGS Unique Bases, NGS Sequencing Coverage, NGS Library Preparation Kit Name, NGS Library Preparation Kit Vendor, NGS Library Preparation Kit Version, NGS Read Indicator, NGS Library Preparation Days from Index, NGS Sequencing Library Construction Days from Index",FALSE,,,,MC2,
SequencingLevel1_id,A unique identifier used by schematic for record updates and as a reference key in other schemas,,,TRUE,,,,MC2,unique
NGS Sequencing Coverage,Depth of coverage on assembly used. Found by (Unique Aligned Basecalls)/(Reference Length),,,FALSE,,,,CDS/Genomic info,num
NGS Read Length,"The average length of the sequencing reads. Can be integer, null",,,TRUE,,,,HTAN,num
NGS Library Selection Method,How nucleic acid molecules are isolated.,"5-methylcytidine antibody, CAGE, rRNA Depletion, cDNA, cDNA oligo_dT, cDNA random priming, CF-H, CF-M, CF-S, CF-T, Poly-T Enrichment, ChIP, DNAse, HMPR, Hybrid Selection, Not applicable, Inverse rRNA, MBD2 protein methyl-CpG binding domain, miRNA Size Fractionation, MDA, MF, MNase, MSLL, Oligo-dT, Other, Padlock probes capture method, PCR, PolyA, RACE, Random, Random PCR, Reduced Representation, Repeat fractionation, Restriction Digest, RT-PCR, Size fractionation, Affinity Enrichment, Unspecified",,FALSE,,,,HTAN,str
NGS Library Strategy,"The assay associated with the nucleic acid library (e.g., RNA-Seq, ChIP-Seq)","AMPLICON, ATAC-seq, Bisulfite-Seq, ChIA-PET, ChIP-Seq, CLONE, CLONEEND, CTS, Spatial-tx, snATAC-Seq, DNase-Hypersensitivity, scMultiome, EST, FAIRE-seq, FINISHING, FL-cDNA, Hi-C, MBD-Seq, MeDIP-Seq, miRNA-Seq, MNase-Seq, MRE-Seq, ncRNA-Seq, Other, POOLCLONE, RAD-Seq, RIP-Seq, RNA-Seq, SELEX, DNA-Seq, ssRNA-seq, Synthetic-Long-Read, Targeted-Capture, Tethered Chromatin Conformation Capture, Tn-Seq, WCS, WGA, WGS, WXS",,TRUE,,,,CDS/sequencing,str
NGS Library Source Material,The type of source material being sequenced.,"Bulk Cells, Bulk Tissue, Bulk Nuclei, Single-nuclei, Single-cells, Not Reported",,TRUE,,,,GC Data Model v6.0.2/genomic info/library_source_material,str
NGS Library Layout,"Text description of the library layout, one of Paired-end or Single.","Paired-end, Single-indexed",,TRUE,,,,GC Data Model v6.0.2/genomic info/library_layout,str
NGS Library Preparation Kit Name,Name of Library Preparation Kit. String,,,FALSE,,,,HTAN,str
NGS Library Preparation Kit Vendor,Vendor of Library Preparation Kit. String,,,FALSE,,,,HTAN,str
NGS Library Preparation Kit Version,Version of Library Preparation Kit. String,,,FALSE,,,,HTAN,str
NGS Sequencing Platform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,"454 GS, 454 GS 20, 454 GS FLX, 454 GS FLX Titanium, 454 GS FLX+, 454 GS Junior, AB 310 Genetic Analyzer, AB 3130 Genetic Analyzer, AB 3130xL Genetic Analyzer, AB 3500 Genetic Analyzer, AB 3500xL Genetic Analyzer, AB 3730 Genetic Analyzer, AB 3730xL Genetic Analyzer, AB 5500 Genetic Analyzer, AB 5500x-Wl Genetic Analyzer, AB 5500xl Genetic Analyzer, AB SOLiD 2, AB SOLiD 3, AB SOLiD 3 Plus System, AB SOLiD 4, AB SOLiD 4hq System, AB SOLiD PI System, AB SOLiD System, BGISEQ-500, Complete Genomics, DNBSEQ-G400, DNBSEQ-G50, DNBSEQ-T7, GridION, Helicos HeliScope, Illumina Genome Analyzer, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiScanSQ, Illumina HiSeq 1000, Illumina HiSeq 1500, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 3000, Illumina HiSeq 4000, Illumina HiSeq X Five, Illumina HiSeq X Ten, Illumina iSeq 100, Illumina MiniSeq, Illumina MiSeq, Illumina NextSeq, Illumina NextSeq 2500, Illumina NextSeq 500, Illumina NextSeq 550, Illumina NovaSeq, Illumina NovaSeq 6000, Illumina NovaSeq X Plus, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5, Ion Torrent S5 XL, MGISEQ-2000RS, MinION, Not Reported, Other, PacBio RS, PacBio RS II, PacBio Sequel, PacBio Sequel II, PromethION, Ultima Genomics UG100, Unknown",,TRUE,,,,HTAN,str
NGS Sequencing Design Description,Free-form description of the methods used to create the sequencing library; a brief 'materials and methods' section.,,,TRUE,,,,CDS/sequencing,str
NGS Read Indicator,"Indicate if this is Read 1 (R1), Read 2 (R2), Index Reads (I1), or Other","R1, R2, R1&R2, I1, Other",,TRUE,,,,HTAN,str
NGS Library Preparation Days from Index,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number]. If not applicable please enter 'Not Applicable',,,FALSE,,,,HTAN,regex match \d+$|Not\sApplicable$|unknown$
NGS Sequencing Library Construction Days from Index,Number of days between sample for assay was received in lab and day of sequencing library construction [number]. If not applicable please enter 'Not Applicable',,,TRUE,,,,HTAN,regex match \d+$|Not\sApplicable$|unknown$
NGS Unique Bases,Count of unique basecalls present in the data.,,,FALSE,,,,CDS/Sequencing,num
NGS Raw Reads,Reads not yet analyzed in any way to be used for data analysis. The number of reads that pass filter from the flow cell represented in the FASTQ file. ,,,FALSE,,,,CDS/Sequencing,num
NGS Library Source Molecule,The source of nucleic acids represented in the sequencing library. ,"Genomic DNA, Metagenomic, Metatranscriptomic, Not Reported, Transcriptome, Viral RNA",,,,,,GC Data Model v6.0.2/genomic info/library_source_molecule,str
