"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"5-methylcytidine antibody","Selection of methylated DNA fragments using an antibody raised against 5-methylcytosine or 5-methylcytidine (m5C)","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","NCIT:C204821","http://purl.obolibrary.org/obo/NCIT_C204821","C204821",""
"CAGE","Cap-analysis gene expression","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"rRNA Depletion","","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"cDNA","complementary DNA","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"cDNA oligo_dT","A library selection method using oligo-dT primers to select for polyadenylated mRNA during cDNA synthesis, enriching for mature eukaryotic transcripts.","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","NCIT:C201929","http://purl.obolibrary.org/obo/NCIT_C201929","C201929",""
"cDNA random priming","A library selection method using random-sequence oligonucleotides to prime cDNA synthesis, allowing unbiased coverage of RNA transcripts including non-polyadenylated species.","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","NCIT:C201930","http://purl.obolibrary.org/obo/NCIT_C201930","C201930",""
"CF-H","Cot-filtered highly repetitive genomic DNA","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"CF-M","Cot-filtered moderately repetitive genomic DNA","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"CF-S","Cot-filtered single/low-copy genomic DNA","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"CF-T","Cot-filtered theoretical single-copy genomic DNA","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","","","",""
"Poly-T Enrichment","A library selection method using poly-T (oligo-dT) oligonucleotides to capture polyadenylated mRNA, enriching for mature eukaryotic transcripts with poly(A) tails.","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","NCIT:C201929","http://purl.obolibrary.org/obo/NCIT_C201929","C201929",""
"ChIP","Chromatin immunoprecipitation","","","FALSE","","NGS Library Selection","","CDS v5.0.4/Genomic Info-library_selection","","","NCIT:C106048","http://purl.obolibrary.org/obo/NCIT_C106048","C106048",""
