Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Genomic,Genomic DNA (includes PCR products from genomic DNA),,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Genomic Single Cell,,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Metagenomic,Mixed material from metagenome,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Single Nucleus,,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Single Cell,,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Metatranscriptomic,Transcription products from community targets,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Other,"Other, unspecified, or unknown library source material (please include additional info in the “design description”)",,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Synthetic,Synthetic DNA,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Transcriptomic,"Transcription products or non genomic DNA (EST, cDNA, RT-PCR, screened libraries)",,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Transcriptomic Single Cell,,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
Viral RNA,Viral RNA,,,FALSE,,NGS Library Source,,CDS v5.0.4/Genomic Info-library_source,,,,,,
