Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
AMPLICON,Sequencing of overlapping or distinct PCR or RT-PCR products,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C204813,http://purl.obolibrary.org/obo/NCIT_C204813,C204813,
ATAC-seq,Assay for Transposase-Accessible Chromatin (ATAC) strategy is used to study genome-wide chromatin accessibility. alternative method to DNase-seq that uses an engineered Tn5 transposase to cleave DNA and to integrate primer DNA sequences into the cleaved genomic DNA,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C156056,http://purl.obolibrary.org/obo/NCIT_C156056,C156056,
Bisulfite-Seq,Sequencing following treatment of DNA with bisulfite to convert cytosine residues to uracil depending on methylation status,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C106054,http://purl.obolibrary.org/obo/NCIT_C106054,C106054,
ChIA-PET,Direct sequencing of proximity-ligated chromatin immunoprecipitates.,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C172845,http://purl.obolibrary.org/obo/NCIT_C172845,C172845,
ChIP-Seq,Direct sequencing of chromatin immunoprecipitates,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C106049,http://purl.obolibrary.org/obo/NCIT_C106049,C106049,
CLONE,Genomic clone based (hierarchical) sequencing,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C204814,http://purl.obolibrary.org/obo/NCIT_C204814,C204814,
CLONEEND,"Clone end (5', 3', or both) sequencing",,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C204815,http://purl.obolibrary.org/obo/NCIT_C204815,C204815,
CTS,Concatenated Tag Sequencing,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C204816,http://purl.obolibrary.org/obo/NCIT_C204816,C204816,
Spatial-tx,A method that measures and maps gene expression in a biological sample while preserving the spatial context of the cells.,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C205121,http://purl.obolibrary.org/obo/NCIT_C205121,C205121,
snATAC-Seq,A molecular genetic technique where DNA is harvested from a single cell nucleus and subjected to ATAC-seq to isolate and sequence regions rich in open chromatin.,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C198496,http://purl.obolibrary.org/obo/NCIT_C198496,C198496,
DNase-Hypersensitivity,"Sequencing of hypersensitive sites, or segments of open chromatin that are more readily cleaved by DNaseI",,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C106052,http://purl.obolibrary.org/obo/NCIT_C106052,C106052,
scMultiome,"A sequencing strategy that simultaneously profiles two or more molecular modalities, such as the transcriptome and chromatin accessibility, from the same individual cell to capture a more complete picture of cellular state.",,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C205123,http://purl.obolibrary.org/obo/NCIT_C205123,C205123,
EST,Single pass sequencing of cDNA templates,,,FALSE,,NGS Library Strategy,,CDS v5.0.4/Genomic Info-library_strategy,,,NCIT:C18155,http://purl.obolibrary.org/obo/NCIT_C18155,C18155,
