Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
454 GS,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS 20,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS FLX,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS FLX Titanium,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS FLX Titanium,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS FLX+,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
454 GS Junior,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 310 Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3130 Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3130xL Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3500 Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3500xL Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3730 Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 3730xL Genetic Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 5500 Genetic Analyzer,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 5500x-Wl Genetic Analyzer,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB 5500xl Genetic Analyzer,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD 3 Plus System,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD 4 System,"is this the same as ""AB SOLiD 4""",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD 4hq System,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD PI System,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD System,"A proprietary next-generation DNA sequencing system from Applied Biosystems that utilizes DNA ligase. DNA fragments attached to beads are clonally amplified and ligated to fluorescently labeled ""interrogation probes"". Ligation frees the fluor, which is detected and identifies the specific probe. The marker of the attached probe is then removed and a 5'-phosphate group is regenerated. Multiple cycles of ligation, detection, and cleavage are performed.",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD System 2.0,"is this the same as ""AB SOLiD 2""",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
AB SOLiD System 3.0,"is this the same as ""AB SOLiD 3""",,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
BGISEQ-500,The BGISEQ-500 is a model type of the BGISEQ sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Complete Genomics,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
DNBSEQ-G400,The DNBSEQ-G400 is a model type of the BGISEQ sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
DNBSEQ-G50,The DNBSEQ-G50 is a model type of the BGISEQ sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
DNBSEQ-T7,The DNBSEQ-T7 is a model type of the BGISEQ sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Helicos HeliScope,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina Genome Analyzer,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina Genome Analyzer II,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina Genome Analyzer IIx,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiScanSQ,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 1000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 1500,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 2000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 2500,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 3000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq 4000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq X Five,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina HiSeq X Ten,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina iSeq 100,The Illumina iSeq 100 is a model type of the Illumina sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina MiniSeq,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina MiSeq,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq 1000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq 2000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq 2500,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq 500,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NextSeq 550,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NovaSeq 6000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Illumina NovaSeq 6000,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Ion Torrent PGM,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Ion Torrent Proton,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Ion Torrent S5,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Ion Torrent S5 XL,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
MGISEQ-2000RS,The MGISEQ-2000RS is a model type of the BGISEQ sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Oxford Nanopore GridION,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Oxford Nanopore MinION,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Oxford Nanopore PromethION,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
PacBio RS,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
PacBio RS II,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
PacBio Sequel,The PacBio Sequel is a model type of the PacBio SMRT sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
PacBio Sequel II,The PacBio Sequel II is a model type of the PacBio SMRT sequencing library platform.,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Revio,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
Ultima Genomics UG100,,,,FALSE,,Sequencing Platform,,"CDS Metadata v1.3.3, HTAN",,,,,,
,,,,,,,,,,,,,,
