Node,Property,Type,CDEFullName,CDEVersion,CDECode,CDEOrigin,Acceptable Values,Required,Description,Src,Key Property,MC2 attribute,Transformation or alternate source,Required and present
program,program_name,string,Program Name Text,2,11444542,caDSR,,required,"The name of the program under which related studies will be grouped, in full text and unabbreviated form, exactly as it will be displayed within the UI.",Internally-curated,FALSE,Consortium Full Name,,TRUE
program,program_acronym,string,,,,,,required,"The name of the program under which related studies will be grouped, expressed in the form of the acronym by which it will identified within the UI. <br>This property is used as the key via which study records can be associated with the appropriate program during data loading, and to identify the correct records during data updates.",Internally-curated,TRUE,Grant Consortium Name,,TRUE
program,program_short_description,string,,,,,,preferred,"An abbreviated, single sentence description of the program.",Internally-curated,FALSE,Consortium Description,,FALSE
program,program_full_description,string,,,,,,preferred,"A more detailed, multiple sentence description of the program.",Internally-curated,FALSE,Consortium Description,,FALSE
program,program_external_url,string,,,,,,preferred,The external url to which users should be directed in order to learn more about the program.,Internally-curated,FALSE,Website,,FALSE
program,program_sort_order,integer,,,,,,optional,An arbitrarily-assigned value used to dictate the order in which programs are displayed within the application's UI.,Internally-curated,FALSE,None,,FALSE
program,program_short_name,string,Program Short Name Text,2,11459801,caDSR,,optional,An acronym or abbreviated form of the title of a broad framework of goals under which related projects or other research activities are grouped. Example - CPTAC,,FALSE,Grant Consortium Name,,FALSE
program,institution,string,,,,,,preferred,TBD,,FALSE,Grant Institution Name,,FALSE
program,crdc_id,string,,,,,,optional,The crdc_id is a unique identifier that is generated by CRDC Submission Portal,,FALSE,None,,FALSE
study,study_name,string,Study Name Text,2,11459810,caDSR,,required,Official name of study,,FALSE,Study Name,,TRUE
study,study_acronym,string,Study Short Name Text,2,11459812,caDSR,,optional,Short acronym or other study desginator,,FALSE,Study_id,,FALSE
study,study_description,string,,,,,,preferred,Human-readable study description,,FALSE,Study Description,,FALSE
study,short_description,string,,,,,,preferred,Short description that will identify the dataset on public pagesA clear and concise formula for the title would be like:{methodology} of {organism}: {sample info},,FALSE,None,,FALSE
study,study_external_url,url,,,,,,preferred,Website or other url relevant to study,,FALSE,NIH RePORTER Link,,FALSE
study,primary_investigator_name,string,,,,,,preferred,Name of principal investigator,,FALSE,Study Investigator,,FALSE
