Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Abdomen,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Abdominal Wall,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Acetabulum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Adenoid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Adipose,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Adrenal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Alveolar Ridge,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Amniotic Fluid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ampulla Of Vater,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Anal Sphincter,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ankle,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Anorectum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Antecubital Fossa,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Antrum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Anus,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Aorta,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Aortic Body,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Appendix,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Aqueous Fluid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Arm,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Artery,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ascending Colon,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ascending Colon Hepatic Flexure,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Auditory Canal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Autonomic Nervous System,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Axilla,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Back,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bile Duct,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bladder,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Blood,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Blood Vessel,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bone,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bone Marrow,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bowel,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Brain,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Brain Stem,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Breast,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Broad Ligament,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bronchiole,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Bronchus,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Brow,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Buccal Cavity,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Buccal Mucosa,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Buttock,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Calf,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Capillary,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cardia,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Carina,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Carotid Artery,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Carotid Body,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cartilage,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cecum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cell-Line,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Central Nervous System,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cerebellum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cerebral Cortex,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cerebrospinal Fluid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cerebrum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cervical Spine,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Cervix,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Chest,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Chest Wall,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Chin,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Clavicle,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Clitoris,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Colon,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Colon - Mucosa Only,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Common Duct,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Conjunctiva,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Connective Tissue,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Dermal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Descending Colon,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Diaphragm,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Duodenum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ear,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ear Canal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
"Ear; Pinna (External)",,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Effusion,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Elbow,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Endocrine Gland,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Epididymis,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Epidural Space,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophageal; Distal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophageal; Mid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophageal; Proximal,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophagogastric Junction,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophagus,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Esophagus - Mucosa Only,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Eye,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Fallopian Tube,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Femoral Artery,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Femoral Vein,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Femur,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Fibroblasts,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Fibula,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Finger,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Floor Of Mouth,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Fluid,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Foot,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Forearm,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Forehead,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Foreskin,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Frontal Cortex,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Frontal Lobe,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Fundus Of Stomach,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Gallbladder,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ganglia,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Gastroesophageal Junction,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Gastrointestinal Tract,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Glottis,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Groin,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Gum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hand,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hard Palate,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
"Head - Face Or Neck; Nos",,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Head & Neck,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Heart,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hepatic,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hepatic Duct,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hepatic Flexure,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hepatic Vein,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hip,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hippocampus,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Humerus,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Hypopharynx,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ileum,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
Ilium,,,,FALSE,,Anatomic Site,,CDS Imaging V1.0,,,,,,
