Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
"Accessory sinus; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Abdominal esophagus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ascending colon,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Appendix,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Aortic body and other paraganglia,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anterior wall of nasopharynx,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anterior wall of bladder,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anterior surface of epiglottis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anterior mediastinum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anterior floor of mouth,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Anterior 2/3 of tongue; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Anal canal,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ampulla of Vater,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Gum; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Greater curvature of stomach; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Glottis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Glans penis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Gastrointestinal tract; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Bone; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Bone marrow,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Body of stomach,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Body of penis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Body of pancreas,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Blood,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Bladder neck,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Biliary tract; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Base of tongue; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Conjunctiva,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Commissure of lip,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Colon; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cloacogenic zone,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Clitoris,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ciliary body,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Choroid,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cheek mucosa,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cervix uteri,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cervical esophagus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cerebrum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cerebral meninges,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Cerebellum; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cecum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Abdomen; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Acoustic nerve,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Adrenal gland; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Anus; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Autonomic nervous system; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Dorsal surface of tongue; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Dome of bladder,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Descending colon,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Descended testis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Craniopharyngeal duct,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Cranial nerve; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cortex of adrenal gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Corpus uteri,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Cornea; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of upper limb and shoulder",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of trunk; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of thorax",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of pelvis",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of lower limb and hip",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of head; face; and neck",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Connective; subcutaneous and other soft tissues of abdomen",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Bones of skull and face and associated joints,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Cauda equina,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Carotid body,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Cardia; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Broad ligament,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Breast; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Branchial cleft,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Brain; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Brain stem,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Border of tongue,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ethmoid sinus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Esophagus; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Epididymis,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Endometrium,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Endocrine gland; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Endocervix,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Duodenum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Eyelid,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Eye; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Extrahepatic bile duct,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
External upper lip,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
External lower lip,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"External lip; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
External ear,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Exocervix,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Fundus uteri,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Fundus of stomach,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Frontal sinus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Frontal lobe,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Floor of mouth; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Fallopian tube,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lymph node; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lung; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lower-outer quadrant of breast,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lower-inner quadrant of breast,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lower third of esophagus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lower lobe; lung",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lower limb; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lower gum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Long bones of upper limb; scapula and associated joints",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Long bones of lower limb and associated joints,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Liver,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lip; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lingual tonsil,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Lesser curvature of stomach; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lateral wall of oropharynx,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lateral wall of nasopharynx,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lateral wall of bladder,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lateral floor of mouth,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Larynx; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Laryngeal cartilage,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Axillary tail of breast,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Gallbladder,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Gastric antrum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Isthmus uteri,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Islets of Langerhans,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Intrathoracic lymph nodes,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Intrahepatic bile duct,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Intra-abdominal lymph nodes,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Intestinal tract; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ill-defined sites within respiratory system,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ileum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Hypopharynx; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Hypopharyngeal aspect of aryepiglottic fold,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Hepatic flexure of colon,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Hematopoietic system; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Heart,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Head; face or neck; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Head of pancreas,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Hard palate,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Myometrium,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Mucosa of upper lip,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Mucosa of lower lip,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Mucosa of lip; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Mouth; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Middle third of esophagus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Middle lobe; lung",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Middle ear,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Meninges; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Medulla of adrenal gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Mediastinum; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Meckel diverticulum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Maxillary sinus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Mandible,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Major salivary gland; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Main bronchus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Oropharynx; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Orbit; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Optic nerve,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Olfactory nerve,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Occipital lobe,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Nipple,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Nervous system; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Nasal cavity,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Penis; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Pelvis; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Pelvic lymph nodes,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Pelvic bones; sacrum; coccyx and associated joints",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Parotid gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Parietal lobe,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Paraurethral gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Parathyroid gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Parametrium,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Pancreatic duct,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Pancreas; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Palate; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Ovary,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lacrimal gland,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Labium minus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Labium majus,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
"Kidney; NOS",,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Jejunum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lymph nodes of multiple regions,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lymph nodes of inguinal region or leg,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Lymph nodes of axilla or arm,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Other specified parts of pancreas,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Other specified parts of male genital organs,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Other specified parts of female genital organs,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Other ill-defined sites,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Laryngeal commissure,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesions of oropharynx,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of vulva,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of urinary organs,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of tonsil,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of tongue,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of stomach,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of small intestine,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of skin,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of retroperitoneum and peritoneum,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
Overlapping lesion of respiratory system and intrathoracic organs,,,,FALSE,,Anatomic Site Image,,CDS v5.0.4/Image,,,,,,
