Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Data Use Codes,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used. Available DUO code definitions can be found here: https://mc2-center.github.io/data-models/valid_values/study/#attribute-study-data-use-codes","Pending Annotation, DUO:0000042, DUO:0000027, DUO:0000016, DUO:0000029, DUO:0000043, DUO:0000015, DUO:0000004, DUO:0000045, DUO:0000017, DUO:0000011, DUO:0000046, DUO:0000018, DUO:0000044, DUO:0000021, DUO:0000006, DUO:0000019, DUO:0000026, DUO:0000020, DUO:0000012, DUO:0000025, DUO:0000024, DUO:0000028, DUO:0000022, DUO:0000007, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7",,,CDE:0002001,,string_list,,,,,,
ProjectView Key,"Unique ProjectView_id foreign key(s) that group the resource with other components, as part of the same grant-associated studies. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Study Key,"The unique Study_id foreign keys associated with the resource, found in the grant Study information. Used to group the resource with other components. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
PersonView Key,"Unique PersonView_id foreign key(s) that group the resource with other components, as part of the same person-associated studies. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Consortium Key,"Unique Consortium_id foreign key(s) that group the resource with other components, as part of the same consortium-associated grants. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Institution Key,"Unique Institution_id foreign key(s) that group the resource with other components, as part of the same institution-associated grants. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
GrantView Key,"Unique GrantView_id foreign key(s) that group the resource with other components, as part of the same grant-associated collection. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,CA\d{6},,,,
DatasetView Key,Unique DatasetView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
Biospecimen Key,Unique Biospecimen_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,"-B\d{1,9}",,,,
Individual Key,Unique Individual_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,"CA\d{6}-IND\d{1,9}",,,,
PublicationView Key,Unique PublicationView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
ToolView Key,Unique ToolView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
EducationalResource Key,Unique EducationalResource_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
DataDSP Key,Unique DataDSP_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
Model Key,Unique Model_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,"CA\d{6}-M\d{1,9}",,,,
NanoStringGeoMxAuxiliaryFiles Key,Unique NanoStringGeoMxAuxiliaryFiles_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPImaging Key,Unique NanoStringGeoMxDSPImaging_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel1 Key,Unique NanoStringGeoMxDSPLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel2 Key,Unique NanoStringGeoMxDSPLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel3 Key,Unique NanoStringGeoMxDSPLevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMXROISegmentAnnotation Key,Unique NanoStringGeoMXROISegmentAnnotation_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingChannel Key,Unique ImagingChannel_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel1 Key,Unique ImagingLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
