Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
AVI,A multimedia container format for audio video interleaved (AVI) files that allows for synchronous audio-with-video playback.,,,FALSE,,Dataset File Formats,,,,,NCIT:C190162,http://purl.obolibrary.org/obo/NCIT_C190162,C190162,
BAI,"An index file associated with a binary alignment map (BAM) file, a compressed binary version of a sequence alignment/map (SAM) file, used to enable rapid random access to alignment records.",,,FALSE,,Dataset File Formats,,,,,NCIT:C190163,http://purl.obolibrary.org/obo/NCIT_C190163,C190163,
BAM,"A binary representation of a sequence alignment map (SAM), a compact and indexable representation of nucleotide sequence alignments, compressed using the BGZF (Blocked GNU Zip Format) library.",,,FALSE,,Dataset File Formats,,,,,NCIT:C153249,http://purl.obolibrary.org/obo/NCIT_C153249,C153249,
BED,"BED (Browser Extensible Data) format is a tab-delimited text format for describing genomic regions or features, such as gene models or annotation tracks, typically displayed in a genome browser.",,,FALSE,,Dataset File Formats,,,,,EDAM:format_3003,http://edamontology.org/format_3003,,
CDS,"CDS (coding sequence) refers to a nucleotide sequence file, typically in FASTA-like text format, that contains only the protein-coding portion of a gene or transcript, excluding untranslated regions.",,,FALSE,,Dataset File Formats,,,,,,,,
CHP,"Format of an Affymetrix data file containing computed (normalized) expression, genotyping, or resequencing results for individual probes on a microarray, generated by Affymetrix analysis software.",,,FALSE,,Dataset File Formats,,,,,EDAM:format_1644,http://edamontology.org/format_1644,,
COOL,"cool is a sparse, compressed binary file format built on HDF5 for storing genomic contact matrices, such as Hi-C interaction data, developed as part of the Cooler/cooltools software ecosystem.",,,FALSE,,Dataset File Formats,,,,,,,,
CSV,A text file format that separates data elements with commas.,,,FALSE,,Dataset File Formats,,,,,NCIT:C182456,http://purl.obolibrary.org/obo/NCIT_C182456,C182456,
DAE,"DAE (Digital Asset Exchange) is an XML-based file format defined by the COLLADA specification for exchanging 3D graphics assets, including geometry, materials, and animation, between different software applications.",,,FALSE,,Dataset File Formats,,,,,,,,
DB,"DB is a generic file extension denoting a database file used to store structured, queryable data, most commonly associated with lightweight database engines such as SQLite.",,,FALSE,,Dataset File Formats,,,,,EDAM:format_3621,http://edamontology.org/format_3621,,
DCC,"A legacy, tab-delimited text file format used by data coordinating centers (e.g., the TCGA/TARGET Data Coordinating Center) to distribute processed microarray and other genomic data to downstream users.",,,FALSE,,Dataset File Formats,,,,,,,,
DS_Store,.DS_Store is a hidden metadata file automatically generated by the macOS Finder to store folder view settings and icon positions; it is not a data format and typically appears as an incidental artifact rather than an intended data file.,,,FALSE,,Dataset File Formats,,,,,,,,
FASTA,"A text-based format for representing nucleotide or peptide sequences, in which base pairs or amino acids are represented using single-letter codes, with each sequence preceded by a single-line description beginning with a '>' character.",,,FALSE,,Dataset File Formats,,,,,EDAM:format_1929,http://edamontology.org/format_1929,,
FASTQ,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores.,,,FALSE,,Dataset File Formats,,,,,EFO:0004155,http://www.ebi.ac.uk/efo/EFO_0004155,,
FCS,"FCS (Flow Cytometry Standard) is a binary file format standardized by the International Society for Advancement of Cytometry for storing list-mode flow cytometry data, including per-event fluorescence and light-scatter measurements plus instrument and acquisition metadata.",,,FALSE,,fileFormat,,,,,OBI:0000327,http://purl.obolibrary.org/obo/OBI_0000327,,
FIG,"FIG is a vector graphics file format associated with drawing and plotting tools, such as Xfig or MATLAB saved figures, used to store editable diagrams, plots, or illustrations.",,,FALSE,,fileFormat,,,,,,,,
FREQ,"FREQ is a generic, tool-specific text file format used to report allele, genotype, or variant frequency data, with column structure varying by the producing software.",,,FALSE,,fileFormat,,,,,,,,
GCG,"GCG is a legacy sequence file format originally used by the Genetics Computer Group (GCG) software suite, now part of the Wisconsin Package, for representing annotated nucleotide or protein sequences.",,,FALSE,,fileFormat,,,,,EDAM:format_1935,http://edamontology.org/format_1935,,
GCT,"A tab-delimited, matrix file text format that describes a gene expression dataset; the columns of the matrix correspond to profiles/samples, the rows correspond to genes, and the values of the cells correspond to an expression measurement.",,,FALSE,,fileFormat,,,,,NCIT:C123891,http://purl.obolibrary.org/obo/NCIT_C123891,C123891,
GCTx,"GCTx is a binary, HDF5-based extension of the GCT format used to store very large gene-expression or profiling matrices, developed for the Broad Institute's Connectivity Map (CMap)/LINCS projects.",,,FALSE,,fileFormat,,,,,,,,
GFF3,"A tab-separated format for sequence data. It uses one line per feature, each containing 9 columns of data, plus optional track definition lines.",,,FALSE,,fileFormat,,,,,NCIT:C190175,http://purl.obolibrary.org/obo/NCIT_C190175,C190175,
GTF,A tab-delimited text format based on the general feature format (GFF) but which also contains some additional information for each gene.,,,FALSE,,fileFormat,,,,,NCIT:C190177,http://purl.obolibrary.org/obo/NCIT_C190177,C190177,
GZIP Format,"A file format consisting of a 10-byte header containing a magic number, a version number, and a timestamp, a Deflate-compressed body, and an 8-byte footer containing a checksum and the length of the original uncompressed data.",,,FALSE,,fileFormat,,,,,NCIT:C80220,http://purl.obolibrary.org/obo/NCIT_C80220,C80220,
HDF,"HDF is the name of a set of file formats and libraries designed to store and organize large amounts of numerical data, originally developed at the National Center for Supercomputing Applications; it is supported by many platforms including Java, MATLAB, Python, and R.",,,FALSE,,fileFormat,,,,,EDAM:format_3873,http://edamontology.org/format_3873,,
HDF5,"A hierarchical, filesystem-like data format that can store metadata in the form of user-defined, named attributes, which are attached to groups and datasets, and representations of images and tables built up using datasets, groups and attributes.",,,FALSE,,fileFormat,,,,,NCIT:C184763,http://purl.obolibrary.org/obo/NCIT_C184763,C184763,
