Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
African Bush Elephant,,,,FALSE,,species,,,,"Loxodonta africana, African bush elephant",,,,
Armadillo,,,,FALSE,,species,,,,,,,,
Asian Elephant,,,,FALSE,,species,,,,"Elephas maximus, Asian elephant",,,,
Boar,,,,FALSE,,species,,,,,9823.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9823,,
Cat,,,,FALSE,,species,,NCBITAXON,,Felis catus,9685.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Chicken,,,,FALSE,,species,,NCBITAXON,,,9031.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9031,,
Cow,,,,FALSE,,species,,NCBITAXON,,,9913.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9913,,
Dog,,,,FALSE,,species,,NCBITAXON,,,9615.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9615,,
Escherichia coli,,,,FALSE,,species,,NCBITAXON,,,562.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Escherichia+coli&lvl=0&srchmode=1&keep=1&unlock,,
Guinea Pig,,,,FALSE,,species,,NCBITAXON,,"Cavia porcellus, Guinea pig",10141.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=10141,,
Horse,,,,FALSE,,species,,NCBITAXON,,Equus caballus,9796.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Human,,,,FALSE,,species,,NCBITAXON,,,9606.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9606,,
Mouse,,,,FALSE,,species,,NCBITAXON,,,10090.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=10090,,
Multispecies,,,,FALSE,,species,,,,,,,,
Opossum,,,,FALSE,,species,,NCBITAXON,,,13616.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=13616,,
Rabbit,,,,FALSE,,species,,NCBITAXON,,Oryctolagus cuniculus,9986.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9986&lvl=3&lin=f&keep=1&srchmode=1&unlock,,
Rat,,,,FALSE,,species,,NCBITAXON,,,10116.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=10116,,
Rhesus monkey,,,,FALSE,,species,,NCBITAXON,,Macaca mulatta,9544.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=9544,,
Sheep,,,,FALSE,,species,,NCBITAXON,,Ovis aries,9940.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9940&lvl=3&lin=f&keep=1&srchmode=1&unlock,,
Trichoplax adhaerens,,,,FALSE,,species,,NCBITAXON,,,10228.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,,
Unknown,,,,FALSE,,species,,,,,,,,
Unspecified,,,,FALSE,,species,,,,,,,,
Worm,,,,FALSE,,species,,NCBITAXON,,,6239.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=info&id=6239,,
Yeast,,,,FALSE,,species,,,,,,,,
Fruit Fly,,,,FALSE,,species,,NCBITAXON,,Drosophila melanogaster,7277.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227,,
Zebrafish,,,,FALSE,,species,,,,Danio rerio,,,,
Not Applicable,,,,FALSE,,species,,,,,,,,
