"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"Acetone","A colorless, volatile, flammable organic solvent used as a fixative and dehydration agent for biological tissues.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C29807","http://purl.obolibrary.org/obo/NCIT_C29807","C29807",""
"Alcohol","A volatile liquid that kills organisms by denaturing their proteins; used as a disinfectant and tissue fixative.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C2190","http://purl.obolibrary.org/obo/NCIT_C2190","C2190",""
"Formalin","A colorless gas readily soluble in water; formalin (10% formaldehyde solution) is widely used as a tissue fixative and preservative.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C29744","http://purl.obolibrary.org/obo/NCIT_C29744","C29744",""
"Glutaraldehyde","A water-soluble oily liquid containing two aldehyde groups, used as a disinfectant and as a fixative for biological tissues.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C80930","http://purl.obolibrary.org/obo/NCIT_C80930","C80930",""
"OCT media","A solution of water soluble glycols and resins that provide a specimen support matrix for cryostat sectioning at temperatures of -10 degrees C and below.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C63523","http://purl.obolibrary.org/obo/NCIT_C63523","C63523",""
"RNAlater","Trade name for an aqueous, non-toxic tissue storage reagent that rapidly permeates tissues to stabilize and protect cellular RNA.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C63348","http://purl.obolibrary.org/obo/NCIT_C63348","C63348",""
"Saline","A solution of salt and water; saline usually refers to normal or physiological saline, which is an aqueous solution containing 0.9% sodium chloride.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C821","http://purl.obolibrary.org/obo/NCIT_C821","C821",""
"95% Ethanol","An aqueous dilution of ethanol containing 95% ethanol by volume, which may be used as a solvent, disinfectant or fixative.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C185110","http://purl.obolibrary.org/obo/NCIT_C185110","C185110",""
"NP40 Lysis Buffer","A detergent-based cell lysis buffer suitable for total protein extraction that helps retain the protein structure and function for enzyme assays or immunoassays.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C178573","http://purl.obolibrary.org/obo/NCIT_C178573","C178573",""
"Not recorded","The information was not captured or stored.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C185193","http://purl.obolibrary.org/obo/NCIT_C185193","C185193",""
"Diimidoester","","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","","","",""
"Carbodiimide","A group of reagents that crosslinks amines and carboxylates, used as a fixative and in peptide conjugation.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C185111","http://purl.obolibrary.org/obo/NCIT_C185111","C185111",""
"Dimethylacetamide","A dipolar aprotic solvent and reagent used in the production of fibers and pharmaceuticals, and as a non-aldehyde fixative.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C29274","http://purl.obolibrary.org/obo/NCIT_C29274","C29274",""
"Para-benzoquinone","A benzoquinone compound used as a tissue crosslinking fixative.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C95317","http://purl.obolibrary.org/obo/NCIT_C95317","C95317",""
"PAXgene Tissue","A proprietary system comprised of a formalin-free tissue fixative and stabilizing reagent designed to preserve tissue structures without damaging biomolecules.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C185113","http://purl.obolibrary.org/obo/NCIT_C185113","C185113",""
"TCL Lysis Buffer","A proprietary buffer containing RNase inhibitors designed for cell lysis and the extraction and collection of mRNA from cell samples.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C178572","http://purl.obolibrary.org/obo/NCIT_C178572","C178572",""
"Not applicable","Determination of a value is not relevant in the current context.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C48660","http://purl.obolibrary.org/obo/NCIT_C48660","C48660",""
"Methacarn","","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","","","",""
"CryoStor","A serum- and protein-free cryopreservation medium for biological specimens that minimizes cellular damage following freezing and thawing.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C178539","http://purl.obolibrary.org/obo/NCIT_C178539","C178539",""
"Carnoy's Solution","A denaturing fixative consisting of ethanol, chloroform and glacial acetic acid in a 6:3:1 ratio, particularly effective for the preservation of nuclei and in retaining glycogen.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C178534","http://purl.obolibrary.org/obo/NCIT_C178534","C178534",""
"Poloxamer","","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","","","",""
"Other","Different than the one(s) previously specified or mentioned.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C17649","http://purl.obolibrary.org/obo/NCIT_C17649","C17649",""
"None","No person or thing, nobody, not any.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C41132","http://purl.obolibrary.org/obo/NCIT_C41132","C41132",""
"Unknown","Not known, observed, recorded, or reported as unknown by the data contributor.","","","FALSE","","Biospecimen Fixative","","CDS v5.0.4/Multiplexedmicroscopy-tissue_fixative","","","NCIT:C17998","http://purl.obolibrary.org/obo/NCIT_C17998","C17998",""
