"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"Biochemical evidence of disease without structural correlate","An indication that biochemical markers of a disease are present but morphological markers are absent.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C165197","http://purl.obolibrary.org/obo/NCIT_C165197","C165197",""
"Tumor Free","There is no evidence of a tumor in the individual.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C156848","http://purl.obolibrary.org/obo/NCIT_C156848","C156848",""
"Unknown","Not known, observed, recorded, or reported as unknown by the data contributor.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C17998","http://purl.obolibrary.org/obo/NCIT_C17998","C17998",""
"With Tumor","There is evidence of a tumor in an individual.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C156849","http://purl.obolibrary.org/obo/NCIT_C156849","C156849",""
"Not Reported","Not provided or available.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C43234","http://purl.obolibrary.org/obo/NCIT_C43234","C43234",""
"Not Applicable","Determination of a value is not relevant in the current context.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C48660","http://purl.obolibrary.org/obo/NCIT_C48660","C48660",""
"Not Allowed To Collect","An indication that specifies that a collection event was not permitted.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C141478","http://purl.obolibrary.org/obo/NCIT_C141478","C141478",""
"Distant Metastasis","The presence of cancer cells that have spread from the primary tumor site and been detected at a distal anatomic site.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C18206","http://purl.obolibrary.org/obo/NCIT_C18206","C18206",""
"Localized Disease","A disease that is confined to a specific organ or tissue and has not spread to other anatomic sites.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C36162","http://purl.obolibrary.org/obo/NCIT_C36162","C36162",""
"Regional Disease","A disease or condition that extends beyond the site of origin and spreads into adjacent tissues and regional lymph nodes.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C41844","http://purl.obolibrary.org/obo/NCIT_C41844","C41844",""
"New Tumor Event","The presence of a primary, recurrent or metastatic neoplasm which has not been previously noted.","","","FALSE","","Last Known Disease Status","","CDS v5.0.4/Diagnosis-last_known_disease_status","","","NCIT:C200667","http://purl.obolibrary.org/obo/NCIT_C200667","C200667",""
