Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Acinar Cell Neoplasms,"A neoplasm with acinar cell differentiation, arising from the secretory cells of exocrine glands such as the pancreas, salivary glands, or lungs.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C4197,http://purl.obolibrary.org/obo/NCIT_C4197,C4197,
Adenomas and Adenocarcinomas,"A neoplasm arising from or exhibiting the features of glandular epithelium; encompasses a broad morphological category including adenomas, adenocarcinomas, and related glandular tumors.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C7132,http://purl.obolibrary.org/obo/NCIT_C7132,C7132,
Adnexal and Skin Appendage Neoplasms,"A neoplasm arising from skin appendage structures, including hair follicles, sebaceous glands, and eccrine or apocrine sweat glands.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C212119,http://purl.obolibrary.org/obo/NCIT_C212119,C212119,
Basal Cell Neoplasms,"A neoplastic proliferation of basal cells in the epidermis or other anatomic sites (most frequently the salivary glands); the epidermal proliferation results in basal cell carcinomas, while the salivary gland proliferation can be benign (basal cell adenoma) or malignant (basal cell adenocarcinoma).",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3784,http://purl.obolibrary.org/obo/NCIT_C3784,C3784,
Blood Vessel Tumors,"An ICD-O-3 morphology category comprising benign and malignant neoplasms that arise from blood vessels, such as hemangioma, hemangioendothelioma, and angiosarcoma.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C7388,http://purl.obolibrary.org/obo/NCIT_C7388,C7388,
Complex Mixed and Stromal Neoplasms,"An ICD-O-3 morphology category comprising neoplasms with complex mixed epithelial and stromal or mesenchymal components, such as adenomyoma, adenofibroma, and mixed mesodermal (Mullerian) tumors.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,SNOMED:115229003,http://snomed.info/id/115229003,,
Cystic; Mucinous and Serous Neoplasms,"A benign or malignant neoplasm that contains a single or multiple cystic spaces. Examples include cystadenoma, mucinous cystadenocarcinoma, and serous cystadenocarcinoma.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C6784,http://purl.obolibrary.org/obo/NCIT_C6784,C6784,
Ductal and Lobular Neoplasms,"An ICD-O-3 morphology category comprising neoplasms that arise from the ductal or lobular epithelium of glandular organs, most commonly the breast, including ductal carcinoma in situ, invasive ductal carcinoma, and lobular carcinoma.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,SNOMED:115218002,http://snomed.info/id/115218002,,
Epithelial Neoplasms; NOS,"A neoplasm derived from epithelial cells, the cells lining the surfaces and cavities of the body.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3709,http://purl.obolibrary.org/obo/NCIT_C3709,C3709,
Fibroepithelial Neoplasms,"A benign, borderline, or malignant neoplasm characterized by the presence of an epithelial and a fibrous component. Representative examples are fibroadenoma and phyllodes tumor.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3743,http://purl.obolibrary.org/obo/NCIT_C3743,C3743,
Fibromatous Neoplasms,"A poorly circumscribed neoplasm arising from the soft tissues, characterized by the presence of spindle-shaped fibroblasts and an infiltrative growth pattern.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3042,http://purl.obolibrary.org/obo/NCIT_C3042,C3042,
Germ Cell Neoplasms,"A neoplasm arising from germ cells, the primordial cells that give rise to eggs and sperm.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3708,http://purl.obolibrary.org/obo/NCIT_C3708,C3708,
Giant Cell Tumors,A neoplasm characterized by the presence of multinucleated giant cells intermixed with mononuclear stromal cells.,,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3055,http://purl.obolibrary.org/obo/NCIT_C3055,C3055,
Gliomas,"A neoplasm arising from glial cells of the central nervous system, including astrocytes, oligodendrocytes, and ependymal cells.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3059,http://purl.obolibrary.org/obo/NCIT_C3059,C3059,
Granular Cell Tumors and Alveolar Soft Part Sarcomas,"An ICD-O-3 morphology category comprising granular cell tumors, which are composed of cells with abundant granular eosinophilic cytoplasm, and alveolar soft part sarcoma, a rare malignant soft tissue neoplasm with a distinctive alveolar growth pattern.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,SNOMED:115243008,http://snomed.info/id/115243008,,
Immunoproliferative Diseases,"A category of disorders characterized by the abnormal, uncontrolled proliferation of cells of the immune system, including conditions such as heavy chain disease and Waldenstrom macroglobulinemia.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C194803,http://purl.obolibrary.org/obo/NCIT_C194803,C194803,
Leukemias,"A malignant clonal hematologic disorder involving hematopoietic stem cells, characterized by the presence of primitive or atypical myeloid or lymphoid cells in the bone marrow and blood.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3161,http://purl.obolibrary.org/obo/NCIT_C3161,C3161,
Lipomatous Neoplasms,"A neoplasm arising from adipose (fat) tissue, ranging from benign lipomas to malignant liposarcomas.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C4248,http://purl.obolibrary.org/obo/NCIT_C4248,C4248,
Lymphatic Vessel Tumors,A benign or malignant neoplasm arising from the lymphatic vessels.,,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3723,http://purl.obolibrary.org/obo/NCIT_C3723,C3723,
Mast Cell Neoplasm,"A heterogeneous group of disorders characterized by the abnormal growth and accumulation of mast cells in one or more organ systems; most variants of mast cell neoplasms are clonal disorders. (WHO, 2001)",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C9295,http://purl.obolibrary.org/obo/NCIT_C9295,C9295,
Meningiomas,"A usually benign neoplasm arising from the meninges, the membranes that cover and protect the brain and spinal cord.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3230,http://purl.obolibrary.org/obo/NCIT_C3230,C3230,
Mesothelial Neoplasms,"A neoplasm arising from mesothelial cells, which line the body cavities including the pleura, peritoneum, and pericardium.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,NCIT:C3786,http://purl.obolibrary.org/obo/NCIT_C3786,C3786,
Miscellaneous Bone Tumors,"An ICD-O-3 morphology category comprising bone-derived neoplasms that do not fit into the major osseous, chondromatous, or fibrous tumor categories, such as adamantinoma of long bones and chordoma.",,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,,,,
Miscellaneous Tumors,An ICD-O-3 morphology category comprising a heterogeneous group of neoplasms that do not fit into other defined histologic categories.,,,FALSE,,Disease Type,,CDS v5.0.4/Diagnosis-disease_type,,,,,,
