Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Pending Annotation,Data Use Codes have not yet been provided or documented for this resource.,,,FALSE,,dataUseModifiers,,,,,,,,,
DUO:0000042,This data use permission indicates that use is allowed for general research use for any research purpose.,,,FALSE,GRU,dataUseModifiers,,,,,,,,,
DUO:0000027,This data use modifier indicates that use is limited to use within an approved project.,,,FALSE,PS,dataUseModifiers,,,,,,,,,
DUO:0000016,"This data use modifier indicates that use is limited to genetic studies only (i.e., studies that include genotype research alone or both genotype and phenotype research, but not phenotype research exclusively)",,,FALSE,GSO,dataUseModifiers,,,,,,,,,
DUO:0000029,This data use modifier indicates that the requestor must return derived/enriched data to the database/resource.,,,FALSE,RTN,dataUseModifiers,,,,,,,,,
DUO:0000043,This data use modifier indicates that use is allowed for clinical use and care.,,,FALSE,CC,dataUseModifiers,,,,,,,,,
DUO:0000015,"This data use modifier indicates that use does not allow methods development research (e.g., development of software or algorithms).",,,FALSE,NMDS,dataUseModifiers,,,,,,,,,
DUO:0000004,This data use permission indicates there is no restriction on use.,,,FALSE,NRES,dataUseModifiers,,,,,,,,,
DUO:0000045,This data use modifier indicates that use of the data is limited to not-for-profit organizations.,,,FALSE,NPU,dataUseModifiers,,,,,,,,,
DUO:0000017,Data use modifiers indicate additional conditions for use.,,,FALSE,DUM,dataUseModifiers,,,,,,,,,
DUO:0000011,This data use permission indicates that use of the data is limited to the study of population origins or ancestry.,,,FALSE,POA,dataUseModifiers,,,,,,,,,
DUO:0000046,This data use modifier indicates that use of the data is limited to not-for-profit use.,,,FALSE,NCU,dataUseModifiers,,,,,,,,,
DUO:0000018,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.",,,FALSE,NPUNCU,dataUseModifiers,,,,,,,,,
DUO:0000044,"This data use modifier indicates use for purposes of population, origin, or ancestry research is prohibited.",,,FALSE,NPOA,dataUseModifiers,,,,,,,,,
DUO:0000021,This data use modifier indicates that the requestor must provide documentation of local IRB/ERB approval.,,,FALSE,IRB,dataUseModifiers,,,,,,,,,
DUO:0000006,This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.,,,FALSE,HMB,dataUseModifiers,,,,,,,,,
DUO:0000019,This data use modifier indicates that requestor agrees to make results of studies using the data available to the larger scientific community.,,,FALSE,PUB,dataUseModifiers,,,,,,,,,
DUO:0000026,"This data use modifier indicates that use is limited to use by approved users. If providing this term, please describe the restrictions in column userSpecificRestriction.",,userSpecificRestriction,FALSE,USE,dataUseModifiers,,,str,string,,,,,
DUO:0000020,"This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s). If providing this term, please note the contact email in column collaborationRequired.",,collaborationRequired,FALSE,COL,dataUseModifiers,,,str,string,,,,,
DUO:0000012,"This data use modifier indicates that use is limited to studies of a certain research type. If providing this term, please note the research type(s) in column researchSpecificRestrictions.",,researchSpecificRestrictions,FALSE,RST,dataUseModifiers,,,str,string,,,,,
DUO:0000025,"This data use modifier indicates that use is approved for a specific number of months. If providing this term, please provide the number of months in column timeLimitOnUse.",,timeLimitOnUse,FALSE,TSM,dataUseModifiers,,,str,string,,,,,
DUO:0000024,"This data use modifier indicates that requestor agrees not to publish results of studies until a specific date. If providing this term, please provide the date in column publicationMoratorium.",,publicationMoratorium,FALSE,MOR,dataUseModifiers,,,str,string,,,,,
DUO:0000028,"This data use modifier indicates that use is limited to use within an approved institution. If providing this term, please provide the institution ROR ID(s) in column institutionSpecificRestriction.",,institutionSpecificRestriction,FALSE,IST,dataUseModifiers,,,str,string,,,,,
DUO:0000022,"This data use modifier indicates that use is limited to within a specific geographic region. If providing this term, please provide the applicable country code(s) in column geographicalRestriction.",,geographicalRestriction,FALSE,GSR,dataUseModifiers,,,str,string,,,,,
DUO:0000007,"This data use permission indicates that use is allowed provided it is related to the specified disease. If providing this term, please provide the disease MONDO ID(s) in column diseaseSpecificResearch.",,diseaseSpecificResearch,FALSE,DSR,dataUseModifiers,,,str,string,,,,,
DUOPlus1,"Source geography is relevant to governance decisions. If providing this term, please provide the applicable country code(s) in column sourceGeography",,sourceGeography,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus2,"Study population is relevant to governance decisions. If providing this term, please provide the applicable population type(s) in column populationType.",,populationType,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus3,"Data deidentification is relevant to governance decisions. If providing this term, please provide the applicable deidentification type(s) in column deidentificationType.",,deidentificationType,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus4,"A data permission designation is associated with the Study. If providing this term, please provide the applicable permission type(s) in column dataPermission.",,dataPermission,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus5,"A data tier designation is associated with the Study. If providing this term, please provide the applicable data tier designation(s) in column dataTier.",,dataTier,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus6,"A license is associated with the Study. If providing this term, please provide the applicable license in column license.",,license,FALSE,,dataUseModifiers,,,str,string,,,,,
DUOPlus7,"Attribution conditions are associated with this Study. If providing this term, please provide the attribution statement in column attribution.",,attribution,FALSE,,dataUseModifiers,,,str,string,,,,,
